place,title,time,pay,date
서울 용산구, 농협 하나로클럽 용산점,08:30~17:30,"시급8,720",23분전
서울 강남구, 농협유통 대치점,09:00~17:00,"시급10,000",2시간전
경기 용인시, 농협 하나로마트 광교점,08:00~17:00,"시급8,720",3시간전
서울 강남구, 농협유통 양재점,05:00~14:00,"시급8,720",5시간전
서울 전체, 농협 하나로클럽 양재점,09:00~18:00,"시급10,440",5시간전
서울 노원구, 농협 하나로마트 상계점,08:00~17:00,"시급8,720",7시간전
서울 관악구, (주)농협유통 두레미담 서울대1호점,11:00~15:30,"시급8,720",12/13
서울 강남구, 농협유통 대치점,09:00~18:00,"시급8,720",12/11
서울 전체, 농협 하나로클럽 양재점,09:00~18:00,"시급9,950",12/11
경기 용인시, 농협 하나로마트 광교점,08:00~16:00,"시급9,000",11/30
