place,title,time,pay,date
경기 하남시, 스타필드 하남 나이키,10:00~20:00,"월급2,050,000",8분전
서울 영등포, 타임스퀘어,10:00~10:00,"월급2,050,000",24분전
서울 중구, 신세계 명동,09:30~20:00,"월급1,980,000",25분전
경남 김해시, 신세계김해,10:00~20:30,"월급1,980,000",35분전
인천 서구, 인천모다,10:00~20:30,"월급2,000,000",53분전
강원 원주시, (주)대연,10:30~21:30,"월급2,030,000",1시간전
대전 전체, 갤러리아타임월드 나이키,09:30~20:30,"월급1,980,000",1시간전
인천 전체, 아이즈빌1,시간협의,"월급2,030,000",2시간전
충남 천안시, 대연 갤러리아천안점,10:00~20:00,"월급1,980,000",2시간전
대구 전체, 나이키 동성로타운,11:00~22:00,"월급2,030,000",2시간전
인천 부평구, 부평,10:30~22:00,"월급2,030,000",2시간전
경기 시흥시, 경기 시흥점,10:00~21:00,"월급2,030,000",2시간전
경기 하남시, 스타필드 신세계 하남 나이키,시간협의,"월급2,050,000",2시간전
충남 천안시, 신세계 천안아산점,09:30~20:30,"월급1,980,000",2시간전
대구 전체, 신세계 동대구,10:00~20:30,"월급1,980,000",2시간전
대구 전체, 나이키 동성로타운,11:00~22:00,"월급2,030,000",2시간전
경기 부천시, 부천스타필드나이키,10:00~22:00,"월급2,050,000",3시간전
경기 시흥시, 경기 시흥점,10:00~21:00,"월급2,030,000",4시간전
서울 영등포, 타임스퀘어,10:00~10:00,"월급2,050,000",6시간전
광주 서구, 신세계 광주FS,10:00~20:30,"월급1,980,000",6시간전
경기 안성시, (주)대연,시간협의,"시급9,160",7시간전
경기 부천시, 부천스타필드나이키,10:00~22:00,"월급2,050,000",7시간전
서울 영등포, 타임스퀘어,10:00~10:00,"월급2,050,000",7시간전
충남 천안시, 신세계 천안아산점,09:30~20:30,"월급1,980,000",8시간전
대구 전체, 나이키 동성로타운,11:00~22:00,"월급2,030,000",8시간전
경기 하남시, 스타필드 신세계 하남 나이키,시간협의,"월급2,050,000",14시간전
경기 시흥시, 경기 시흥점,10:00~21:00,"월급2,030,000",16시간전
경기 부천시, 부천스타필드나이키,10:00~22:00,"월급2,050,000",18시간전
충남 천안시, 신세계 천안아산점,13:00~20:00,"시급9,000",19시간전
경기 하남시, 스타필드 하남 나이키,10:00~20:00,"월급2,050,000",21시간전
경기 안성시, (주)대연,10:00~20:00,"월급2,050,000",23시간전
충남 천안시, 대연 갤러리아천안점,10:00~20:00,"월급1,980,000",23시간전
충남 천안시, 모다아울렛천안,11:00~21:00,"월급2,000,000",23시간전
경기 하남시, 스타필드 신세계 하남 나이키,시간협의,"월급2,050,000",12/14
충남 천안시, 신세계 천안아산점,13:00~20:00,"시급9,000",12/13
경기 시흥시, 경기 시흥점,10:00~21:00,"월급2,030,000",12/13
경기 하남시, 스타필드 신세계 하남 나이키,시간협의,"월급2,050,000",12/13
강원 원주시, (주)대연 나이키 원주타운점,10:30~21:30,"월급2,030,000",12/12
인천 전체, 아이즈빌1,시간협의,"월급2,030,000",12/12
경기 시흥시, 경기 시흥점,10:00~21:00,"월급2,030,000",12/12
대전 전체, 갤러리아타임월드 나이키,09:30~20:30,"월급1,980,000",12/12
충남 천안시, 모다아울렛천안,11:00~21:00,"월급2,000,000",12/12
부산 해운대, 신세계 센텀,10:00~20:00,"월급1,980,000",12/12
경기 하남시, 스타필드 하남 나이키,10:00~20:00,"월급2,050,000",12/11
경기 고양시, (주)대연,14:00~22:00,"시급8,720",12/10
광주 서구, 신세계 광주FS,10:00~20:30,"월급1,980,000",12/09
충남 천안시, 신세계 천안아산점,13:00~20:00,"시급9,000",12/08
경기 수원시, (주)대연,10:00~20:00,"월급1,980,000",12/04
경기 수원시, (주)대연,시간협의,"시급8,720",12/03
경기 수원시, (주)대연,10:00~20:00,"월급1,980,000",12/02
