place,title,time,pay,date
경기 화성시, 박앤박 혼밥대왕 화성봉담점,17:00~22:30,"시급10,500",1시간전
서울 송파구, 박앤박 비돈이제돈이 송파점,09:00~21:00,"월급2,700,000",2시간전
충북 증평군, 박앤박 혼밥대왕 증평점,10:00~22:00,"시급9,160",2시간전
서울 강남구, 박앤박 혼밥대왕 논현점,시간협의,"시급11,000",20시간전
서울 강남구, 박앤박 혼밥대왕 논현점,시간협의,"시급11,000",20시간전
서울 강남구, 박앤박 혼밥대왕 논현점,시간협의,"시급11,000",20시간전
서울 강남구, 박앤박 혼밥대왕 논현점,시간협의,"시급11,000",20시간전
서울 강남구, 박앤박 혼밥대왕 논현점,시간협의,"시급11,000",20시간전
인천 서구, 박앤박 혼밥대왕 인천검단점,시간협의,"월급2,700,000",12/15
부산 남구, 박앤박 비돈이제돈이 부산대연점,10:00~22:00,"월급2,800,000",12/13
충남 천안시, 박앤박 혼밥대왕 천안불당점,시간협의,"시급9,000",12/11
대전 동구, 박앤박 혼밥대왕 대전가양점,19:00~00:00,"시급8,720",12/09
