place,title,time,pay,date
인천 남동구, 생각대로 구월드림지사,09:00~02:00,"일급200,000",5분전
경기 시흥시, 생각대로 시흥직영점,시간협의,"건별3,800",6분전
경기 파주시, 생각대로 운정점,시간협의,"시급20,000",7분전
인천 남동구, 생각대로 구월드림지사,09:00~02:00,"일급200,000",7분전
경기 안양시, 생각대로 인덕원점,시간협의,"건별4,000",10분전
서울 구로구, 생각대로 구로지사,시간협의,"건별4,500",11분전
경기 안양시, 생각대로 동안지사,10:00~02:00,"건별4,000",11분전
서울 구로구, 생각대로 구로지사,시간협의,"건별4,500",12분전
서울 구로구, 생각대로 구로지사,시간협의,"건별4,300",13분전
대전 대덕구, 생각대로 신탄진점,시간협의,"일급200,000",14분전
대전 대덕구, 생각대로 신탄진점,시간협의,"월급6,000,000",14분전
서울 동작구, 생각대로 상도지사,시간협의,"건별3,800",15분전
서울 동작구, 생각대로 상도지사,시간협의,"건별3,800",16분전
서울 은평구, 생각대로 FDP_은평1점,시간협의,"건별4,000",20분전
서울 은평구, 생각대로 FDP_은평1점,시간협의,"건별4,000",21분전
서울 은평구, 생각대로 FDP_은평1점,시간협의,"건별4,000",21분전
대구 달서구, 생각대로 월성점,시간협의,"일급200,000",24분전
대구 달서구, 생각대로 월성점,시간협의,"일급200,000",25분전
대구 달서구, 생각대로 월성점,시간협의,"일급200,000",25분전
충남 천안시, 생각대로 불당1지점,09:00~02:00,"월급5,000,000",27분전
충남 천안시, 생각대로 불당1지점,09:00~02:00,"월급5,000,000",28분전
충남 천안시, 생각대로 불당1지점,09:00~02:00,"월급5,000,000",28분전
인천 남동구, 생각대로 서창 만수 북부지사,시간협의,"일급250,000",35분전
충남 천안시, 생각대로 청당지사,09:00~02:00,"건별3,200",38분전
충남 천안시, 생각대로 청당지사,09:00~02:00,"건별3,200",38분전
충남 천안시, 생각대로 청당지사,09:00~02:00,"건별3,200",38분전
인천 부평구, 생각대로 북인천지사,시간협의,"건별4,000",48분전
충남 천안시, 생각대로 불당4지점,시간협의,"월급6,000,000",48분전
충남 천안시, 생각대로 불당4지점,시간협의,"월급6,000,000",48분전
충남 천안시, 생각대로 불당4지점,시간협의,"월급6,000,000",48분전
인천 부평구, 생각대로 북인천지사,시간협의,"건별4,000",48분전
인천 부평구, 생각대로 북인천지사,시간협의,"건별4,000",49분전
경기 의정부, 생각대로 의정부1팀,시간협의,"일급400,000",51분전
인천 부평구, 생각대로 북인천지사,시간협의,"건별4,000",55분전
인천 부평구, 생각대로 북인천지사,시간협의,"건별4,000",56분전
인천 부평구, 생각대로 북인천지사,시간협의,"건별4,000",56분전
인천 미추홀, 생각대로 용현FDC,10:00~03:00,"일급200,000",58분전
부산 연제구, 생각대로 망미점,09:00~02:00,"건별3,400",1시간전
부산 연제구, 생각대로 망미점,09:00~02:00,"건별3,400",1시간전
부산 연제구, 생각대로 망미점,09:00~02:00,"건별3,400",1시간전
경기 김포시, 생각대로 마산구래직영점,시간협의,"월급5,000,000",1시간전
경기 김포시, 생각대로 마산구래직영점,시간협의,"월급5,000,000",1시간전
경기 김포시, 생각대로 마산구래직영점,시간협의,"월급5,000,000",1시간전
광주 동구, 생각대로 동구학동점,09:00~24:00,"일급200,000",1시간전
광주 동구, 생각대로 동구학동점,09:00~24:00,"일급200,000",1시간전
광주 동구, 생각대로 동구학동점,09:00~24:00,"일급200,000",1시간전
서울 송파구, 생각대로 송파F지사,시간협의,"건별3,500",1시간전
경남 김해시, 생각대로 진영서부점a,10:00~01:00,"건별3,500",1시간전
서울 송파구, 생각대로 송파C지사,시간협의,"건별3,500",1시간전
서울 송파구, 생각대로 송파B지사,시간협의,"일급200,000",1시간전
