place,title,time,pay,date
서울 영등포, 신세계백화점 타임스퀘어점,10:30~18:30,"시급8,800",1분전
경남 김해시, 신세계백화점 김해점,10:30~18:30,"시급8,800",55분전
부산 해운대, 신세계백화점 센텀시티점,11:00~19:00,"시급9,200",2시간전
부산 해운대, 신세계백화점 센텀시티점,11:30~19:30,"시급8,800",2시간전
경기 용인시, 신세계 경기점,10:30~20:00,"시급8,800",3시간전
경기 성남시, 신세계백화점 경기점,10:30~20:00,"시급8,800",4시간전
경기 용인시, 신세계 경기점,10:30~20:00,"시급8,800",4시간전
경기 의정부, 신세계 의정부점,10:30~18:30,"시급9,200",4시간전
대전 전체, 신세계백화점 Art&Science,시간협의,"시급8,800",5시간전
서울 전체, 신세계백화점 강남점,10:30~18:30,"시급8,800",19시간전
경기 하남시, (주)신세계,10:30~18:30,"시급8,800",21시간전
서울 중구, 신세계백화점 본점,12:00~20:00,"시급8,800",12/14
서울 중구, 신세계백화점 본점,10:30~18:30,"시급8,800",12/14
서울 전체, 신세계백화점 본점,10:00~18:00,"시급9,500",12/14
대구 동구, 신세계백화점 대구점,11:00~19:00,"시급8,800",12/14
경남 김해시, 신세계백화점 김해점,10:30~18:30,"시급8,800",12/14
대전 전체, 신세계백화점 Art?&Science,시간협의,"시급8,800",12/13
서울 중구, 신세계백화점 본점,10:00~18:00,"시급8,800",12/12
서울 서초구, 신세계백화점 강남점,11:30~19:30,"시급8,800",12/12
경기 고양시, 신세계백화점 본점,10:00~18:00,"시급8,800",12/12
경기 용인시, 신세계 경기점,10:30~20:00,"시급8,800",12/11
경기 용인시, 신세계백화점 경기점,10:30~20:00,"시급8,800",12/10
서울 중구, 신세계백화점 본점,10:00~18:00,"시급8,800",12/07
서울 전체, 신세계백화점 본점,10:00~18:00,"시급9,500",12/06
경기 성남시, 신세계백화점 경기점,10:30~20:00,"시급8,800",12/06
서울 서초구, (주)신세계,시간협의,"시급8,800",11/30
서울 서초구, 신세계백화점 강남점,10:30~18:30,"시급8,800",11/30
서울 서초구, 신세계백화점 강남점,11:30~19:30,"시급8,800",11/30
서울 구로구, 신세계백화점 강남점,10:30~18:30,"시급8,800",11/30
