place,title,time,pay,date
경기 하남시, 디플러스 미사S지사,시간협의,"월급5,000,000",52분전
경기 하남시, 디플러스 미사S지사,시간협의,"월급5,000,000",52분전
경기 하남시, 디플러스 미사S지사,시간협의,"월급5,000,000",52분전
부산 중구, 디플러스 중구달인콜2지사,09:00~02:00,"월급4,500,000",59분전
서울 강동구, 디플러스 플러스천호지사,09:00~05:00,"건별4,500",2시간전
서울 강동구, 디플러스 플러스천호지사,09:00~05:00,"건별4,500",2시간전
서울 강동구, 디플러스 플러스천호지사,09:00~05:00,"건별4,500",2시간전
서울 강동구, 디플러스 천호지사,시간협의,"일급200,000",2시간전
서울 강동구, 디플러스 천호지사,시간협의,"일급200,000",2시간전
서울 강동구, 디플러스 천호지사,시간협의,"일급200,000",2시간전
경기 하남시, 디플러스 미사지사,시간협의,"월급5,000,000",3시간전
경기 하남시, 디플러스 미사지사,시간협의,"월급5,000,000",3시간전
경기 하남시, 디플러스 미사지사,시간협의,"월급5,000,000",3시간전
서울 강동구, 디플러스 명일A지사,시간협의,"일급200,000",3시간전
인천 미추홀, 디플러스 미르본사,시간협의,"건별4,000",3시간전
부산 금정구, 디플러스 부산금정지사,시간협의,"일급180,000",4시간전
부산 금정구, 디플러스 부산금정지사,시간협의,"일급180,000",4시간전
부산 금정구, 디플러스 부산금정지사,시간협의,"일급180,000",4시간전
경남 양산시, 디플러스 양산(물금)지사,시간협의,"월급5,000,000",4시간전
경남 양산시, 디플러스 양산(물금)지사,시간협의,"월급5,000,000",4시간전
경남 양산시, 디플러스 양산(물금)지사,시간협의,"월급5,000,000",4시간전
인천 미추홀, 디플러스 미르본사,시간협의,"건별4,000",5시간전
서울 강동구, 디플러스 명일A지사,시간협의,"일급200,000",5시간전
서울 강남구, 디플러스 강남지사,시간협의,"건별4,300",6시간전
서울 강남구, 디플러스 강남지사,시간협의,"일급350,000",6시간전
서울 강남구, 디플러스 강남지사,시간협의,"월급7,000,000",6시간전
서울 강동구, 디플러스 명일A지사,시간협의,"일급200,000",6시간전
서울 강동구, 디플러스 길동지사,09:00~05:00,"건별4,500",7시간전
서울 강동구, 디플러스 길동지사,09:00~05:00,"건별4,500",7시간전
서울 강동구, 디플러스 길동지사,09:00~05:00,"건별4,500",7시간전
인천 미추홀, 디플러스 미르본사,시간협의,"건별4,000",7시간전
대구 서구, 디플러스 빨리와대구지사,시간협의,"건별3,500",11시간전
대구 서구, 디플러스 빨리와대구지사,시간협의,"건별3,500",11시간전
대구 서구, 디플러스 빨리와대구지사,시간협의,"월급5,000,000",11시간전
서울 강동구, 디플러스 플러스명일지사,시간협의,"월급4,500,000",12/14
서울 강동구, 디플러스 플러스명일지사,시간협의,"월급4,500,000",12/14
전국 전체, 디플러스 둔촌지사,시간협의,"건별4,300",12/14
전국 전체, 디플러스 둔촌지사,시간협의,"건별4,300",12/14
전국 전체, 디플러스 둔촌지사,시간협의,"건별4,300",12/14
서울 강동구, 디플러스 천호j지사,시간협의,"일급250,000",12/14
서울 강동구, 디플러스 천호j지사,시간협의,"일급250,000",12/14
서울 강동구, 디플러스 천호j지사,시간협의,"일급250,000",12/14
경기 하남시, 디플러스 하남본부,시간협의,"건별4,300",12/14
경기 하남시, 디플러스 하남본부,시간협의,"건별4,300",12/14
경기 하남시, 디플러스 하남본부,시간협의,"건별4,300",12/14
서울 강동구, 디플러스 강동본부,시간협의,"건별4,500",12/14
서울 강동구, 디플러스 강동본부,시간협의,"건별4,500",12/14
서울 강동구, 디플러스 강동본부,시간협의,"건별4,500",12/14
서울 강동구, 디플러스 고덕1지사,시간협의,"월급4,500,000",12/14
서울 강동구, 디플러스 고덕1지사,시간협의,"월급4,500,000",12/14
