place,title,time,pay,date
부산 기장군, 플레이타임그룹 전국매장,시간협의,"월급1,930,000",9분전
강원 속초시, 플레이타임그룹 전국매장,시간협의,"월급1,930,000",9분전
부산 해운대, 플레이타임그룹 전국매장,시간협의,"월급1,930,000",9분전
제주 서귀포, 플레이타임그룹 전국매장,시간협의,"월급1,930,000",9분전
경기 고양시, 플레이타임그룹 스타필드 고양점 위너플,16:30~22:00,"시급8,720",13분전
경기 고양시, 플레이타임그룹 스타필드 고양점 위너플,16:30~22:00,"시급8,720",13분전
경기 고양시, 플레이타임그룹 스타필드 고양점 위너플,16:30~22:00,"시급8,720",13분전
경기 고양시, 플레이타임그룹 스타필드 고양점 위너플,16:30~22:00,"시급8,720",13분전
경기 고양시, 플레이타임그룹 스타필드 고양점 위너플,16:30~22:00,"시급8,720",14분전
경기 수원시, 플레이타임그룹 판타지움 영통점 챔피언,시간협의,"시급8,720",2시간전
경기 수원시, 플레이타임그룹 판타지움 영통점 챔피언,시간협의,"시급8,720",2시간전
경기 수원시, 플레이타임그룹 판타지움 영통점 챔피언,시간협의,"시급8,720",2시간전
경기 수원시, 플레이타임그룹 판타지움 영통점 챔피언,시간협의,"시급8,720",2시간전
경기 수원시, 플레이타임그룹 판타지움 영통점 챔피언,시간협의,"시급8,720",2시간전
경기 용인시, 플레이타임그룹 롯데몰 수지점 챔피언,시간협의,"시급8,720",2시간전
경기 용인시, 플레이타임그룹 롯데몰 수지점 챔피언,시간협의,"시급8,720",2시간전
경기 용인시, 플레이타임그룹 롯데몰 수지점 챔피언,시간협의,"시급8,720",2시간전
경기 용인시, 플레이타임그룹 롯데몰 수지점 챔피언,시간협의,"시급8,720",2시간전
경기 용인시, 플레이타임그룹 롯데몰 수지점 챔피언,시간협의,"시급8,720",2시간전
부산 기장군, 플레이타임그룹 신세계아울렛 동부산점,14:00~19:00,"시급8,720",3시간전
부산 기장군, 플레이타임그룹 신세계아울렛 동부산점,14:00~19:00,"시급8,720",3시간전
부산 기장군, 플레이타임그룹 신세계아울렛 동부산점,14:00~19:00,"시급8,720",3시간전
부산 기장군, 플레이타임그룹 신세계아울렛 동부산점,14:00~19:00,"시급8,720",3시간전
울산 울주군, 플레이타임그룹 신세계아울렛 동부산점,14:00~19:00,"시급8,720",3시간전
경기 이천시, 플레이타임그룹 롯데아울렛 이천점 챔피,시간협의,"시급9,220",5시간전
경기 이천시, 플레이타임그룹 롯데아울렛 이천점 챔피,시간협의,"시급9,220",5시간전
경기 이천시, 플레이타임그룹 롯데아울렛 이천점 챔피,시간협의,"시급9,220",5시간전
경기 고양시, 플레이타임그룹 신세계백화점 의정부 리,시간협의,"시급8,720",6시간전
경기 고양시, 플레이타임그룹 신세계백화점 의정부 리,시간협의,"시급8,720",6시간전
경기 고양시, 플레이타임그룹 신세계백화점 의정부 리,시간협의,"시급8,720",6시간전
경기 고양시, 플레이타임그룹 신세계백화점 의정부 리,시간협의,"시급8,720",6시간전
경기 고양시, 플레이타임그룹 신세계백화점 의정부 리,시간협의,"시급8,720",6시간전
경남 창원시, 플레이타임그룹 롯데마트 양덕점 챔피언,15:30~21:00,"건별8,720",7시간전
경남 창원시, 플레이타임그룹 롯데마트 양덕점 챔피언,09:30~15:00,"시급9,160",7시간전
대전 중구, 플레이타임그룹 세이백화점 대전점 챔피,14:30~20:30,"시급8,720",20시간전
부산 연제구, 플레이타임그룹 이마트TR 연산점 챔피,15:00~21:30,"시급8,720",12/14
부산 연제구, 플레이타임그룹 이마트TR 연산점 챔피,15:00~21:30,"시급8,720",12/14
부산 연제구, 플레이타임그룹 이마트TR 연산점 챔피,15:00~21:30,"시급8,720",12/14
부산 연제구, 플레이타임그룹 이마트TR 연산점 챔피,15:00~21:30,"시급8,720",12/14
부산 연제구, 플레이타임그룹 이마트TR 연산점 챔피,15:00~21:30,"시급8,720",12/14
전남 여수시, 플레이타임그룹 메가박스 여수웅천점 플,시간협의,"시급8,720",12/14
전남 여수시, 플레이타임그룹 메가박스 여수웅천점 플,시간협의,"시급8,720",12/14
전남 여수시, 플레이타임그룹 메가박스 여수웅천점 플,시간협의,"시급8,720",12/14
전남 여수시, 플레이타임그룹 메가박스 여수웅천점 플,시간협의,"시급8,720",12/14
경남 창원시, 플레이타임그룹 시티세븐몰 창원점 챔피,15:30~21:00,"시급8,720",12/13
경남 창원시, 플레이타임그룹 시티세븐몰 창원점 챔피,15:30~21:00,"시급8,720",12/13
경남 창원시, 플레이타임그룹 시티세븐몰 창원점 챔피,15:30~21:00,"시급8,720",12/13
경남 창원시, 플레이타임그룹 시티세븐몰 창원점 챔피,15:30~21:00,"시급8,720",12/13
경남 창원시, 플레이타임그룹 시티세븐몰 창원점 챔피,시간협의,"시급8,720",12/13
서울 동작구, 플레이타임그룹 아이파크몰 용산점 챔피,15:00~21:00,"시급8,720",12/13
