place,title,time,pay,date
서울 영등포, 더현대서울,10:00~19:30,"시급8,800",5분전
서울 강남구, 현대백화점,10:00~19:30,"시급9,200",7분전
서울 강남구, 현대백화점,10:00~19:30,"시급9,200",18분전
서울 강남구, 현대백화점,10:00~19:30,"시급9,200",19분전
서울 강동구, (주)현대백화점,09:00~18:00,"시급8,800",22분전
서울 동대문, 현대시티아울렛 동대문점,10:00~19:30,"시급8,800",24분전
경기 부천시, 현대백화점 중동점,10:00~20:30,"시급8,800",26분전
대전 전체, 현대백화점 현대프리미엄아울렛 대전점,10:00~20:30,"시급8,800",46분전
서울 강동구, (주)현대백화점,09:00~18:00,"시급8,800",1시간전
울산 남구, 현대백화점,09:00~18:30,"시급8,800",1시간전
충북 청주시, 현대백화점 충청점,09:00~18:30,"시급9,160",1시간전
경기 김포시, 현대프리미엄아울렛 김포점,10:00~19:30,"시급8,800",1시간전
대전 전체, 현대백화점 현대프리미엄아울렛 대전점,10:00~19:30,"시급8,800",1시간전
인천 연수구, 현대백화점 송도아울렛,10:30~20:00,"시급8,800",2시간전
경기 성남시, 현대백화점 판교점,10:00~19:00,"시급9,200",2시간전
인천 연수구, 현대프리미엄아울렛 송도점,10:00~19:30,"시급8,800",2시간전
서울 동대문, 현대시티아울렛 동대문점,10:00~19:30,"시급8,800",2시간전
서울 강동구, 현대백화점 천호점,12:00~17:00,"시급8,800",3시간전
서울 송파구, 현대백화점 현대시티몰 가든파이브점,10:00~18:00,"시급8,800",3시간전
서울 전체, 현대백화점 현대시티몰 가든파이브점,10:00~18:00,"시급8,800",3시간전
경기 성남시, 현대백화점 판교점,10:00~20:00,"시급9,200",3시간전
서울 영등포, 더현대서울,09:30~18:30,"시급9,210",3시간전
경기 고양시, 현대백화점 킨텍스점,10:00~19:00,"시급111,111",3시간전
경기 남양주, 현대프리미엄아울렛 SPACE1,10:00~19:30,"시급8,800",3시간전
경기 남양주, 현대프리미엄아울렛 SPACE1,11:00~20:00,"시급8,800",3시간전
서울 양천구, 한무쇼핑(주),09:00~18:30,"시급8,800",4시간전
서울 송파구, 현대백화점 현대시티몰 가든파이브점,13:00~19:00,"시급8,800",4시간전
서울 서대문, 현대백화점 신촌점,10:00~20:30,"시급8,800",4시간전
서울 강남구, 현대백화점 무역센터점,10:30~20:00,"시급9,200",5시간전
서울 양천구, 한무쇼핑(주),09:30~19:30,"연봉23,000,000",22시간전
서울 전체, 현대백화점 현대시티몰 가든파이브점,13:00~19:00,"시급8,800",12/14
서울 전체, 현대시티아울렛 동대문점,10:00~19:30,"시급8,800",12/14
경기 성남시, 현대백화점 판교점,10:30~20:30,"시급8,800",12/14
서울 성북구, 현대백화점 미아점,10:00~19:30,"시급8,800",12/13
서울 강남구, 현대백화점,10:00~20:30,"시급8,800",12/13
서울 강남구, 현대백화점,10:00~20:30,"시급8,800",12/13
경기 성남시, 현대백화점 판교점,10:00~19:30,"시급10,000",12/13
서울 전체, 현대시티아울렛 동대문점,10:00~19:30,"시급8,800",12/13
울산 동구, 현대백화점 동구점,10:30~20:00,"시급8,800",12/12
서울 영등포, 더현대서울,09:30~19:00,"시급8,800",12/11
서울 전체, 현대시티아울렛 동대문점,10:00~19:30,"시급8,800",12/11
서울 강남구, 현대백화점 무역센터점,10:30~20:00,"시급9,200",12/10
경기 성남시, 현대백화점 판교점,10:00~19:00,"시급9,000",12/10
충북 청주시, 현대백화점 충청점,10:30~17:30,"시급8,800",12/08
