place,title,time,pay,date
부산 북구, 홍대개미 덕천점,10:00~22:00,"월급2,700,000",49분전
경기 수원시, 홍대개미 갤러리아 광교 직영점,11:00~20:00,"월급1,850,000",51분전
부산 부산진, 홍대개미 삼정타워점,시간협의,"월급1,800,000",1시간전
부산 부산진, 홍대개미 롯대백화점 부산본점,09:00~20:00,"월급2,150,000",1시간전
경기 수원시, 홍대개미 갤러리아 광교 직영점,11:00~20:00,"월급1,850,000",1시간전
부산 중구, 홍대개미 롯데백화점 광복점,10:00~21:00,"월급2,150,000",2시간전
부산 부산진, 홍대개미 롯대백화점 부산본점,09:00~20:00,"월급2,150,000",2시간전
부산 부산진, 홍대개미 롯대백화점 부산본점,09:00~20:00,"월급2,150,000",2시간전
경남 창원시, 홍대개미 창원점,11:00~21:30,"시급9,160",3시간전
경기 수원시, 홍대개미 갤러리아 광교 직영점,11:00~20:00,"월급1,850,000",4시간전
경기 수원시, 홍대개미 갤러리아 광교 직영점,11:00~20:00,"월급1,850,000",4시간전
대구 수성구, 홍대개미 대구신세계백화점,09:00~20:00,"월급2,150,000",4시간전
부산 중구, 홍대개미 롯데백화점 광복점,10:00~21:00,"월급2,150,000",4시간전
부산 부산진, 홍대개미 롯대백화점 부산본점,09:00~20:00,"월급2,150,000",5시간전
경기 안산시, 홍대개미,시간협의,"시급9,160",5시간전
경기 안산시, 홍대개미,시간협의,"시급9,160",5시간전
부산 북구, 홍대개미 덕천점,18:00~22:00,"시급9,160",6시간전
광주 서구, 홍대개미 신세계백화점 광주점,09:00~20:00,"월급2,150,000",6시간전
부산 부산진, 홍대개미 롯대백화점 부산본점,09:00~20:00,"월급2,150,000",7시간전
광주 서구, 홍대개미 신세계백화점 광주점,09:00~20:00,"월급2,150,000",7시간전
부산 부산진, 홍대개미 삼정타워점,시간협의,"월급1,800,000",7시간전
부산 중구, 홍대개미 롯데백화점 광복점,10:00~21:00,"월급2,150,000",18시간전
서울 성북구, 홍대개미청량리역사점,11:30~21:30,"월급2,150,000",21시간전
경기 수원시, 홍대개미 갤러리아 광교 직영점,11:00~20:00,"월급1,850,000",12/15
부산 중구, 홍대개미 롯데백화점 광복점,10:00~21:00,"월급2,150,000",12/14
서울 마포구, 홍대개미 공덕점,11:00~21:00,"월급2,150,000",12/14
서울 용산구, 홍대개미 서울역사점,16:00~20:30,"시급11,400",12/13
서울 마포구, 홍대개미 공덕점,13:00~21:00,"시급8,720",12/13
대구 수성구, 홍대개미 대구신세계백화점,09:00~20:00,"월급2,150,000",12/13
대구 수성구, 홍대개미 대구신세계백화점,09:00~20:00,"월급2,150,000",12/13
서울 성북구, 홍대개미청량리역사점,11:30~21:30,"월급2,150,000",12/13
서울 마포구, 홍대개미 공덕점,11:00~21:00,"월급2,150,000",12/12
부산 중구, 홍대개미 롯데백화점 광복점,10:00~21:00,"월급2,150,000",12/12
부산 해운대, 홍대개미 신세계백화점센텀시티점,09:00~20:00,"월급2,150,000",12/12
부산 북구, 홍대개미 덕천점,10:00~22:00,"월급2,400,000",12/12
서울 동대문, 홍대개미청량리역사점,11:30~21:30,"월급2,150,000",12/12
서울 중랑구, 홍대개미청량리역사점,11:30~21:30,"월급2,150,000",12/12
서울 성북구, 홍대개미청량리역사점,11:30~21:30,"월급2,150,000",12/11
대구 수성구, 홍대개미 대구신세계백화점,09:00~20:00,"월급2,150,000",12/11
광주 서구, 홍대개미상무점,09:30~21:00,"월급2,600,000",12/11
부산 해운대, 홍대개미 신세계백화점센텀시티점,09:00~20:00,"월급2,150,000",12/11
부산 해운대, 홍대개미 신세계백화점센텀시티점,09:00~20:00,"월급2,150,000",12/10
부산 해운대, 홍대개미 신세계백화점센텀시티점,09:00~20:00,"월급2,150,000",12/09
부산 해운대, 홍대개미 신세계백화점센텀시티점,09:00~20:00,"월급2,150,000",12/08
경기 안성시, 홍대개미스타필드안성,11:00~21:00,"월급2,200,000",12/07
경기 안성시, 홍대개미스타필드안성,11:00~21:00,"월급2,200,000",12/07
경기 평택시, 홍대개미스타필드안성,11:00~21:00,"월급2,200,000",12/07
경기 평택시, 홍대개미스타필드안성,11:00~21:00,"월급2,200,000",12/07
경기 평택시, 홍대개미스타필드안성,11:00~21:00,"월급2,200,000",12/07
서울 광진구, 홍대개미 롯데백화점 스타시티점,10:00~20:00,"월급1,850,000",12/06
