place,title,time,pay,date
경북 경산시, 7번가피자 경산사동점,17:30~22:30,"시급9,160",1분전
울산 남구, 7번가피자 공업탑점,시간협의,"시급8,720",1분전
울산 중구, 7번가피자 약사병영점,18:00~23:00,"시급8,720",1분전
강원 원주시, 7번가피자 기업도시점,17:00~20:30,"시급9,500",21분전
서울 강동구, 7번가피자 강일점,12:00~22:00,"시급9,160",25분전
서울 마포구, 7번가피자 서교망원점,시간협의,"시급10,500",42분전
인천 서구, 7번가피자검단점,18:00~23:00,"시급8,720",48분전
서울 강동구, 7번가피자 성내점,17:00~22:00,"시급10,700",56분전
대구 달서구, 7번가피자 성서점,시간협의,"시급9,500",1시간전
서울 서대문, 7번가피자 신촌마포점,시간협의,"시급9,000",2시간전
서울 강동구, 7번가피자 성내점,17:00~22:00,"시급10,700",2시간전
대구 달서구, 7번가피자 성서점,시간협의,"시급9,500",2시간전
충북 청주시, 7번가피자  용암점,17:30~22:30,"시급9,200",2시간전
경남 창원시, 7번가피자 석동점,17:00~22:00,"시급10,000",3시간전
경기 수원시, 7번가피자 정자점,18:00~23:00,"시급9,160",3시간전
충북 청주시, 7번가피자용암점,17:30~22:30,"시급9,200",4시간전
충북 청주시, 7번가피자  용암점,17:30~22:30,"시급9,200",4시간전
부산 기장군, 7번가피자 기장점,17:00~23:00,"시급10,000",4시간전
부산 기장군, 7번가피자 기장점,17:00~23:00,"시급10,000",4시간전
서울 강동구, 7번가피자 성내점,17:00~22:00,"시급10,700",4시간전
서울 동대문, 7번가피자 장안점,17:00~22:00,"시급10,000",4시간전
서울 동대문, 7번가피자 장안점,17:00~22:00,"시급10,000",5시간전
서울 동대문, 7번가피자 장안점,17:00~22:00,"시급10,000",5시간전
서울 동대문, 7번가피자 장안점,17:00~22:00,"시급10,000",5시간전
서울 노원구, 7번가 피자 상계점,11:00~21:00,"주급700,000",5시간전
서울 노원구, 7번가 피자 상계점,11:00~21:00,"주급600,000",5시간전
서울 노원구, 7번가 피자 상계점,11:00~23:00,"월급3,000,000",5시간전
대구 남구, 7번가피자 남구점,시간협의,"시급9,160",5시간전
강원 횡성군, 7번가피자 강원둔내점,11:30~21:30,"시급9,000",5시간전
경기 남양주, 7번가피자다산신도시점,시간협의,"시급9,500",5시간전
대구 북구, 7번가피자 칠곡점,11:00~23:00,"월급2,100,000",6시간전
대구 북구, 7번가피자 칠곡점,18:00~23:00,"시급9,160",6시간전
부산 기장군, 7번가피자 기장점,17:00~23:00,"시급10,000",7시간전
부산 기장군, 7번가피자 기장점,17:00~23:00,"시급10,000",7시간전
경기 부천시, 7번가피자 범박점,시간협의,"시급11,000",7시간전
경남 창원시, 7번가피자 석동점,17:00~22:00,"시급10,000",8시간전
경남 창원시, 7번가피자 석동점,17:00~21:00,"시급9,160",8시간전
충북 청주시, 7번가피자용암점,17:30~22:30,"시급9,200",8시간전
서울 서대문, 7번가피자 신촌마포점,시간협의,"시급9,160",8시간전
경기 부천시, 7번가피자 범박점,시간협의,"시급11,000",8시간전
경기 부천시, 7번가피자 범박점,시간협의,"시급11,000",8시간전
경기 부천시, 7번가피자 범박점,시간협의,"시급11,000",8시간전
서울 동대문, 7번가피자 장안점,17:00~22:00,"시급10,000",13시간전
대구 달서구, 7번가피자 성서점,시간협의,"시급9,500",18시간전
부산 기장군, 7번가피자 기장점,17:00~23:00,"시급10,000",19시간전
충북 청주시, 7번가피자 테크노폴리스점,18:00~22:00,"시급9,160",21시간전
서울 노원구, 7번가 피자 상계점,11:00~21:00,"주급600,000",12/14
경기 김포시, 7번가피자 김포사우점,시간협의,"시급8,720",12/14
대구 남구, 7번가피자 남구점,시간협의,"시급9,160",12/14
경기 용인시, 7번가 피자,18:00~22:00,"주급120,000",12/14
