place,title,time,pay,date
광주 전체, 미스힐링센터,13:00~04:00,"일급500,000",12분전
인천 남동구, 해몽,17:00~20:00,"시급8,720",12분전
대전 중구, 포차더옥상달빛,시간협의,"월급2,500,000",1시간전
대전 중구, 포차더옥상달빛,20:00~01:00,"시급8,800",1시간전
서울 성동구, 웨스트 PC방(WEST PC),08:00~15:00,"시급9,500",1시간전
서울 성동구, 웨스트 PC방(WEST PC),08:00~15:00,"시급9,500",1시간전
서울 성동구, 웨스트 PC방(WEST PC),08:00~15:00,"시급9,500",1시간전
부산 기장군, 해운대31cm해물칼국수 일광신도시점,11:00~16:00,"시급9,500",2시간전
대구 전체, 낙산가든,10:00~22:00,"월급2,800,000",2시간전
부산 남구, 유일한식탁,10:00~22:00,"월급2,500,000",3시간전
광주 전체, 미스힐링센터,13:00~04:00,"일급500,000",3시간전
경기 전체, 화두헤어살롱,10:00~11:00,"건별10,000",3시간전
경기 수원시, 화두헤어살롱,10:00~20:00,"월급1,920,000",3시간전
경기 수원시, 이화수전통육개장 수원권선점,10:30~15:30,"시급10,000",3시간전
경기 수원시, 이화수전통육개장 수원권선점,10:30~15:30,"시급10,000",3시간전
경기 수원시, 이화수전통육개장 수원권선점,10:30~15:30,"시급10,000",3시간전
부산 기장군, 해운대31cm해물칼국수 일광신도시점,10:00~15:00,"시급9,500",3시간전
경기 평택시, 이차돌 평택소사벌점,18:00~00:00,"시급9,500",4시간전
대구 수성구, 해피치즈스마일 수성못점,12:00~21:00,"시급9,160",4시간전
부산 기장군, 해운대31cm해물칼국수 일광신도시점,10:00~21:00,"월급2,700,000",4시간전
경기 평택시, 이차돌 평택소사벌점,18:00~00:00,"시급9,500",5시간전
경기 평택시, 이차돌 평택소사벌점,18:00~00:00,"시급9,500",5시간전
경기 성남시, 마왕족발 모란점,15:00~22:00,"시급9,500",5시간전
대구 수성구, 해피치즈스마일 수성못점,12:00~21:00,"시급9,000",5시간전
광주 북구, 비비큐(삼각오치점),17:30~23:00,"시급11,000",5시간전
경기 수원시, 탐나종합어시장(인계동점),18:00~06:00,"월급2,500,000",6시간전
경기 수원시, 탐나종합어시장(인계동점),18:00~06:00,"월급2,500,000",6시간전
경기 수원시, 탐나종합어시장(인계동점),18:00~06:00,"월급2,500,000",6시간전
경북 영주시, 크크크PC방,10:00~17:00,"시급8,720",6시간전
광주 전체, 뚜레쥬르 광주수완롯데점,07:30~22:30,"시급8,720",6시간전
전남 순천시, 샤브향 오천점,17:00~21:00,"시급9,000",7시간전
경기 고양시, 예플에스테틱일산백석점,11:00~09:00,"월급1,822,480",12/15
경기 고양시, 예플에스테틱일산백석점,12:00~10:00,"월급1,822,480",12/15
대구 전체, 낙산가든,10:00~22:00,"월급2,800,000",12/14
경남 창원시, 투다리더스퀘어점,19:30~00:00,"시급9,000",12/14
경남 창원시, 투다리더스퀘어점,19:30~00:00,"시급9,000",12/14
경남 창원시, 투다리더스퀘어점,19:30~00:00,"시급9,000",12/14
경기 화성시, 스타덤PC 반월점,시간협의,"시급10,464",12/14
대구 달서구, 바로고 본리지사,08:00~02:00,"월급4,000,000",12/14
대구 달서구, 바로고 본리지사,시간협의,"월급4,000,000",12/14
대구 달서구, 바로고 본리지사,08:00~02:00,"월급4,000,000",12/14
대구 달서구, 바로고대구성서허브,09:00~24:00,"월급5,000,000",12/14
대구 달서구, 바로고대구성서허브,09:00~24:00,"월급5,000,000",12/14
대구 달서구, 바로고대구성서허브,시간협의,"월급5,000,000",12/14
경북 영주시, 크크크PC방,10:00~17:00,"시급8,720",12/14
전북 익산시, 행복해(익산점),17:30~22:00,"시급9,000",12/14
전북 익산시, 행복해(익산점),18:00~20:00,"시급9,000",12/14
서울 송파구, 스파이더배달대행,시간협의,"건별4,000",12/14
서울 송파구, 스파이더배달대행,시간협의,"건별4,000",12/14
서울 송파구, 스파이더배달대행,시간협의,"건별4,000",12/14
