place,title,time,pay,date
서울 동작구, CU 상도터널점,20:00~23:00,"시급9,160",1분전
경북 경주시, CU 감포점,07:00~15:00,"시급8,720",1분전
인천 서구, CU 청라중흥점,23:00~09:00,"시급9,160",1분전
경기 평택시, CU 평택고덕행복점,15:00~22:00,"시급9,160",1분전
울산 울주군, CU 울산상북점,22:00~07:00,"시급9,160",1분전
부산 서구, CU 서구라온점,23:00~07:00,"시급8,720",1분전
경북 경주시, CU 감포점,19:00~07:00,"시급8,720",1분전
경기 남양주, CU 호평판곡점,18:00~24:00,"시급9,160",1분전
부산 수영구, CU 광안무학로점,20:00~08:00,"시급9,160",1분전
부산 서구, CU 서구라온점,23:00~07:00,"시급8,720",2분전
서울 동대문, CU 홍릉점,22:00~08:00,"시급9,200",2분전
경남 남해군, CU 남해수정점,13:00~01:00,"시급9,160",2분전
경기 평택시, CU 평택온누리점,22:00~07:00,"시급8,720",4분전
경기 화성시, CU 동탄새강타운점,18:00~24:00,"시급8,720",4분전
서울 광진구, CU 중곡중앙점,22:00~08:00,"시급9,300",4분전
경북 포항시, CU 양덕삼구4차점,12:00~19:00,"시급9,160",4분전
강원 평창군, CU 휘닉스평창점,시간협의,"시급9,160",5분전
경기 성남시, CU 분당백현마을점,00:00~07:00,"시급9,160",5분전
경기 성남시, CU 분당백현마을점,15:00~19:00,"시급9,160",5분전
대구 북구, CU 대구칠곡중앙대로점,00:00~10:00,"시급8,720",6분전
경기 남양주, CU 도농부영점,00:00~07:00,"시급8,720",6분전
경남 함안군, CU E함안휴게소순천점,20:00~08:00,"시급9,160",7분전
충북 청주시, CU 하복대원룸점,00:00~07:00,"시급9,160",7분전
경기 고양시, CU 백송마을점,24:00~07:00,"시급9,160",7분전
전북 전주시, CU 송천신일점,01:00~08:00,"시급9,160",7분전
경기 고양시, CU 백송마을점,23:00~08:00,"시급9,160",7분전
전북 남원시, CU 남원도통로드점,시간협의,"시급9,160",7분전
경기 의정부, CU 의정부한국점,시간협의,"시급8,720",7분전
부산 중구, CU 영주스카이점,00:00~06:00,"시급8,720",7분전
제주 제주시, CU 제주장전점,10:00~17:00,"시급9,160",7분전
서울 성북구, CU 보문파크뷰점,14:00~23:00,"시급8,720",8분전
서울 성북구, CU 보문파크뷰점,14:00~23:00,"시급8,720",8분전
서울 성북구, CU 보문파크뷰점,23:00~08:00,"시급8,720",8분전
서울 강남구, CU 압구정로데오점,22:00~07:00,"시급9,200",8분전
전남 순천시, CU 신대클래스점,18:00~22:00,"시급9,160",9분전
경기 구리시, CU 뉴구리초교점,10:30~17:30,"시급9,160",9분전
서울 성동구, CU 용답하이츠점,시간협의,"시급8,720",9분전
경남 창원시, CU 구암학원점,시간협의,"시급9,740",9분전
경기 용인시, CU 용인휴양림점,10:30~17:30,"시급9,160",10분전
전남 순천시, CU 신대클래스점,18:00~22:00,"시급9,160",10분전
경기 의정부, CU 의정부한국점,시간협의,"시급8,720",10분전
경남 남해군, CU 남해수정점,13:00~01:00,"시급9,160",10분전
서울 강남구, CU 압구정로데오점,22:00~07:00,"시급9,200",10분전
부산 사하구, CU 괴정스타점,시간협의,"시급9,160",10분전
경남 밀양시, 세븐일레븐푸르지오점,23:00~08:00,"시급9,160",11분전
울산 전체, CU 삼산세양점,23:00~09:00,"시급9,160",11분전
서울 전체, CU 창신쌍용1단지점,20:00~08:00,"시급8,720",11분전
강원 강릉시, CU 강릉유니시티점,17:00~24:00,"시급9,160",11분전
전남 순천시, CU 신대클래스점,18:00~22:00,"시급9,160",11분전
경기 용인시, CU 용인휴양림점,11:00~22:00,"시급9,160",11분전
