place,title,time,pay,date
경기 하남시, 폴더 하남스타필드점,13:00~22:00,"시급9,160",2분전
서울 강남구, 미쏘강남점,시간협의,"시급8,720",10분전
인천 남동구, 미쏘인천점,시간협의,"시급9,160",11분전
대전 서구, (주)이랜드월드 폴더 대전둔산점,시간협의,"시급8,720",12분전
서울 강남구, 미쏘 강남점,시간협의,"시급8,720",14분전
경기 안성시, 미쏘 안성스타필드점,15:00~22:00,"시급8,720",23분전
인천 남동구, 미쏘인천점,시간협의,"시급9,160",53분전
인천 남동구, 미쏘인천점,시간협의,"시급9,160",2시간전
서울 성동구, (주)이랜드월드 스파오,시간협의,"시급8,720",2시간전
경기 부천시, 폴더 폴더,시간협의,"시급9,160",2시간전
서울 성동구, (주)이랜드월드 스파오,시간협의,"시급8,720",2시간전
대전 전체, (주)이랜드월드 스파오,시간협의,"시급9,160",3시간전
전남 광양시, 미쏘 광양점,12:00~21:00,"시급8,720",3시간전
대전 서구, (주)이랜드월드 미쏘 대전롯데점,14:00~22:00,"시급9,160",3시간전
대전 전체, (주)이랜드월드 미쏘 대전롯데점,14:00~22:00,"시급9,160",3시간전
서울 성동구, (주)이랜드월드 스파오,시간협의,"시급8,720",3시간전
서울 성북구, 미쏘 미쏘,13:00~22:00,"시급9,160",3시간전
서울 영등포, (주)이랜드월드 미쏘 타임스퀘어점,시간협의,"시급9,160",4시간전
서울 영등포, (주)이랜드월드 미쏘 타임스퀘어점,시간협의,"시급9,160",4시간전
서울 마포구, (주)이랜드월드 스파오 합정점,시간협의,"시급8,720",4시간전
경기 안성시, 폴더 폴더,시간협의,"시급8,720",4시간전
경남 창원시, 폴더 마산합성점,시간협의,"시급9,160",4시간전
경기 안산시, 미쏘 안산점,시간협의,"시급8,720",4시간전
서울 성북구, 스파오 성신여대점,시간협의,"시급8,720",5시간전
대구 전체, (주)이랜드월드,시간협의,"시급9,160",5시간전
경기 안양시, (주)이랜드월드 미쏘 안양엔터식스점,13:00~22:00,"시급8,720",5시간전
경기 안성시, 미쏘 안성스타필드점,15:00~22:00,"시급8,720",5시간전
경기 안양시, (주)이랜드월드 미쏘 안양엔터식스점,시간협의,"시급8,720",6시간전
세종 전체, (주)이랜드월드 스파오,시간협의,"시급8,720",6시간전
서울 성북구, 미쏘 미쏘,13:00~22:00,"시급9,160",7시간전
경기 화성시, 스파오 동탄호수점,14:00~22:00,"시급8,720",7시간전
충북 청주시, (주)이랜드월드 폴더 청주지웰점,10:00~20:00,"시급9,160",7시간전
경북 구미시, (주)이랜드월드,12:00~21:00,"시급9,160",7시간전
서울 중구, 미쏘 명동점,12:00~21:00,"시급9,160",7시간전
서울 영등포, (주)이랜드월드 스파오 타임스퀘어점,시간협의,"시급8,720",8시간전
세종 전체, (주)이랜드월드 스파오,시간협의,"시급8,720",8시간전
서울 성북구, 미쏘 미쏘,13:00~22:00,"시급8,720",12시간전
경기 수원시, 폴더 AK수원하이라이트점,09:30~22:00,"시급8,720",16시간전
서울 마포구, (주)이랜드월드 스파오 합정점,시간협의,"시급8,720",17시간전
경기 안양시, (주)이랜드월드 미쏘 안양엔터식스점,13:00~22:00,"시급8,720",12/15
인천 남동구, 미쏘인천점,시간협의,"시급8,720",12/15
광주 동구, (주)이랜드월드 광주NC점,시간협의,"시급8,720",12/14
충남 천안시, (주)이랜드월드 스파오,시간협의,"시급8,720",12/14
충북 청주시, 폴더 청주성안점,시간협의,"시급8,720",12/14
서울 강남구, 미쏘코엑스,13:30~22:30,"시급8,720",12/14
경기 수원시, (주)이랜드월드,시간협의,"시급8,720",12/14
서울 영등포, (주)이랜드월드 미쏘 IFC몰점,시간협의,"시급8,720",12/14
서울 강남구, 미쏘 강남점,시간협의,"시급8,720",12/14
서울 성동구, (주)이랜드월드 스파오,시간협의,"시급8,720",12/13
울산 북구, 스파오 스파오,시간협의,"시급8,720",12/13
