place,title,time,pay,date
경기 의정부, GS25 의정중앙로점,17:00~01:00,"시급9,160",1분전
대전 서구, GS25한밭고점,시간협의,"시급9,160",1분전
전북 군산시, GS25선유아일랜드점,19:00~01:00,"시급9,160",1분전
경기 수원시, GS25성대복지회관점,12:00~15:00,"시급9,160",1분전
서울 영등포, GS25영등포당일점,19:00~22:00,"시급9,160",1분전
경남 창원시, GS25진해남문W점,23:00~09:00,"시급8,720",1분전
경기 화성시, GS25화성하길점,14:00~21:00,"시급8,720",1분전
경기 고양시, GS25마두연수원점,시간협의,"시급8,720",1분전
서울 송파구, GS25 풍납파크점,23:00~09:00,"시급9,000",1분전
서울 서초구, GS25잠원사랑점,18:00~23:00,"시급8,720",1분전
충남 아산시, GS25설화고점,15:00~21:00,"시급9,160",1분전
대전 서구, GS25갈마계룡로점,07:30~14:30,"시급9,160",1분전
전북 군산시, GS25 새만금기로점,14:00~21:00,"시급9,160",2분전
경기 용인시, GS25 용인남동점,23:00~09:00,"시급9,160",2분전
대구 달서구, GS25 성서화성점,18:00~23:00,"시급9,160",3분전
경기 용인시, GS25 용인남동점,23:00~08:00,"시급9,160",3분전
서울 서초구, GS25방배래미안점,23:00~07:00,"시급9,160",3분전
인천 미추홀, GS25용현경인점,18:00~00:00,"시급8,720",3분전
경기 시흥시, GS25장현프라자점,15:00~19:00,"시급9,160",3분전
서울 서대문, GS25 북가좌점,23:00~08:00,"시급8,720",3분전
서울 은평구, GS25명지가좌로점,24:00~10:00,"시급9,160",3분전
대전 서구, GS25갈마계룡로점,07:30~14:30,"시급9,160",4분전
경기 화성시, GS25향남7단지점,15:00~21:00,"시급9,000",4분전
경기 오산시, GS25오산서동점,22:00~09:00,"시급8,720",4분전
경기 의정부, GS25의정호동점,시간협의,"시급8,720",5분전
인천 미추홀, GS25학익미소점,23:00~06:00,"시급8,720",5분전
대구 달성군, GS25화원천내점,22:00~08:00,"시급9,160",5분전
서울 구로구, GS25오류금강점,08:00~15:00,"시급8,720",5분전
대전 서구, GS25관저스타점,23:00~08:00,"시급8,720",5분전
경기 용인시, GS25 용인남동점,09:00~16:00,"시급9,160",5분전
서울 강남구, GS25 도곡신호점,22:00~05:00,"시급9,500",6분전
서울 성동구, GS25왕십리동진점,00:00~07:00,"시급9,160",6분전
광주 동구, GS25광주대중점,시간협의,"시급8,720",6분전
경기 광명시, GS25S광명사거리역점,시간협의,"시급8,720",6분전
충북 청주시, GS25충북대후문점,22:00~08:00,"시급9,160",6분전
전북 군산시, GS25 새만금기로점,09:00~14:00,"시급9,160",6분전
울산 남구, GS25무거대성점,23:00~07:00,"시급8,720",6분전
경기 시흥시, GS25시화동원점,08:30~15:30,"시급8,720",7분전
대전 서구, GS25관저스타점,16:00~23:00,"시급8,720",7분전
충북 청주시, GS25운천세원점,22:00~08:00,"시급9,160",7분전
서울 서초구, GS25방배래미안점,23:00~07:00,"시급9,160",7분전
경기 성남시, GS25성남정석점,22:00~05:00,"시급9,300",8분전
인천 중구, GS25운서택지점,23:30~06:30,"시급9,160",8분전
울산 남구, GS25 울산중앙점,17:00~23:00,"시급8,720",8분전
강원 강릉시, GS25교동주공점,01:00~09:00,"시급9,160",8분전
충북 증평군, GS25증평창동점,22:00~08:00,"시급9,160",8분전
서울 동작구, GS25대방쉐르빌점,22:00~08:00,"시급9,160",9분전
경기 시흥시, GS25시화동원점,15:30~22:30,"시급8,720",9분전
경기 안산시, GS25고잔보배점,22:00~08:00,"시급9,160",10분전
서울 마포구, GS25동교행복점,23:00~09:00,"시급8,900",10분전
