place,title,time,pay,date
경남 진주시, (주)지에스리테일,17:00~20:00,"시급9,160",12분전
경남 창원시, (주)지에스리테일,16:00~19:00,"시급9,160",15분전
서울 관악구, GS리테일 H&B사업부문 랄라블라,18:00~21:00,"시급8,720",44분전
강원 원주시, (주)GS리테일 랄라블라 원주중앙점,15:30~20:00,"시급9,160",1시간전
서울 강서구, GS리테일 H&B 랄라블라 화곡점,17:00~21:00,"시급9,160",2시간전
충북 청주시, (주)지에스리테일,10:00~15:00,"시급9,160",2시간전
서울 강서구, GS리테일 H&B 랄라블라 화곡점,10:00~15:00,"시급9,160",2시간전
서울 강서구, GS리테일 H&B 랄라블라 화곡점,10:00~15:00,"시급9,160",2시간전
경남 창원시, (주)지에스리테일,11:00~15:30,"시급8,720",2시간전
전북 전주시, GS리테일 H&B / 전북도청점,17:30~22:00,"시급8,720",2시간전
경북 구미시, GS리테일 H&B 랄라블라 구미인동점,16:30~20:00,"시급8,720",2시간전
경기 수원시, (주)지에스리테일,17:00~22:00,"시급8,720",2시간전
충북 청주시, (주)지에스리테일,10:00~15:00,"시급9,160",3시간전
인천 전체, (주)지에스리테일 랄라블라 인천신현점,17:30~21:00,"시급8,720",4시간전
경남 진주시, (주)지에스리테일,11:00~15:00,"시급9,160",4시간전
경기 고양시, (주)지에스리테일,16:00~21:30,"시급8,720",4시간전
전남 여수시, (주)지에스리테일,10:00~14:30,"시급8,720",12/14
경기 용인시, GS리테일 H&B 랄라블라용인점,18:00~21:30,"시급8,720",12/14
서울 금천구, GS리테일 랄라블라 독산점,18:00~22:30,"시급8,720",12/14
서울 관악구, (주)지에스리테일 랄라블라 관악점,10:00~15:00,"시급8,720",12/14
경기 김포시, (주)지에스리테일,18:30~23:00,"시급8,720",12/13
경북 포항시, (주)지에스리테일,10:00~13:30,"시급8,720",12/12
경기 수원시, (주)지에스리테일,10:00~14:30,"시급8,720",12/12
경기 군포시, (주)지에스리테일,15:00~22:00,"시급8,720",12/12
경기 군포시, 왓슨스 본사,17:30~21:00,"시급8,720",12/11
경북 구미시, (주)지에스리테일,10:00~16:00,"시급8,720",12/11
전북 전주시, GS리테일 H&B / 전북도청점,17:30~22:00,"시급8,720",12/10
경기 김포시, GS리테일 랄라블라 김포구래점,18:30~23:30,"시급8,720",12/09
서울 동작구, (주)지에스리테일 랄라블라중대점,19:00~22:00,"시급8,720",12/08
경기 수원시, 왓슨스 본사,16:30~21:00,"시급8,720",12/07
서울 양천구, (주)지에스리테일,17:30~20:30,"시급8,720",12/07
서울 영등포, (주)지에스리테일 랄라블라,17:00~20:00,"시급8,720",12/06
경기 용인시, GS리테일 H&B 랄라블라용인점,18:00~21:30,"시급8,720",12/05
전남 여수시, (주)지에스리테일,10:00~14:30,"시급8,720",12/04
서울 영등포, (주)지에스리테일 랄라블라,10:00~13:00,"시급8,720",12/03
경기 수원시, (주)지에스리테일,17:00~22:00,"시급8,720",12/01
