place,title,time,pay,date
서울 강동구, KFC 천호역,시간협의,"시급9,160",1분전
부산 사상구, KFC 사상역,시간협의,"시급8,720",2분전
서울 영등포, KFC 당산역,시간협의,"시급9,160",10분전
대구 수성구, KFC 범어네거리,시간협의,"시급8,720",11분전
대구 수성구, KFC 범어네거리,시간협의,"시급8,720",11분전
경기 부천시, KFC 부천중동,09:30~24:00,"시급8,720",13분전
서울 강남구, KFC 학동역,17:00~23:00,"시급8,720",18분전
서울 강남구, KFC 학동역,17:00~23:00,"시급8,720",19분전
서울 강남구, KFC 학동역,17:00~23:00,"시급8,720",19분전
서울 송파구, KFC 개롱역,시간협의,"시급8,720",25분전
경기 파주시, KFC 야당역,17:00~01:00,"시급8,720",26분전
강원 춘천시, KFC 춘천석사,시간협의,"시급9,160",30분전
서울 금천구, KFC 독산동,시간협의,"시급8,720",32분전
강원 춘천시, KFC 춘천석사,시간협의,"시급9,160",32분전
경북 포항시, KFC 포항양덕DT,09:30~17:00,"시급9,160",34분전
경기 수원시, KFC 수원역사1,시간협의,"시급9,160",34분전
경기 남양주, KFC 덕소,시간협의,"시급9,160",43분전
경기 하남시, KFC 하남시청,시간협의,"시급9,160",47분전
경기 하남시, KFC 미사역,시간협의,"시급8,720",52분전
경기 하남시, KFC 미사역,시간협의,"시급8,720",56분전
서울 강남구, KFC 학동역,17:00~23:00,"시급8,720",1시간전
서울 강남구, KFC 학동역,17:00~23:00,"시급8,720",1시간전
서울 영등포, KFC 당산역,시간협의,"시급9,160",1시간전
부산 사상구, KFC 사상역,시간협의,"시급8,720",1시간전
대전 유성구, KFC 유성온천,시간협의,"시급9,160",2시간전
대전 유성구, KFC 유성온천,시간협의,"시급9,160",2시간전
서울 전체, KFC 고대안암,09:30~17:00,"시급9,160",2시간전
대구 수성구, KFC 대구시지,시간협의,"시급9,160",2시간전
대전 서구, KFC 대전시청역,시간협의,"시급9,160",2시간전
부산 부산진, KFC 부산지오21,시간협의,"시급8,720",2시간전
서울 중랑구, KFC 사가정,18:00~01:30,"시급9,160",2시간전
서울 중랑구, KFC 사가정,18:00~01:30,"시급9,160",2시간전
서울 중랑구, KFC 사가정,18:00~01:30,"시급9,160",2시간전
울산 남구, KFC 울산현대,시간협의,"시급9,160",2시간전
서울 종로구, KFC 광화문,09:00~17:00,"시급9,160",2시간전
서울 종로구, KFC 광화문,09:00~17:00,"시급9,160",2시간전
경기 하남시, KFC 미사역,시간협의,"시급8,720",2시간전
경기 남양주, KFC 덕소,시간협의,"시급8,720",2시간전
강원 춘천시, KFC 춘천이마트,시간협의,"시급9,160",2시간전
충남 천안시, KFC 천안불당,시간협의,"시급8,720",2시간전
서울 강동구, KFC 둔촌동,시간협의,"시급9,160",2시간전
충북 청주시, KFC 청주수곡DT,시간협의,"시급9,160",2시간전
서울 영등포, KFC 당산역,시간협의,"시급9,160",2시간전
경기 구리시, KFC 구리돌다리,시간협의,"시급9,160",2시간전
서울 전체, KFC 고대안암,17:00~00:30,"시급9,160",2시간전
대전 중구, KFC 은행동1,시간협의,"시급9,160",3시간전
대구 수성구, KFC 범어네거리,시간협의,"시급8,720",3시간전
경기 남양주, KFC 덕소,시간협의,"시급9,160",3시간전
대전 유성구, KFC 노은역,시간협의,"시급9,160",3시간전
대전 유성구, KFC 노은역,시간협의,"시급9,160",3시간전
