place,title,time,pay,date
경기 수원시, TGI FRIDAYS 롯데몰수원점,시간협의,"시급10,470",2시간전
경기 안양시, T.G.I Fridays 평촌점,00:00~24:00,"시급10,470",16시간전
경기 안양시, T.G.I Fridays 평촌점,시간협의,"시급10,470",16시간전
경기 안양시, T.G.I Fridays 평촌점,00:00~24:00,"시급10,470",19시간전
경기 안양시, T.G.I Fridays 평촌점,시간협의,"시급10,470",19시간전
부산 중구, TGIF광복점,시간협의,"시급10,470",21시간전
경기 수원시, TGI FRIDAYS 롯데몰수원점,시간협의,"시급10,470",22시간전
부산 중구, TGIF광복점,시간협의,"시급10,470",12/14
경기 수원시, TGI FRIDAYS 롯데몰수원점,시간협의,"시급10,470",12/13
서울 전체, 티지아이프라이데이 롯데백화점 잠실,시간협의,"시급10,470",12/13
경기 용인시, TGIF롯데몰수지점,시간협의,"시급10,470",12/13
부산 중구, TGIF광복점,시간협의,"시급10,470",12/12
경기 수원시, TGI FRIDAYS 롯데몰수원점,시간협의,"시급10,470",12/12
대전 서구, (주)엠에프지코리아/TGIF롯데대전점,시간협의,"시급10,470",12/11
서울 전체, 티지아이프라이데이 롯데백화점 잠실,시간협의,"시급10,470",12/08
서울 전체, 티지아이프라이데이 롯데백화점 잠실,시간협의,"시급10,470",12/07
경기 용인시, TGIF롯데몰수지점,시간협의,"시급10,470",12/07
경기 용인시, TGIF롯데몰수지점,시간협의,"시급10,470",12/07
경기 용인시, TGIF롯데몰수지점,시간협의,"시급10,470",12/07
경기 수원시, TGI FRIDAYS 롯데몰수원점,시간협의,"시급10,470",12/04
서울 전체, 티지아이프라이데이 롯데백화점 잠실,시간협의,"시급10,470",11/30
