place,title,time,pay,date
서울 은평구, 경성주막1929 연신내점,20:00~05:00,"월급2,300,000",2분전
인천 미추홀, 크라운호프 인천학익점,20:00~24:00,"시급9,160",3분전
세종 전체, 크라운호프 세종고운,17:30~01:00,"시급10,380",5분전
부산 북구, 크라운호프 부산화명점,시간협의,"월급2,500,000",39분전
부산 북구, 크라운호프 부산화명점,시간협의,"월급2,600,000",41분전
경북 김천시, 금복주류 김천신음점,18:00~02:00,"시급10,500",46분전
경북 김천시, 금복주류 김천신음점,20:00~04:00,"시급10,500",47분전
세종 전체, 크라운호프 세종고운,17:30~01:00,"시급10,380",1시간전
세종 전체, 크라운호프 세종고운,17:30~01:00,"시급10,380",1시간전
세종 전체, 크라운호프 세종고운,17:30~01:00,"시급10,380",1시간전
세종 전체, 크라운호프 세종고운,17:30~01:00,"시급10,380",1시간전
경남 진주시, 크라운호프 진주혁신점,19:00~01:00,"시급9,500",1시간전
충남 아산시, 크라운호프 온양온천,18:00~01:00,"시급10,000",1시간전
인천 미추홀, 크라운호프 인천학익점,20:00~24:00,"시급9,160",1시간전
전북 전주시, 크라운호프 전주삼천점,20:00~00:00,"시급9,500",1시간전
전북 전주시, 크라운호프 전주삼천점,21:00~04:00,"시급9,500",1시간전
전북 전주시, 크라운호프 전주삼천점,19:00~00:00,"시급10,000",1시간전
인천 서구, 크라운호프 청라점,19:00~02:00,"시급9,160",2시간전
인천 서구, 크라운호프 청라점,19:00~02:00,"시급9,160",2시간전
경기 이천시, 크라운호프 이천마장,04:30~01:30,"시급10,000",2시간전
전남 여수시, 크라운호프 여수죽림점,시간협의,"시급9,160",2시간전
경기 용인시, 크라운호프 이천마장,04:30~01:30,"시급10,000",2시간전
경기 시흥시, 크라운호프 시흥장곡점,21:00~02:00,"시급10,000",2시간전
울산 남구, 크라운호프 울산야음점,시간협의,"월급2,500,000",2시간전
경남 진주시, 크라운호프 진주혁신점,19:00~01:00,"시급9,500",3시간전
전북 전주시, 크라운호프 전주호성점,16:30~02:00,"월급2,500,000",3시간전
경기 부천시, 크라운호프 부천도당점,20:00~03:00,"시급10,000",3시간전
경기 화성시, 크라운호프 동탄북광장점,17:30~22:00,"시급10,000",3시간전
전북 전주시, 크라운호프 전주호성점,시간협의,"시급9,500",3시간전
인천 부평구, 크라운호프 삼산점,시간협의,"시급10,500",3시간전
울산 울주군, 크라운호프 울산천상,시간협의,"시급9,200",3시간전
울산 울주군, 크라운호프 울산천상,19:30~02:00,"시급9,200",3시간전
경남 진주시, 크라운호프 진주혁신점,19:00~01:00,"시급9,500",3시간전
광주 서구, 크라운호프 광주금호점,18:00~03:00,"시급9,160",3시간전
전북 전주시, 크라운호프 전주삼천점,20:00~00:00,"시급9,500",4시간전
전북 전주시, 크라운호프 전주삼천점,19:00~00:00,"시급10,000",4시간전
경남 진주시, 크라운호프 진주혁신점,19:00~01:00,"시급9,500",4시간전
전북 완주군, 크라운호프 완주봉동점,시간협의,"시급9,160",5시간전
제주 제주시, 크라운호프 연동점,18:00~01:00,"시급9,160",5시간전
경남 진주시, 크라운호프 진주평거점,20:00~02:00,"시급9,000",5시간전
인천 서구, 크라운호프 인천원창점,05:00~02:00,"시급10,000",5시간전
제주 제주시, 크라운호프 제주아라,시간협의,"시급10,000",6시간전
세종 도담동, 크라운호프 세종도담점,20:30~00:00,"시급9,500",6시간전
울산 중구, 크라운호프 울산병영,19:00~03:00,"월급2,150,000",7시간전
경기 시흥시, 크라운호프 시흥신천점,시간협의,"시급9,500",7시간전
경기 시흥시, 크라운호프 시흥신천점,시간협의,"시급9,500",7시간전
전남 무안군, 크라운호프 무안남악점,시간협의,"시급9,500",7시간전
인천 미추홀, 크라운호프 인천학익점,20:00~24:00,"시급9,160",7시간전
경기 시흥시, 크라운호프 시흥신천점,시간협의,"시급9,500",7시간전
경기 시흥시, 크라운호프 시흥신천점,시간협의,"시급9,500",8시간전
