place,title,time,pay,date
대전 대덕구, 교촌치킨 대전 법동점,12:00~21:00,"월급2,600,000",8분전
서울 서대문, 교촌치킨 서울중부 홍은1호점,17:00~22:00,"시급9,500",13분전
서울 성북구, 교촌치킨 서울 석관장위,18:00~23:00,"시급9,500",14분전
서울 동작구, 교촌치킨 서울 상도터널,12:00~00:00,"월급3,100,000",14분전
서울 성북구, 교촌치킨 서울 석관장위,18:00~24:00,"시급12,000",15분전
서울 성북구, 교촌치킨 서울 석관장위,12:00~24:00,"월급3,100,000",15분전
서울 서대문, 교촌치킨 서울중부 홍은1호점,17:00~22:00,"시급9,500",16분전
서울 도봉구, 교촌치킨 창동,05:00~23:00,"시급12,000",16분전
경기 성남시, 교촌치킨 성남위례,17:00~24:00,"시급9,500",16분전
서울 도봉구, 교촌치킨 창동,17:30~11:00,"시급9,160",16분전
경기 성남시, 교촌치킨 성남위례,17:00~24:00,"시급11,000",17분전
경기 성남시, 교촌치킨 성남위례,12:00~24:00,"시급9,500",17분전
서울 도봉구, 교촌치킨 서울 도봉동,17:00~24:00,"시급9,500",29분전
대전 유성구, 교촌치킨 송강,17:00~23:00,"시급11,000",31분전
대전 중구, 교촌치킨 대전 태평1호점,12:00~22:00,"월급2,600,000",33분전
전북 전주시, 교촌치킨 전북 효천점,17:00~24:00,"시급10,000",33분전
전북 전주시, 교촌치킨 전북 효천점,17:00~24:00,"시급10,000",33분전
서울 서대문, 교촌치킨 서울중부 홍은1호점,17:00~22:00,"시급9,500",34분전
경기 연천군, 교촌치킨 경기북부 전곡점,시간협의,"시급10,000",39분전
부산 남구, 교촌치킨 부산남북부 용호2호점,18:00~24:00,"시급9,300",42분전
부산 남구, 교촌치킨 부산남북부 용호2호점,17:00~24:00,"시급9,400",42분전
경기 성남시, 교촌치킨 동천1호점,17:00~23:00,"시급15,000",51분전
광주 동구, 교촌치킨 광주 전남대,17:00~01:30,"시급9,160",51분전
광주 북구, 교촌치킨 광주 전남대,17:00~01:30,"시급9,160",51분전
경기 용인시, 교촌치킨 동천1호점,17:00~23:00,"시급15,000",51분전
경기 성남시, 교촌치킨 경기중앙 모란역점,시간협의,"시급12,000",58분전
서울 중랑구, 교촌치킨 서울 면목1호,시간협의,"시급9,160",59분전
경기 구리시, 교촌치킨 구리 인창,시간협의,"월급2,500,000",59분전
경기 구리시, 교촌치킨 구리 인창,시간협의,"월급2,500,000",1시간전
경기 구리시, 교촌치킨 구리 인창,시간협의,"시급10,000",1시간전
경기 구리시, 교촌치킨 구리 인창,시간협의,"시급10,000",1시간전
경기 구리시, 교촌치킨 구리 인창,시간협의,"월급2,500,000",1시간전
경기 의왕시, 교촌치킨 경기 포일내손,18:00~23:00,"시급9,200",1시간전
경기 의왕시, 교촌치킨 경기 포일내손,18:00~23:00,"시급9,200",1시간전
경기 의왕시, 교촌치킨 경기 포일내손,18:00~24:00,"시급12,000",1시간전
서울 중구, 교촌치킨 약수,17:30~24:00,"시급9,500",1시간전
서울 중구, 교촌치킨 약수,17:30~24:00,"시급9,500",1시간전
서울 중구, 교촌치킨 약수,17:30~24:00,"시급9,500",1시간전
서울 마포구, 교촌치킨 신수,시간협의,"시급12,000",1시간전
서울 마포구, 교촌치킨 신수,시간협의,"시급12,000",1시간전
인천 연수구, 교촌치킨 인천 옥련,18:00~24:00,"시급10,000",1시간전
서울 마포구, 교촌치킨 신수,시간협의,"시급12,000",1시간전
서울 마포구, 교촌치킨 신수,시간협의,"시급12,000",1시간전
서울 마포구, 교촌치킨 신수,시간협의,"시급12,000",1시간전
전북 고창군, 교촌치킨 전북 고창점,17:00~24:00,"시급10,000",1시간전
경기 용인시, 교촌치킨 보라,15:00~24:00,"월급2,400,000",2시간전
전남 순천시, 교촌치킨 전남 조례,시간협의,"시급10,000",2시간전
경기 수원시, 교촌치킨 영통2호점,17:00~24:00,"시급9,500",2시간전
서울 강서구, 교촌치킨 까치산역,17:00~23:00,"시급11,000",2시간전
서울 성북구, 교촌치킨 서울북부 정릉1호점,시간협의,"시급12,000",2시간전
