place,title,time,pay,date
서울 강남구, 노브랜드 강남역삼점,09:00~22:00,"시급9,990",29분전
경기 광주시, (주)이마트,09:00~22:30,"시급9,990",30분전
경남 진주시, (주)이마트 노브랜드 진주충무공점,09:00~22:00,"시급9,990",46분전
전남 나주시, (주)이마트,08:00~22:00,"시급9,990",1시간전
경기 화성시, 노브랜드 화성반월점,10:30~22:00,"시급9,990",1시간전
충남 아산시, (주)이마트,09:30~21:30,"시급9,990",1시간전
충남 아산시, (주)이마트,09:30~21:30,"시급9,990",1시간전
경기 성남시, 노브랜드 판교운중점,09:00~22:00,"시급9,990",1시간전
경기 성남시, 노브랜드 판교운중점,09:00~22:00,"시급9,990",1시간전
경기 파주시, 노브랜드 파주아울렛점,08:00~21:30,"시급9,990",2시간전
충남 아산시, (주)이마트,09:30~21:30,"시급9,990",2시간전
대전 전체, (주)이마트,07:00~15:00,"시급9,990",2시간전
대전 서구, 노브랜드 대전관저점,08:00~22:00,"시급9,990",2시간전
경기 고양시, (주)이마트,09:00~22:00,"시급9,990",2시간전
경기 김포시, (주)이마트,10:30~22:00,"시급9,990",2시간전
경기 시흥시, (주)이마트,09:00~21:00,"시급9,990",3시간전
경기 시흥시, (주)이마트,09:00~21:00,"시급9,990",3시간전
경기 성남시, 노브랜드 성남이매2점,09:00~22:30,"시급9,990",3시간전
경기 수원시, (주)이마트,08:30~16:30,"시급9,990",4시간전
경기 용인시, 노브랜드 용인신봉점,09:00~17:00,"시급9,990",4시간전
경기 의정부, (주)이마트,14:30~22:30,"시급9,990",4시간전
경남 양산시, 노브랜드 양산물금점,08:00~22:30,"시급9,990",4시간전
경기 용인시, (주)이마트,시간협의,"시급9,990",5시간전
경기 의정부, (주)이마트,14:30~22:30,"시급9,990",5시간전
경기 시흥시, (주)이마트,09:00~21:00,"시급9,990",5시간전
경기 시흥시, (주)이마트,09:00~21:00,"시급9,990",5시간전
경기 고양시, (주)이마트,09:00~22:00,"시급9,990",13시간전
서울 강서구, 이마트 No Brand 강서가양점,시간협의,"시급9,990",20시간전
경기 용인시, (주)이마트,08:00~22:30,"시급9,990",20시간전
경기 광주시, 노브랜드 경기광주 태전점,시간협의,"시급9,990",21시간전
경기 시흥시, 노브랜드 시흥목감점,08:00~22:00,"시급9,990",23시간전
경기 시흥시, (주)이마트,09:00~21:00,"시급9,990",12/15
경기 수원시, (주)이마트 노브랜드 수원호매실2점,08:30~10:00,"시급9,700",12/15
경기 수원시, (주)이마트 노브랜드 수원호매실2점,08:30~10:30,"시급9,700",12/14
경기 하남시, (주)이마트,10:30~22:30,"시급9,990",12/14
서울 강남구, 노브랜드 강남역삼점,09:00~22:00,"시급9,990",12/14
대전 중구, (주)이마트,09:00~20:30,"시급9,990",12/14
충남 천안시, 노브랜드 천안신방점,09:30~22:30,"시급9,990",12/14
경기 광주시, (주)이마트,09:30~22:30,"시급9,990",12/14
경기 시흥시, 노브랜드 시흥목감점,08:00~22:00,"시급9,990",12/14
경기 고양시, (주)이마트,09:00~22:00,"시급9,990",12/14
경기 평택시, (주)이마트,10:30~22:00,"시급9,990",12/13
경기 의정부, (주)이마트,14:30~22:30,"시급9,990",12/13
경기 오산시, 노브랜드 오산수청점,08:00~22:00,"시급9,990",12/13
경기 성남시, 노브랜드 성남이매2점,09:00~22:30,"시급9,990",12/13
경기 수원시, (주)이마트 노브랜드 수원호매실2점,08:30~10:30,"시급9,700",12/13
경기 용인시, (주)이마트,시간협의,"시급9,990",12/13
경남 진주시, (주)이마트 노브랜드 진주충무공점,09:00~22:00,"시급9,990",12/13
대전 중구, (주)이마트,09:00~20:30,"시급9,990",12/13
경기 고양시, 노브랜드 고양풍동점,09:00~22:00,"시급9,990",12/13
