place,title,time,pay,date
충북 음성군, 다이소 음성혁신도시점,시간협의,"월급1,822,480",1분전
충북 제천시, 다이소 제천본점,시간협의,"시급8,720",3분전
충북 청주시, 다이소 청주본점,시간협의,"시급8,720",4분전
충북 청주시, 다이소 청주분평2호점,시간협의,"시급8,720",6분전
세종 고운동, 다이소 세종본점,시간협의,"월급1,822,480",7분전
전국 전체, 다이소 직영3현장CS팀,09:00~18:00,"월급1,822,480",10분전
전국 전체, 다이소 직영3현장CS팀,09:00~18:00,"월급1,822,480",10분전
전국 전체, 다이소 직영3현장CS팀,07:30~16:30,"월급1,822,480",10분전
강원 속초시, 다이소 속초본점,09:00~18:00,"월급1,822,480",10분전
강원 강릉시, 다이소 강릉중앙점,09:00~18:00,"월급1,822,480",11분전
충북 청주시, 다이소 청주율량2지구점,시간협의,"시급8,720",11분전
서울 강서구, 다이소 화곡역점,08:00~17:00,"월급1,822,480",11분전
서울 양천구, 다이소 목동역점,16:00~22:00,"시급8,720",12분전
충북 청주시, 다이소 홈플러스청주점,시간협의,"시급8,720",13분전
경기 하남시, 하남미사점,시간협의,"월급1,822,480",13분전
서울 양천구, 다이소 홈플러스목동점,09:00~18:00,"월급1,822,480",14분전
서울 영등포, 다이소 도림마트점,09:00~15:00,"시급8,720",15분전
서울 서초구, 다이소 방배역점,시간협의,"월급1,822,480",17분전
서울 강남구, 다이소 다이소강남구청역점,시간협의,"월급1,822,480",19분전
충북 청주시, 청주강서점,시간협의,"월급1,822,480",19분전
경기 하남시, 미사조정경기장점,시간협의,"월급1,822,480",20분전
충남 서산시, 서산동부시장점,시간협의,"시급8,720",29분전
서울 강남구, 다이소 코엑스몰점,시간협의,"시급8,720",30분전
경기 하남시, 하남미사점,시간협의,"월급1,822,480",32분전
충북 충주시, 다이소 충주법원사거리점,시간협의,"시급8,720",34분전
대전 동구, 다이소 패션아일랜드대전점,시간협의,"시급8,720",35분전
대전 동구, 다이소 대전가오점,시간협의,"시급8,720",36분전
서울 강남구, 선릉점,09:00~15:00,"시급8,720",36분전
대전 동구, 다이소 대전본점,16:00~19:00,"시급8,720",37분전
대전 동구, 다이소 대전본점,시간협의,"시급8,720",37분전
대전 서구, 다이소 대전시청점,시간협의,"시급8,720",38분전
대전 서구, 다이소 대전월평점,시간협의,"시급8,720",39분전
대전 유성구, 다이소 중호현장CS팀,시간협의,"시급8,720",39분전
서울 강남구, 다이소 강남본점,16:00~22:00,"시급8,720",41분전
대전 유성구, 다이소 롯데마트대덕테크노점,09:00~15:00,"시급8,720",42분전
대전 유성구, 다이소 대전유성온천역점,시간협의,"시급8,720",43분전
서울 송파구, 다이소 석촌점,시간협의,"월급1,822,480",44분전
대전 유성구, 다이소 대전노은점,10:00~16:00,"시급8,720",44분전
대전 유성구, 다이소 롯데마트대전노은점,시간협의,"월급1,822,480",46분전
대전 중구, 다이소 대전문화점,시간협의,"시급8,720",47분전
서울 강동구, 다이소 암사역점,10:00~16:00,"시급8,720",47분전
대전 중구, 다이소 대전문화점,시간협의,"시급8,720",48분전
대전 중구, 다이소 대전오류점,10:00~16:00,"시급8,720",49분전
서울 서초구, 다이소 방배역점,시간협의,"월급1,822,480",50분전
서울 강남구, 다이소 다이소강남구청역점,시간협의,"월급1,822,480",52분전
경기 의정부, 다이소 롯데마트장암점,09:30~15:30,"시급8,720",54분전
서울 강남구, 다이소 코엑스몰점,시간협의,"월급1,822,480",54분전
서울 강동구, 다이소 길동점,16:00~22:00,"시급8,720",54분전
경기 수원시, 다이소 홈플러스 북수원점,09:00~15:00,"시급8,720",58분전
서울 강동구, 다이소 상일동역점,15:00~21:00,"시급8,720",59분전
