place,title,time,pay,date
경기 안산시, 대교 눈높이 본일 러닝센터,13:00~19:30,"월급2,500,000",2분전
경기 안산시, 대교 눈높이 호동 러닝센터,13:00~19:30,"월급2,500,000",5분전
경북 구미시, 대교 눈높이 구미서부 교육국,시간협의,"월급2,100,000",6분전
강원 태백시, 대교 눈높이 태백동해 교육국,시간협의,"월급2,000,000",8분전
경기 안산시, 대교 눈높이 초당 러닝센터,13:00~19:30,"월급2,500,000",9분전
경기 안산시, 대교 눈높이 각골 러닝센터,13:00~19:30,"월급2,500,000",12분전
경기 안산시, 대교 눈높이 오름 러닝센터,13:00~19:30,"월급2,500,000",14분전
경기 안산시, 대교 눈높이 상록수 러닝센터,13:00~19:30,"월급2,500,000",18분전
경기 이천시, 대교 눈높이 이천북부 교육국,02:00~09:00,"월급2,000,000",18분전
경기 안산시, 대교 눈높이 본오 러닝센터,13:00~19:30,"월급2,500,000",21분전
서울 서초구, 대교 눈높이 반포 교육국,시간협의,"월급2,000,000",25분전
경기 안산시, 대교 눈높이 안산상록 교육국,13:00~19:30,"월급2,500,000",28분전
부산 해운대, 대교 눈높이 더푸른 러닝센터,시간협의,"월급2,500,000",28분전
부산 해운대, 대교 눈높이 늘푸른 러닝센터,시간협의,"월급2,500,000",31분전
부산 사상구, 대교 눈높이 부산사상 교육국,시간협의,"월급2,500,000",38분전
부산 해운대, 대교 눈높이 해원 러닝센터,시간협의,"월급2,500,000",40분전
부산 전체, 대교 눈높이 명륜 러닝센터,시간협의,"연봉30,000,000",40분전
서울 동대문, 대교 눈높이 동대문 교육국,11:00~19:00,"월급2,500,000",41분전
경남 김해시, 대교 눈높이 율곡 러닝센터,시간협의,"월급2,000,000",47분전
경남 김해시, 대교 눈높이 모산 러닝센터,시간협의,"월급2,000,000",47분전
경남 김해시, 대교 눈높이 김해장유 교육국,시간협의,"월급2,000,000",49분전
부산 전체, 대교 눈높이 부산동래 교육국,시간협의,"연봉30,000,000",52분전
경북 구미시, 대교 눈높이 구미서부 교육국,시간협의,"월급2,100,000",53분전
경기 고양시, 대교 눈높이 햇빛드림 러닝센터,13:30~22:30,"월급3,000,000",53분전
경기 화성시, 대교 눈높이 진안 러닝센터,01:00~08:00,"월급3,000,000",56분전
경북 구미시, 대교 눈높이 구미서부 교육국,시간협의,"월급2,100,000",56분전
경기 여주시, 대교 눈높이 여주 교육국,시간협의,"월급2,000,000",1시간전
서울 중랑구, 대교 눈높이 중랑월계 교육국,시간협의,"월급2,000,000",1시간전
경기 고양시, 대교 눈높이 햇빛드림 러닝센터,13:30~22:30,"월급3,000,000",1시간전
부산 금정구, 대교 눈높이 청룡 러닝센터,시간협의,"월급2,000,000",1시간전
충북 제천시, 대교 눈높이 장락 러닝센터,시간협의,"월급2,000,000",1시간전
대구 전체, 대교 눈높이 대구월성 교육국,시간협의,"월급2,000,000",1시간전
충북 제천시, 대교 눈높이 제천 교육국,시간협의,"월급2,000,000",1시간전
전남 여수시, 대교 눈높이 여수 교육국,13:00~20:00,"월급3,000,000",1시간전
강원 전체, 대교 눈높이 강원본부,시간협의,"월급2,000,000",1시간전
경기 파주시, 대교 눈높이 금촌탑클래스 러닝센터,11:30~20:30,"연봉36,000,000",1시간전
경기 파주시, 대교 눈높이 금촌탑클래스 러닝센터,11:30~20:30,"연봉36,000,000",1시간전
제주 서귀포, 대교 눈높이 제주서남 교육국,시간협의,"월급2,000,000",2시간전
서울 동대문, 대교 눈높이 동대문 교육국,11:00~19:00,"월급2,500,000",2시간전
광주 전체, 대교 눈높이 광주남부 교육국,시간협의,"월급2,300,000",2시간전
인천 전체, 대교 눈높이 삼산미래 러닝센터,시간협의,"월급2,200,000",2시간전
인천 전체, 대교 눈높이 동수 러닝센터,시간협의,"월급2,200,000",2시간전
인천 전체, 대교 눈높이 토지금고 러닝센터,시간협의,"월급2,200,000",2시간전
인천 전체, 대교 눈높이 신동아 러닝센터,시간협의,"월급2,200,000",2시간전
인천 전체, 대교 눈높이 간석 러닝센터,시간협의,"월급2,200,000",2시간전
전북 김제시, 대교 눈높이 검산 러닝센터,시간협의,"월급2,000,000",2시간전
인천 전체, 대교 눈높이 구월 러닝센터,시간협의,"월급2,200,000",2시간전
인천 전체, 대교 눈높이 인동 러닝센터,시간협의,"월급2,200,000",2시간전
인천 전체, 대교 눈높이 능허대 러닝센터,시간협의,"월급2,200,000",2시간전
인천 전체, 대교 눈높이 먼우금 러닝센터,시간협의,"월급2,200,000",2시간전
