place,title,time,pay,date
서울 전체, 대한곱창 잠실새내점,00:00~24:00,"시급10,500",1시간전
서울 전체, 대한곱창 잠실새내점,15:00~01:00,"월급2,700,000",2시간전
서울 광진구, 대한곱창 군자점,15:00~02:00,"월급3,000,000",2시간전
서울 광진구, 대한곱창 군자점,17:00~23:00,"시급11,000",2시간전
서울 송파구, 대한곱창 문정역점,시간협의,"시급11,000",2시간전
서울 광진구, 대한곱창 군자점,17:00~23:00,"시급11,000",4시간전
서울 광진구, 대한곱창 군자점,15:00~02:00,"월급3,000,000",4시간전
전남 여수시, 대한곱창 여수웅천점,18:00~22:00,"시급10,000",5시간전
전남 여수시, 대한곱창 여수웅천점,22:00~02:00,"월급1,600,000",5시간전
강원 춘천시, 대한곱창 춘천퇴계점,16:00~24:00,"월급2,300,000",7시간전
경남 창원시, 대한곱창 진해용원점,15:00~24:00,"월급2,500,000",14시간전
서울 전체, 대한곱창 선릉점,18:00~06:00,"월급2,400,000",12/14
서울 전체, 대한곱창 선릉점,18:00~06:00,"월급2,800,000",12/14
광주 서구, 대한곱창 광주금호점,18:30~22:00,"시급9,000",12/10
광주 서구, 대한곱창 광주금호점,18:30~22:00,"시급9,000",12/10
경기 안산시, 대한곱창 안산본오점,15:30~00:30,"월급2,100,000",12/10
경기 안산시, 대한곱창 안산본오점,15:30~00:30,"월급2,100,000",12/10
경기 안산시, 대한곱창 안산본오점,15:30~00:30,"월급2,100,000",12/10
경기 안산시, 대한곱창 안산본오점,15:30~00:30,"월급2,100,000",12/10
경기 남양주, 대한곱창 마석점,시간협의,"월급1,800,000",12/10
경기 남양주, 대한곱창 마석점,13:00~24:00,"월급2,600,000",12/10
경기 남양주, 대한곱창 마석점,시간협의,"월급2,600,000",12/10
전남 여수시, 대한곱창 여수웅천점,18:00~22:00,"시급10,000",12/10
부산 금정구, 대한곱창 부산대점,시간협의,"월급2,300,000",12/10
부산 금정구, 대한곱창 부산대점,시간협의,"월급2,300,000",12/10
부산 중구, 대한곱창 부산남포점,시간협의,"시급9,000",12/10
부산 중구, 대한곱창 부산남포점,시간협의,"시급9,000",12/10
전남 여수시, 대한곱창 여수웅천점,18:00~22:00,"시급10,000",12/10
부산 중구, 대한곱창 부산남포점,시간협의,"시급9,000",12/09
부산 중구, 대한곱창 부산남포점,시간협의,"시급9,000",12/08
울산 남구, 대한곱창 울산달동점,17:00~21:00,"시급8,800",12/08
울산 남구, 대한곱창 울산달동점,17:00~21:00,"시급8,800",12/08
울산 남구, 대한곱창 울산달동점,17:00~21:00,"시급8,800",12/08
울산 남구, 대한곱창 울산달동점,17:00~21:00,"시급8,800",12/08
부산 금정구, 대한곱창 부산대점,시간협의,"월급2,300,000",12/08
부산 금정구, 대한곱창 부산대점,시간협의,"월급2,300,000",12/08
부산 남구, 대한곱창 부산경성대점,17:30~20:30,"시급8,720",12/08
부산 남구, 대한곱창 부산경성대점,17:30~20:30,"시급8,720",12/08
부산 남구, 대한곱창 부산경성대점,19:00~23:00,"시급8,720",12/08
경기 남양주, 대한곱창 마석점,시간협의,"월급2,600,000",12/07
경기 광주시, 대한곱창 광주초월점,14:00~24:00,"월급2,500,000",12/05
경기 광주시, 대한곱창 광주초월점,14:00~24:00,"월급2,500,000",12/05
울산 남구, 대한곱창 울산달동점,17:00~21:00,"시급8,800",11/30
