place,title,time,pay,date
제주 서귀포, 딜리온 [딜리온]제주서귀포지사,시간협의,"건별3,500",1시간전
경기 오산시, [딜리온] 경기 오산점,10:00~22:00,"월급5,000,000",1시간전
경기 오산시, [딜리온] 경기 오산점,10:00~22:00,"월급5,000,000",1시간전
경기 오산시, [딜리온] 경기 오산점,10:00~22:00,"월급5,000,000",1시간전
인천 부평구, 딜리온 [딜리온] 인천부평청천지사,시간협의,"일급200,000",1시간전
인천 부평구, 딜리온 [딜리온] 인천부평청천지사,시간협의,"월급5,000,000",1시간전
전북 전주시, [딜리온] 전주지사,시간협의,"월급5,000,000",1시간전
전북 전주시, [딜리온] 전주지사,00:00~06:00,"월급5,000,000",2시간전
대구 달서구, [딜리온] 대구용산점,00:00~24:00,"건별4,000",2시간전
대구 달서구, [딜리온] 대구달서점,00:00~24:00,"건별4,000",2시간전
대구 달서구, [딜리온] 대구다사점,00:00~24:00,"건별4,000",2시간전
제주 서귀포, 딜리온 [딜리온]제주서귀포지사,시간협의,"건별3,500",3시간전
대구 전체, [딜리온] 대구두류점,시간협의,"월급4,000,000",3시간전
대구 전체, [딜리온] 대구두류점,시간협의,"월급4,000,000",3시간전
대구 전체, [딜리온] 대구두류점,시간협의,"월급4,000,000",3시간전
대구 달서구, [딜리온] 대구용산점,00:00~24:00,"건별4,000",4시간전
대구 달서구, [딜리온] 대구달서점,00:00~24:00,"건별4,000",4시간전
대구 달서구, [딜리온] 대구다사점,00:00~24:00,"건별4,000",4시간전
경기 평택시, 딜리온 [딜리온]경기평택지사,시간협의,"건별4,000",4시간전
경기 평택시, 딜리온 [딜리온]경기평택지사,시간협의,"건별4,000",4시간전
경기 평택시, 딜리온 [딜리온]경기평택지사,시간협의,"건별4,000",4시간전
대구 달성군, 딜리온 [딜리온] 대구 구지지점,시간협의,"일급150,000",5시간전
대구 달성군, 딜리온 [딜리온] 대구 구지지점,시간협의,"일급150,000",5시간전
대구 달성군, 딜리온 [딜리온] 대구 구지지점,시간협의,"일급150,000",5시간전
경기 수원시, 딜리온 [딜리온] 수원온수골지사,10:00~24:00,"월급4,000,000",6시간전
경기 수원시, 딜리온 [딜리온] 수원온수골지사,10:00~24:00,"월급4,000,000",6시간전
경기 수원시, 딜리온 [딜리온] 수원온수골지사,10:00~24:00,"월급4,000,000",6시간전
경기 오산시, 딜리온 [딜리온]경기오산2지사,시간협의,"시급30,000",7시간전
경기 오산시, 딜리온 [딜리온]경기오산2지사,시간협의,"시급30,000",7시간전
경기 오산시, 딜리온 [딜리온]경기오산2지사,시간협의,"시급30,000",7시간전
경기 광명시, 딜리온 [딜리온] 서울 구로광명지사,시간협의,"건별4,100",7시간전
경기 광명시, 딜리온 [딜리온] 서울 구로광명지사,시간협의,"건별4,100",7시간전
경기 광명시, 딜리온 [딜리온] 서울 구로광명지사,시간협의,"건별4,100",7시간전
대구 달서구, [딜리온] 대구용산점,00:00~24:00,"건별4,000",7시간전
대구 달서구, [딜리온] 대구달서점,00:00~24:00,"건별4,000",7시간전
대구 달서구, [딜리온] 대구다사점,00:00~24:00,"건별4,000",7시간전
경기 오산시, 딜리온 [딜리온] 경기오산지사,시간협의,"연봉100,000,000",8시간전
경기 오산시, 딜리온 [딜리온] 경기오산지사,08:00~02:00,"월급7,500,000",8시간전
경기 오산시, 딜리온 [딜리온] 경기오산지사,08:00~02:00,"일급300,000",8시간전
대구 북구, [딜리온] 대구사수점,11:00~24:00,"월급4,000,000",17시간전
대구 북구, [딜리온] 대구사수점,11:00~24:00,"월급4,000,000",17시간전
대구 북구, [딜리온] 대구사수점,11:00~24:00,"월급4,000,000",17시간전
대구 서구, 딜리온 [딜리온] 대구중리동지사,시간협의,"일급200,000",12/13
대구 서구, 딜리온 [딜리온] 대구중리동지사,시간협의,"일급200,000",12/13
대구 서구, 딜리온 [딜리온] 대구중리동지사,시간협의,"일급200,000",12/13
인천 부평구, 딜리온 [딜리온] 인천부평청천지사,시간협의,"일급200,000",12/13
인천 서구, [딜리온] 인천부평점,10:00~01:00,"일급300,000",12/13
인천 계양구, [딜리온] 인천부평점,10:00~01:00,"일급300,000",12/13
인천 부평구, [딜리온] 인천부평점,10:00~01:00,"일급300,000",12/13
부산 전체, [딜리온] 청년배달대행,10:00~02:00,"일급200,000",12/13
