place,title,time,pay,date
경남 김해시, 김해본점,시간협의,"일급200,000",1분전
경기 평택시, 딜버 평택 동삭점,08:00~01:00,"일급200,000",3분전
경기 평택시, 딜버 평택 동삭점,08:00~01:00,"일급200,000",4분전
경기 평택시, 딜버 평택 동삭점,08:00~01:00,"일급200,000",4분전
경기 평택시, 딜버 평택 비전점,시간협의,"일급200,000",4분전
경기 평택시, 딜버 평택 비전점,시간협의,"일급200,000",5분전
경기 평택시, 딜버 평택 비전점,시간협의,"일급200,000",5분전
경기 평택시, 딜버 경기 평택점,시간협의,"일급200,000",5분전
경기 평택시, 딜버 경기 평택점,시간협의,"일급200,000",6분전
경기 평택시, 딜버 경기 평택점,시간협의,"일급200,000",6분전
대전 전체, 딜버 대전 원내점,시간협의,"일급300,000",1시간전
대전 전체, 딜버 대전 원내점,시간협의,"일급300,000",1시간전
대전 전체, 딜버 대전 원내점,시간협의,"일급300,000",1시간전
경기 양주시, 딜버 딜버 경기양주옥정점,시간협의,"건별4,000",2시간전
경기 양주시, 딜버 딜버 경기양주옥정점,시간협의,"건별4,000",2시간전
경기 양주시, 딜버 딜버 경기양주옥정점,시간협의,"건별4,000",2시간전
전북 익산시, 딜버 익산본점,시간협의,"일급250,000",2시간전
전북 익산시, 딜버 익산본점,시간협의,"일급250,000",2시간전
전북 익산시, 딜버 익산본점,시간협의,"일급250,000",2시간전
대전 유성구, 딜버 봉명지점,시간협의,"일급250,000",2시간전
대전 전체, 딜버 봉명지점,시간협의,"일급250,000",2시간전
대전 유성구, 딜버 봉명지점,시간협의,"일급250,000",2시간전
경기 안양시, 안양만안점,11:00~03:00,"일급200,000",2시간전
경남 김해시, 장유1지점,08:00~03:30,"일급200,000",2시간전
경남 김해시, 김해본점,시간협의,"일급200,000",2시간전
광주 북구, 딜버 전대점,시간협의,"일급200,000",3시간전
광주 북구, 딜버 전대점,시간협의,"일급200,000",3시간전
전남 목포시, 딜버 목포점,시간협의,"일급150,000",3시간전
전남 목포시, 딜버 목포점,시간협의,"일급150,000",3시간전
전남 목포시, 딜버 목포점,시간협의,"일급150,000",3시간전
전남 목포시, 딜버 산정용해점,시간협의,"일급150,000",3시간전
전남 목포시, 딜버 산정용해점,시간협의,"일급150,000",3시간전
전남 목포시, 딜버 산정용해점,시간협의,"일급150,000",3시간전
경남 김해시, 딜버 장유무계점,시간협의,"일급200,000",3시간전
광주 북구, 딜버 광주 용봉점,시간협의,"일급150,000",3시간전
광주 북구, 딜버 광주 용봉점,시간협의,"일급150,000",3시간전
광주 북구, 딜버 광주 용봉점,시간협의,"일급150,000",3시간전
광주 북구, 딜버 광주 용봉점,08:00~20:00,"일급150,000",3시간전
광주 북구, 딜버 광주 용봉점,08:00~20:00,"일급150,000",3시간전
광주 북구, 딜버 광주 용봉점,08:00~20:00,"일급150,000",3시간전
대전 유성구, 딜버 구암지점,시간협의,"일급200,000",3시간전
부산 해운대, 딜버 오시리아점,00:00~24:00,"월급4,000,000",4시간전
부산 해운대, 딜버 오시리아점,00:00~24:00,"월급4,000,000",4시간전
부산 해운대, 해운대점,시간협의,"일급150,000",4시간전
대전 유성구, 딜버 구암지점,시간협의,"일급200,000",4시간전
경북 구미시, 구미옥계점,시간협의,"건별3,000",4시간전
경북 구미시, 구미옥계점,시간협의,"건별3,000",4시간전
경북 구미시, 구미옥계점,시간협의,"건별3,000",4시간전
경북 구미시, 구미산동점,시간협의,"건별3,000",4시간전
경북 구미시, 구미산동점,시간협의,"건별3,000",4시간전
