place,title,time,pay,date
경기 전체, (주)러쉬코리아,12:00~21:00,"시급10,790",57분전
경기 성남시, 러쉬 AK분당(서현),12:00~21:00,"시급10,790",3시간전
경기 용인시, (주)러쉬코리아,12:00~21:00,"시급10,790",4시간전
경기 전체, (주)러쉬코리아,12:00~21:00,"시급10,790",4시간전
서울 서대문, (주)러쉬코리아,시간협의,"시급10,790",6시간전
서울 양천구, (주)러쉬코리아 현대목동점,시간협의,"시급10,790",6시간전
서울 강남구, (주)러쉬코리아,09:30~20:30,"시급10,790",7시간전
대전 유성구, (주)러쉬코리아,시간협의,"시급10,790",11시간전
충남 천안시, (주)러쉬코리아,10:30~08:30,"시급10,790",15시간전
서울 중구, 러쉬 신세계본점,09:30~20:30,"시급10,790",21시간전
경기 성남시, (주)러쉬코리아,시간협의,"시급10,790",23시간전
울산 남구, (주)러쉬코리아,10:00~20:30,"시급10,790",12/15
서울 서대문, (주)러쉬코리아,시간협의,"시급10,790",12/14
서울 동대문, (주)러쉬코리아,13:00~20:00,"시급10,790",12/14
경기 전체, (주)러쉬코리아,12:00~21:00,"시급10,790",12/14
대전 유성구, (주)러쉬코리아,시간협의,"시급10,790",12/13
광주 전체, 러쉬 롯데광주,시간협의,"시급10,790",12/12
울산 남구, 러쉬 롯데울산,10:00~20:30,"시급10,790",12/12
경기 용인시, (주)러쉬코리아,12:00~21:00,"시급10,790",12/12
서울 영등포, (주)러쉬코리아,시간협의,"시급10,790",12/11
전국 전체, (주)러쉬 러쉬코리아,시간협의,"시급10,790",12/11
서울 송파구, (주)러쉬코리아,13:00~22:00,"시급10,790",12/11
서울 송파구, (주)러쉬코리아,09:30~18:30,"시급10,790",12/11
서울 성북구, (주)러쉬코리아,12:00~20:00,"시급10,790",12/10
서울 강남구, 러쉬 가로수길,시간협의,"시급10,790",12/10
서울 전체, (주)러쉬코리아,시간협의,"시급10,790",12/09
부산 전체, (주)러쉬코리아,시간협의,"시급10,790",12/09
경기 안양시, (주)러쉬코리아 롯데평촌점,시간협의,"시급10,790",12/07
대구 동구, 러쉬 신세계대구,12:00~20:30,"시급10,790",12/06
대전 서구, 러쉬 갤러리아 타임월드점,10:00~20:30,"시급10,790",12/06
서울 서초구, 러쉬 신세계강남,시간협의,"시급10,790",12/06
서울 서초구, (주)러쉬코리아 강남역점,10:00~22:00,"시급10,790",12/03
경기 부천시, 러쉬 현대중동,시간협의,"시급10,790",12/03
경기 하남시, (주)러쉬코리아,시간협의,"시급10,790",12/01
광주 서구, 러쉬코리아 신세계광주,09:00~20:30,"시급10,790",11/30
