place,title,time,pay,date
대전 유성구, 롯데리아 대전관평점,시간협의,"월급2,200,000",12분전
부산 사하구, 롯데리아 부산동아대,17:00~22:30,"시급8,720",23분전
경기 남양주, 롯데리아 장현점,14:00~23:00,"월급2,000,000",24분전
서울 전체, 롯데리아 DMC항동점,시간협의,"시급8,720",25분전
경기 전체, 롯데리아 DMC항동점,시간협의,"시급8,720",26분전
인천 남동구, 롯데리아 인천구월점,08:00~23:00,"시급10,000",27분전
인천 남동구, 롯데리아 인천구월점,09:00~23:00,"시급8,720",27분전
부산 부산진, 롯데리아 서면지하상가점,시간협의,"시급8,720",29분전
부산 부산진, 롯데리아 서면지하상가점,시간협의,"시급8,720",30분전
부산 부산진, 롯데리아 서면지하상가점,시간협의,"시급8,720",30분전
서울 금천구, 롯데리아 구로가산점,17:00~10:00,"시급9,160",30분전
서울 용산구, 롯데리아 서울역사점,시간협의,"시급8,720",31분전
서울 용산구, 롯데리아 서울역사점,시간협의,"시급8,720",31분전
서울 용산구, 롯데리아 서울역사점,시간협의,"시급8,720",32분전
서울 용산구, 롯데리아 서울역사점,시간협의,"시급8,720",32분전
서울 용산구, 롯데리아 서울역사점,시간협의,"시급8,720",33분전
충북 청주시, 롯데리아 청주사천점,시간협의,"시급9,160",35분전
충북 청주시, 롯데리아 청주강내점,08:00~22:00,"시급9,160",35분전
경기 화성시, 롯데리아 화성발안점,시간협의,"시급9,160",38분전
경기 화성시, 롯데리아 화성발안점,시간협의,"월급2,100,000",39분전
광주 광산구, 롯데리아 광주하남2지구점,09:00~18:00,"월급2,300,000",39분전
광주 광산구, 롯데리아 광주하남2지구점,09:00~18:00,"시급9,220",39분전
광주 광산구, 롯데리아 광주하남2지구점,09:00~18:00,"시급9,220",39분전
광주 광산구, 롯데리아 광주하남2지구점,09:00~18:00,"시급9,220",39분전
광주 광산구, 롯데리아 광주하남2지구점,09:00~18:00,"시급9,220",39분전
광주 북구, 롯데리아 광주신용점,09:00~18:00,"시급9,220",39분전
광주 북구, 롯데리아 광주신용점,09:00~18:00,"시급9,220",39분전
광주 북구, 롯데리아 광주신용점,09:00~18:00,"시급9,220",39분전
광주 북구, 롯데리아 광주신용점,09:00~18:00,"월급2,300,000",39분전
광주 북구, 롯데리아 광주신용점,09:00~18:00,"시급9,220",39분전
경남 양산시, 롯데리아 양산물금점,시간협의,"시급8,720",40분전
경남 양산시, 롯데리아 양산물금점,시간협의,"시급8,720",41분전
경남 양산시, 롯데리아 양산물금점,시간협의,"시급8,720",42분전
대구 달서구, 롯데리아 대구용산점,17:00~23:00,"시급9,160",44분전
경기 의정부, 롯데리아 의정부호원점,16:30~01:30,"월급1,920,000",47분전
충북 청주시, 롯데리아 청주사천점,시간협의,"시급9,160",48분전
경기 의정부, 롯데리아 의정부호원점,시간협의,"시급9,160",48분전
충북 청주시, 롯데리아 청주강내점,08:00~22:00,"시급9,160",49분전
전남 담양군, 롯데리아 담양D/T점,시간협의,"시급9,160",50분전
울산 남구, 롯데리아 롯데마트울산점,시간협의,"시급8,720",52분전
울산 남구, 롯데리아 롯데마트울산점,시간협의,"시급8,720",53분전
울산 남구, 롯데리아 롯데마트울산점,시간협의,"시급8,720",53분전
대구 달서구, 롯데리아 대구용산점,시간협의,"월급2,000,000",58분전
경남 진주시, 롯데리아 진주혁신,15:00~24:00,"시급8,720",59분전
부산 동구, 롯데리아 부산역점,시간협의,"시급9,160",1시간전
서울 성북구, 롯데리아 성신여대점,00:00~24:00,"시급8,720",1시간전
서울 성북구, 롯데리아 성신여대점,00:00~24:00,"시급8,720",1시간전
서울 성북구, 롯데리아 성신여대점,00:00~24:00,"시급8,720",1시간전
서울 성북구, 롯데리아 성신여대점,00:00~24:00,"시급8,720",1시간전
서울 성북구, 롯데리아 성신여대점,00:00~24:00,"시급8,720",1시간전
