place,title,time,pay,date
인천 중구, 롯데쇼핑(주)롯데마트영종도점,시간협의,"시급8,750",6분전
경기 성남시, 롯데마트 판교점,시간협의,"시급8,750",14분전
경기 전체, 롯데쇼핑(주) 롯데마트광교점,시간협의,"시급9,160",28분전
경기 전체, 롯데마트 신갈점,시간협의,"시급9,160",32분전
서울 동대문, 롯데쇼핑(주)롯데마트 청량리점,13:00~21:00,"시급8,750",34분전
경남 양산시, 롯데마트웅상점,시간협의,"시급8,850",39분전
경기 시흥시, 롯데마트 배곧점,시간협의,"시급8,850",40분전
경기 전체, 롯데마트 신갈점,시간협의,"시급9,160",1시간전
인천 서구, 롯데쇼핑(주)롯데마트 검단점,시간협의,"시급8,750",1시간전
부산 중구, 롯데마트 광복점,시간협의,"월급1,600,000",1시간전
경기 전체, 롯데마트 신갈점,시간협의,"시급9,160",1시간전
제주 제주시, 롯데마트 제주점,09:30~17:30,"월급1,601,300",1시간전
인천 계양구, 롯데쇼핑(주)롯데마트 계양점,시간협의,"시급8,720",1시간전
경기 전체, 롯데마트 신갈점,시간협의,"시급9,160",1시간전
부산 중구, 롯데마트 광복점,시간협의,"시급8,750",1시간전
서울 금천구, 롯데쇼핑(주)롯데마트 금천점,10:00~22:00,"시급8,750",1시간전
경남 양산시, 롯데마트웅상점,시간협의,"시급8,750",2시간전
경기 전체, 롯데마트 신갈점,시간협의,"시급9,160",2시간전
서울 전체, 롯데쇼핑(주)롯데마트 서울양평점,시간협의,"시급8,850",2시간전
경기 수원시, 롯데쇼핑(주)롯데마트수원점,10:00~22:30,"시급8,750",2시간전
서울 전체, 롯데쇼핑(주)롯데마트 서울양평점,시간협의,"시급8,850",2시간전
경기 이천시, 롯데쇼핑(주)롯데마트 이천점,시간협의,"월급1,600,000",2시간전
제주 제주시, 롯데마트 제주점,09:30~17:30,"월급1,601,300",3시간전
경기 동두천, 롯데마트,시간협의,"시급8,850",3시간전
전남 여수시, 롯데마트 여수점,09:00~23:00,"시급9,160",3시간전
경기 성남시, 롯데마트 판교점,시간협의,"시급8,750",3시간전
인천 미추홀, 롯데인천개발(주)롯데마트 인천터미널점,시간협의,"월급1,601,300",3시간전
경기 남양주, 롯데마트 마석점,시간협의,"시급8,750",4시간전
인천 중구, 롯데쇼핑(주)롯데마트영종도점,시간협의,"월급1,600,000",4시간전
인천 중구, 롯데쇼핑(주)롯데마트영종도점,시간협의,"시급8,750",4시간전
서울 은평구, 롯데마트 은평점,00:00~24:00,"시급8,750",4시간전
서울 광진구, 롯데마트 강변점,07:30~23:00,"시급8,750",4시간전
제주 제주시, 롯데마트 제주점,09:30~17:30,"월급1,601,300",4시간전
울산 남구, 롯데마트 울산점,시간협의,"월급1,601,300",4시간전
경기 성남시, 롯데마트 판교점,시간협의,"시급8,750",4시간전
인천 중구, 롯데쇼핑(주)롯데마트영종도점,시간협의,"월급1,600,000",5시간전
서울 광진구, 롯데마트 강변점,08:00~23:00,"시급8,750",5시간전
서울 전체, 롯데쇼핑(주)롯데마트 서울양평점,시간협의,"시급8,850",20시간전
전북 정읍시, 롯데마트 정읍점,시간협의,"시급8,850",20시간전
경북 김천시, 롯데마트김천점,09:00~22:00,"시급8,750",21시간전
대전 유성구, 롯데마트 대덕점,09:00~22:00,"시급8,750",22시간전
경기 안산시, 롯데마트 상록점,시간협의,"시급8,750",22시간전
전남 여수시, 롯데마트여천점,시간협의,"시급8,750",22시간전
전남 나주시, 롯데쇼핑(주)롯데마트 나주점,시간협의,"시급8,750",23시간전
경기 안산시, 롯데쇼핑(주)롯데마트 선부점,시간협의,"시급8,750",23시간전
경기 남양주, 롯데마트 마석점,시간협의,"시급8,750",12/14
전북 정읍시, 롯데마트 정읍점,시간협의,"시급8,750",12/14
부산 동래구, 롯데마트동래점,시간협의,"시급8,850",12/14
경기 성남시, 롯데마트 판교점,시간협의,"시급8,750",12/14
충북 청주시, 롯데마트상당점,09:00~22:00,"시급8,750",12/14
