place,title,time,pay,date
인천 연수구, 마왕족발 인천연수점(직영),15:00~24:00,"시급10,464",1시간전
대구 달서구, 마왕족발 대구계명대점,시간협의,"월급300,000",1시간전
인천 연수구, 마왕족발 인천연수점(직영),15:00~24:00,"월급2,400,000",2시간전
인천 연수구, 마왕족발 인천연수점(직영),15:00~24:00,"월급2,400,000",2시간전
인천 연수구, 마왕족발 인천연수점(직영),15:00~24:00,"시급10,464",4시간전
경기 성남시, 마왕족발 정자점(직영),11:00~23:00,"월급2,400,000",5시간전
경기 용인시, 마왕족발 용인동백점,15:00~23:00,"월급2,300,000",7시간전
인천 계양구, 마왕족발 인천효성점,시간협의,"월급2,300,000",14시간전
인천 서구, 마왕족발 청라점,18:00~23:00,"시급9,500",12/11
경기 용인시, 마왕족발 용인동백점,시간협의,"시급10,500",12/10
서울 금천구, 마왕족발 독산점,15:00~00:00,"월급2,200,000",12/09
서울 금천구, 마왕족발 독산점,15:00~00:00,"월급2,200,000",12/09
서울 금천구, 마왕족발 독산점,15:00~00:00,"월급2,200,000",12/09
서울 금천구, 마왕족발 독산점,15:00~00:00,"월급2,200,000",12/09
인천 서구, 마왕족발 청라점,16:00~00:30,"월급2,300,000",12/07
대구 달서구, 마왕족발 대구계명대점,시간협의,"시급9,160",12/04
대전 서구, 마왕족발 대전둔산직영점,11:00~20:00,"월급2,630,000",12/04
대전 서구, 마왕족발 대전둔산직영점,11:00~20:00,"월급2,630,000",12/04
대전 서구, 마왕족발 대전둔산직영점,11:00~20:00,"월급2,630,000",12/04
대전 서구, 마왕족발 대전둔산직영점,11:00~20:00,"월급2,630,000",12/04
대전 서구, 마왕족발 대전둔산직영점,11:00~20:00,"월급2,630,000",12/04
서울 금천구, 마왕족발 독산점,15:00~01:00,"월급2,600,000",12/03
부산 연제구, 마왕족발 부산연산점,16:30~09:30,"시급9,000",12/02
부산 연제구, 마왕족발 부산연산점,16:30~09:30,"시급9,000",12/02
서울 송파구, 마왕족발 위례신도시점,17:00~21:00,"시급10,500",11/30
