place,title,time,pay,date
서울 영등포, 매드포갈릭 영등포타임스퀘어점,12:30~21:30,"시급10,470",38분전
서울 강남구, 매드포갈릭 도곡점,12:00~21:00,"시급10,470",39분전
서울 강남구, 매드포갈릭봉은사아이파크타워점,11:30~20:30,"시급10,470",53분전
경기 평택시, 매드포갈릭 평택AK플라자점,시간협의,"시급10,470",1시간전
서울 송파구, 매드포갈릭 롯데월드타워점,13:00~22:00,"시급10,470",2시간전
서울 송파구, 매드포갈릭 롯데월드타워점,13:00~22:00,"시급10,470",2시간전
경기 평택시, (주)엠에프지코리아,10:00~15:30,"시급10,470",2시간전
서울 영등포, 매드포갈릭 영등포타임스퀘어점,12:30~21:30,"시급10,470",2시간전
서울 금천구, 엠에프지코리아 매드포갈릭 가산점,시간협의,"시급10,470",2시간전
서울 양천구, 매드포갈릭 목동점,11:30~21:00,"시급10,470",3시간전
서울 광진구, 매드포갈릭 건대스타시티점,시간협의,"시급10,470",3시간전
서울 서초구, 매드포갈릭 삼성타운점,시간협의,"시급10,460",3시간전
서울 서초구, 매드포갈릭 예술의 전당점,11:30~20:30,"시급10,470",3시간전
부산 기장군, 매드포갈릭 롯데몰동부산점,12:00~21:00,"시급10,470",3시간전
대전 서구, 매드포갈릭 대전둔산점,11:30~20:30,"시급10,470",3시간전
부산 기장군, 매드포갈릭 롯데몰동부산점,12:00~21:00,"시급10,470",3시간전
서울 강서구, 매드포갈릭 발산점,시간협의,"시급10,470",4시간전
전국 전체, 주식회사엠에프지코리아매드포갈릭합정점,12:00~21:00,"시급10,470",4시간전
서울 영등포, 매드포갈릭 영등포타임스퀘어점,12:30~21:30,"시급10,470",4시간전
경기 성남시, 매드포갈릭 판교 라스트리트점,11:30~20:30,"시급10,470",4시간전
경기 부천시, 매드포갈릭 부천중동현대점,18:30~21:30,"시급10,470",4시간전
서울 강서구, 매드포갈릭 발산점,시간협의,"시급10,470",4시간전
경남 창원시, 매드포갈릭 창원점,12:00~21:00,"시급10,470",4시간전
경기 의정부, (주)MFG 코리아 매드포갈릭 의정부,시간협의,"시급10,470",4시간전
서울 강남구, 매드포갈릭 도곡점,12:00~21:00,"시급10,470",5시간전
부산 기장군, 매드포갈릭 롯데몰 동부산점,시간협의,"시급10,470",5시간전
경기 수원시, 매드포갈릭 롯데시네마 수원역점,10:30~15:00,"시급10,470",5시간전
서울 서초구, 매드포갈릭 삼성타운점,시간협의,"시급10,470",6시간전
서울 전체, 매드포갈릭 삼성타운점,시간협의,"시급10,470",6시간전
서울 전체, 매드포갈릭 삼성타운점,시간협의,"시급10,470",6시간전
서울 강남구, 매드포갈릭 도곡점,12:00~21:00,"시급10,470",7시간전
서울 서초구, 매드포갈릭 예술의 전당점,11:30~20:30,"시급10,470",7시간전
서울 강남구, (주)엠에프지코리아 매드포갈릭 역삼점,시간협의,"시급10,470",23시간전
서울 서초구, 매드포갈릭 사당점,12:00~21:00,"시급10,470",12/15
서울 송파구, 매드포갈릭 롯데월드타워점,13:00~22:00,"시급10,470",12/15
서울 강남구, 매드포갈릭 도곡점,12:00~21:00,"시급10,470",12/15
서울 영등포, 매드포갈릭 영등포타임스퀘어점,12:30~21:30,"시급10,470",12/15
경기 성남시, 매드포갈릭 판교 라스트리트점,12:00~16:30,"시급10,470",12/14
서울 서초구, 매드포갈릭 예술의 전당점,11:30~20:30,"시급10,470",12/14
전국 전체, 주식회사엠에프지코리아매드포갈릭합정점,12:00~21:00,"시급10,470",12/14
서울 금천구, 엠에프지코리아 매드포갈릭 가산점,시간협의,"시급10,470",12/14
경기 성남시, 매드포갈릭 분당서현점,12:00~21:00,"시급10,470",12/14
서울 송파구, 매드포갈릭 롯데월드타워점,13:00~22:00,"시급10,470",12/14
서울 영등포, 매드포갈릭 영등포타임스퀘어점,12:30~21:30,"시급10,470",12/14
서울 강남구, 매드포갈릭봉은사아이파크타워점,11:30~20:30,"시급10,470",12/13
전국 전체, 주식회사엠에프지코리아매드포갈릭합정점,12:00~21:00,"시급10,470",12/13
경기 수원시, 매드포갈릭 롯데시네마 수원역점,시간협의,"시급10,470",12/13
서울 강남구, 매드포갈릭 도곡점,12:00~21:00,"시급10,470",12/13
서울 강서구, 매드포갈릭 발산점,시간협의,"시급10,470",12/12
경기 성남시, 매드포갈릭 판교 라스트리트점,18:00~21:00,"시급10,470",12/12
