place,title,time,pay,date
경기 성남시, 매머드커피 판교,07:30~13:30,"시급10,500",50분전
경기 성남시, 매머드커피 판교,07:30~13:30,"시급10,500",1시간전
서울 송파구, 매머드커피 루터회관점,07:30~10:00,"시급9,160",2시간전
경기 성남시, 매머드커피 판교,07:30~13:30,"시급10,500",2시간전
서울 송파구, 매머드커피 루터회관점,12:00~20:00,"시급9,160",3시간전
서울 마포구, 매머드커피 홍대본점,07:30~16:30,"월급1,830,000",4시간전
서울 송파구, 매머드커피 루터회관점,12:00~20:00,"시급9,160",4시간전
서울 송파구, 매머드커피 루터회관점,12:00~20:00,"시급9,160",4시간전
인천 남동구, 매머드커피 인천시청점,10:00~16:00,"시급9,000",6시간전
서울 송파구, 매머드커피 루터회관점,12:00~20:00,"시급9,160",7시간전
경기 성남시, 매머드커피 판교,07:30~13:30,"시급10,500",7시간전
경기 부천시, 매머드커피 신중동역,16:30~22:30,"시급8,720",17시간전
서울 강남구, 매머드커피 역삼역점,07:30~14:00,"시급8,720",22시간전
서울 강남구, 매머드커피 역삼역점,07:00~14:00,"시급8,720",22시간전
서울 서초구, 매머드커피 양재,12:00~14:00,"시급9,500",12/14
서울 서초구, 매머드커피 양재,10:00~17:00,"시급8,720",12/14
서울 마포구, 매머드커피 홍대본점,07:30~16:30,"월급1,830,000",12/12
경기 성남시, 매머드커피 수내,09:30~15:00,"시급8,720",12/11
인천 남동구, 매머드커피 인천시청점,16:00~22:00,"시급9,000",12/11
경기 성남시, 매머드커피 판교제2테크노벨리점,11:30~18:00,"시급12,000",12/08
서울 강남구, 매머드커피 역삼역점,07:00~14:00,"시급8,720",12/08
서울 서초구, 매머드커피 양재,10:00~17:00,"시급8,720",12/07
경기 성남시, 매머드커피 수내,09:30~15:00,"시급8,720",12/07
서울 강남구, 매머드커피 삼성,08:00~14:30,"시급8,720",12/07
서울 강남구, 매머드커피 삼성,08:00~14:30,"시급8,720",12/06
서울 강남구, 매머드커피 역삼역점,20:00~24:00,"시급8,720",12/03
서울 마포구, 매머드커피 상암이안,12:00~15:00,"시급8,720",12/03
서울 영등포, 매머드커피 여의도증권가,06:30~14:30,"시급8,720",12/03
서울 서초구, 매머드커피 양재,12:00~14:00,"시급9,500",12/02
서울 강남구, 매머드커피 역삼역점,10:00~19:00,"시급8,720",12/01
