place,title,time,pay,date
경기 평택시, 부릉 평택비전지점,시간협의,"일급200,000",2분전
서울 전체, 부릉 강남청담1지점,시간협의,"건별3,500",18분전
서울 전체, 부릉 강남청담1지점,시간협의,"건별3,500",18분전
서울 전체, 부릉 강남청담1지점,시간협의,"건별3,500",18분전
충남 당진시, 부릉 당진읍내지점,시간협의,"건별3,800",37분전
전북 전주시, 부릉 전주진북지점,시간협의,"월급5,000,000",1시간전
경기 성남시, 부릉 성남중원수정지점,10:00~06:00,"월급5,000,000",1시간전
경기 성남시, 부릉 성남중원수정지점,10:00~06:00,"월급5,000,000",1시간전
경기 성남시, 부릉 성남중원수정지점,10:00~06:00,"월급5,000,000",1시간전
광주 남구, 부릉 광주진월지점,09:30~00:30,"건별2,900",1시간전
경남 창원시, 부릉 창원상남지점,시간협의,"월급4,500,000",1시간전
충북 전체, 부릉 청주서원지점,09:00~03:00,"건별3,000",1시간전
경남 창원시, 부릉 창원상남지점,시간협의,"월급4,500,000",1시간전
경남 창원시, 부릉 창원상남지점,시간협의,"월급4,500,000",1시간전
부산 부산진, 부릉 부산부전지점,00:00~24:00,"건별3,000",1시간전
부산 부산진, 부릉 부산부전지점,00:00~24:00,"건별3,000",1시간전
부산 부산진, 부릉 부산부전지점,00:00~24:00,"건별3,000",1시간전
대전 서구, 부릉 대전노은지점,11:00~23:00,"건별3,000",1시간전
서울 양천구, 부릉 강서화곡지점,시간협의,"건별3,200",1시간전
부산 사상구, 부릉 부산엄궁지점,08:00~03:00,"일급200,000",1시간전
부산 전체, 부릉 부릉 남부팀,시간협의,건별300,1시간전
부산 사상구, 부릉 부산엄궁지점,08:00~03:00,"일급200,000",1시간전
부산 사하구, 부릉 부산엄궁지점,08:00~03:00,"일급200,000",1시간전
부산 전체, 부릉 부릉 남부팀,시간협의,건별300,1시간전
부산 전체, 부릉 부릉 남부팀,시간협의,건별300,1시간전
서울 양천구, 부릉 강서화곡지점,시간협의,"건별3,200",2시간전
부산 해운대, 부릉 부산중동지점,09:00~02:00,"건별3,000",2시간전
부산 해운대, 부릉 부산중동지점,09:00~02:00,"건별3,000",2시간전
부산 해운대, 부릉 부산중동지점,09:00~02:00,"건별3,000",2시간전
인천 서구, 부릉 인천청라지점,00:00~24:00,"일급210,000",2시간전
인천 서구, 부릉 인천청라지점,00:00~24:00,"일급210,000",2시간전
인천 서구, 부릉 인천청라지점,00:00~24:00,"일급210,000",2시간전
경기 성남시, 부릉 성남정자지점,시간협의,"일급250,000",2시간전
경기 성남시, 부릉 성남정자지점,시간협의,"일급250,000",2시간전
경기 성남시, 부릉 성남정자지점,시간협의,"일급250,000",2시간전
부산 동구, 부릉 부산초량지점,11:00~02:00,"월급4,500,000",2시간전
부산 동구, 부릉 부산초량지점,11:00~02:00,"월급4,500,000",2시간전
부산 동구, 부릉 부산초량지점,11:00~02:00,"월급4,500,000",2시간전
서울 금천구, 부릉 금천시흥지점,시간협의,"일급200,000",2시간전
부산 해운대, 부릉 부산송정지점,시간협의,"월급4,500,000",3시간전
부산 해운대, 부릉 부산송정지점,시간협의,"월급4,500,000",3시간전
부산 해운대, 부릉 부산송정지점,시간협의,"월급4,500,000",3시간전
전북 전주시, 부릉 전주만성지점,10:00~01:00,"월급4,000,000",3시간전
경기 평택시, 부릉 평택용이지점,시간협의,"일급200,000",3시간전
충남 당진시, 부릉 당진읍내지점,시간협의,"건별3,800",3시간전
강원 속초시, 부릉 속초교동지점,시간협의,"건별2,900",3시간전
부산 전체, 부릉 부산거제지점,시간협의,"일급200,000",3시간전
부산 전체, 부릉 부산거제지점,시간협의,"일급200,000",3시간전
부산 전체, 부릉 부산거제지점,시간협의,"일급200,000",3시간전
전북 전주시, 부릉 전주만성지점,10:00~01:00,"월급4,000,000",3시간전
