place,title,time,pay,date
경기 용인시, 무공돈까스 용인죽전점,09:00~21:00,"월급3,000,000",1시간전
경기 용인시, 무공돈까스 용인죽전점,시간협의,"월급2,100,000",1시간전
부산 강서구, 무공돈까스 명지국제신도시점,시간협의,"시급9,160",2시간전
경기 용인시, 무공돈까스 용인죽전점,09:00~21:00,"월급3,000,000",2시간전
부산 강서구, 무공돈까스 명지국제신도시점,시간협의,"시급9,160",2시간전
부산 강서구, 무공돈까스 명지국제신도시점,시간협의,"시급9,160",7시간전
부산 강서구, 무공돈까스 명지국제신도시점,시간협의,"시급9,160",7시간전
인천 부평구, 무공돈까스 부천송내점,10:00~21:00,"월급2,600,000",12/15
서울 강서구, 무공돈까스 마곡점,09:00~21:00,"월급2,900,000",12/15
서울 강남구, 무공돈까스 무공강남점,12:00~18:00,"시급11,000",12/15
서울 중랑구, 무공돈까스 용마산점,시간협의,"시급8,720",12/15
서울 중랑구, 무공돈까스 용마산점,09:00~21:00,"월급2,700,000",12/15
부산 강서구, 무공돈까스 명지국제신도시점,시간협의,"시급9,160",12/14
서울 강남구, 무공돈까스 무공강남점,12:00~18:00,"시급11,000",12/13
충북 충주시, 무공돈까스 충주연수점,09:00~20:00,"월급2,800,000",12/13
충북 충주시, 무공돈까스 충주호암점,09:00~21:00,"월급2,800,000",12/13
서울 강서구, 무공돈까스 마곡점,09:00~21:00,"월급2,900,000",12/12
서울 강서구, 무공돈까스 마곡점,09:00~21:00,"월급2,900,000",12/12
인천 부평구, 무공돈까스 부천송내점,10:00~21:00,"월급2,600,000",12/06
충북 충주시, 무공돈까스 충주호암점,09:00~21:00,"월급2,800,000",12/06
충북 충주시, 무공돈까스 충주호암점,09:00~21:00,"월급2,600,000",12/04
경기 부천시, 무공돈까스 부천송내점,10:00~21:00,"월급2,600,000",12/04
경북 구미시, 무공돈까스 구미시청점,시간협의,"시급8,720",12/03
경북 구미시, 무공돈까스 구미시청점,09:00~21:00,"월급2,500,000",12/03
