place,title,time,pay,date
경기 성남시, 무인양품(주) 롯데분당점,시간협의,"월급1,823,000",23분전
경기 성남시, 무인양품(주) AK분당점,시간협의,"월급1,823,000",24분전
서울 강남구, 무인양품(주) 파르나스몰점,시간협의,"월급1,823,000",24분전
서울 송파구, 무인양품(주) 롯데월드몰점,시간협의,"월급1,823,000",25분전
서울 서대문, 무인양품(주) 신촌점,시간협의,"월급1,823,000",26분전
서울 송파구, 무인양품(주) 잠실점,시간협의,"월급1,823,000",27분전
경기 용인시, 무인양품(주) 수지점,시간협의,"월급1,823,000",28분전
서울 서초구, 무인양품(주) 강남점,시간협의,"월급1,823,000",29분전
대전 서구, 무인양품(주) 대전점,시간협의,"월급1,823,000",33분전
대구 동구, 무인양품(주) 신세계대구점,시간협의,"월급1,823,000",35분전
부산 해운대, 무인양품(주) 센텀시티몰점,시간협의,"월급1,823,000",36분전
경남 창원시, 무인양품(주) 창원점,시간협의,"월급1,823,000",37분전
부산 부산진, 무인양품(주) 부산본점,시간협의,"월급1,823,000",38분전
경기 하남시, 무인양품(주) 위례점,시간협의,"월급1,823,000",38분전
경기 하남시, 무인양품(주) 하남점,시간협의,"월급1,823,000",39분전
경기 고양시, 무인양품(주) 벨라시타점,시간협의,"월급1,823,000",40분전
경기 고양시, 무인양품(주) 일산점,시간협의,"월급1,823,000",41분전
서울 용산구, 무인양품(주) 아이파크몰점,시간협의,"월급1,823,000",42분전
서울 구로구, 무인양품(주) 디큐브점,시간협의,"월급1,823,000",43분전
서울 중구, 무인양품(주) 서울역,08:30~22:00,"월급1,823,000",44분전
서울 중구, 무인양품(주) 영플라자점,시간협의,"월급1,823,000",45분전
서울 종로구, 무인양품(주) 영풍종로점,시간협의,"월급1,823,000",46분전
경기 안산시, 무인양품(주) 안산점,시간협의,"월급1,823,000",47분전
경기 용인시, 무인양품(주) AK기흥점,시간협의,"월급1,823,000",48분전
경기 수원시, 무인양품(주) 수원점,시간협의,"월급1,823,000",49분전
경기 성남시, 무인양품(주) 롯데분당점,시간협의,"월급1,823,000",50분전
경기 성남시, 무인양품(주) AK분당점,시간협의,"월급1,823,000",51분전
서울 강남구, 무인양품(주) 파르나스몰점,시간협의,"월급1,823,000",52분전
서울 마포구, 무인양품(주) 합정점,14:00~22:00,"시급8,720",53분전
서울 송파구, 무인양품(주) 롯데월드몰점,시간협의,"월급1,823,000",54분전
서울 서대문, 무인양품(주) 신촌점,시간협의,"월급1,823,000",55분전
서울 마포구, 무인양품(주) AK홍대점,시간협의,"월급1,823,000",56분전
서울 송파구, 무인양품(주) 잠실점,시간협의,"월급1,823,000",57분전
경기 용인시, 무인양품(주) 수지점,시간협의,"월급1,823,000",58분전
경기 성남시, 무인양품(주) 판교점,시간협의,"월급1,823,000",58분전
서울 서초구, 무인양품(주) 강남점,시간협의,"월급1,823,000",1시간전
서울 마포구, 무인양품(주) 합정점,14:00~22:00,"시급8,720",3시간전
경기 전체, 무인양품(주) 판교점,13:00~21:00,"시급8,720",4시간전
서울 마포구, 무인양품(주) 합정점,시간협의,"월급1,823,000",6시간전
경남 김해시, 무인양품(주) 김해점,시간협의,"월급1,823,000",6시간전
대구 동구, 무인양품(주) 신세계대구점,시간협의,"월급1,823,000",6시간전
경남 창원시, 무인양품(주) 창원점,시간협의,"월급1,823,000",6시간전
부산 부산진, 무인양품(주) 부산본점,시간협의,"월급1,823,000",6시간전
경기 하남시, 무인양품(주) 위례점,시간협의,"월급1,823,000",6시간전
서울 노원구, 무인양품(주) 노원점,시간협의,"월급1,823,000",6시간전
경기 하남시, 무인양품(주) 하남점,시간협의,"월급1,823,000",6시간전
경기 고양시, 무인양품(주) 벨라시타점,시간협의,"월급1,823,000",6시간전
경기 고양시, 무인양품(주) 일산점,시간협의,"월급1,823,000",6시간전
서울 용산구, 무인양품(주) 아이파크몰점,시간협의,"월급1,823,000",6시간전
서울 영등포, 무인양품(주) IFC몰점,시간협의,"시급8,720",6시간전
