place,title,time,pay,date
경남 양산시, 미스사이공 양산중부점,10:00~02:00,"시급9,500",5시간전
서울 금천구, 미스사이공 가산디지털점,시간협의,"시급9,160",5시간전
경기 안양시, 미스사이공 안양 평촌학원가점,12:30~14:30,"시급9,000",7시간전
서울 서대문, 미스사이공 홍제동점,10:30~15:30,"시급9,170",7시간전
경기 수원시, 미스사이공 수원 호매실,16:00~21:00,"시급9,000",12/15
서울 강남구, 미스사이공 압구정점,10:00~22:00,"시급8,720",12/14
경기 남양주, 미스사이공 마석점,시간협의,"시급9,500",12/14
서울 동대문, 미스사이공 장안점,시간협의,"시급10,000",12/13
세종 전체, 미스사이공 세종1호점,시간협의,"시급8,720",12/12
경기 남양주, 미스사이공 마석점,시간협의,"시급9,500",12/12
서울 전체, 미스사이공 신도림점,17:00~22:00,"시급9,160",12/07
경기 남양주, 미스사이공 마석점,시간협의,"시급9,500",12/06
서울 종로구, 미스사이공 대학로마로니에점,시간협의,"시급9,000",12/05
서울 종로구, 미스사이공 대학로마로니에점,시간협의,"시급9,000",12/05
서울 마포구, 미스사이공 상암DMC점,10:30~14:30,"시급8,720",12/05
울산 울주군, 미스사이공 울산덕신점,11:00~16:00,"시급9,000",12/04
서울 동대문, 미스사이공 답십리점,15:00~21:00,"시급8,720",11/30
경기 남양주, 미스사이공 마석점,시간협의,"시급9,500",11/30
