place,title,time,pay,date
경기 남양주, 미카도스시 & 탄광맥주 별내아이파크점,10:30~21:30,"월급3,500,000",1시간전
경기 남양주, 미카도스시 & 탄광맥주 별내아이파크점,10:30~21:30,"월급2,000,000",1시간전
광주 광산구, 미카도스시 & 탄광맥주 광주수완점,10:00~22:00,"월급2,510,000",2시간전
경기 남양주, 미카도스시 & 탄광맥주 별내아이파크점,10:30~21:30,"월급3,500,000",2시간전
경북 포항시, 미카도스시 & 탄광맥주 포항두호점,09:30~21:30,"월급2,400,000",2시간전
경기 화성시, 미카도스시 & 탄광맥주 화성시청점,시간협의,"시급10,500",3시간전
경기 하남시, 미카도스시 & 탄광맥주 하남미사점,10:00~22:00,"월급2,754,000",4시간전
광주 광산구, 미카도스시 & 탄광맥주 광주수완점,10:00~22:00,"월급2,510,000",5시간전
경기 화성시, 미카도스시 & 탄광맥주 화성시청점,시간협의,"시급11,000",6시간전
경기 화성시, 미카도스시 & 탄광맥주 화성시청점,시간협의,"시급10,500",7시간전
광주 광산구, 미카도스시 & 탄광맥주 광주수완점,10:00~22:00,"월급2,510,000",11시간전
인천 연수구, 미카도스시 & 탄광맥주 인천 송도점,09:30~21:30,"월급3,000,000",12/14
광주 광산구, 미카도스시 & 탄광맥주 광주수완점,10:00~22:00,"월급2,500,000",12/14
광주 광산구, 미카도스시 & 탄광맥주 광주수완점,10:00~22:00,"월급2,500,000",12/13
서울 서초구, 미카도스시 & 탄광맥주 교대점,시간협의,"시급9,500",12/13
경기 남양주, 미카도스시 & 탄광맥주 별내아이파크점,10:30~21:30,"월급2,800,000",12/13
경기 남양주, 미카도스시 & 탄광맥주 별내아이파크점,10:30~21:30,"월급2,800,000",12/12
