place,title,time,pay,date
서울 강동구, 바스버거 잠실점,17:00~22:30,"시급10,464",8분전
서울 마포구, 바스버거 상암점,10:30~14:00,"시급9,160",10분전
서울 강서구, 바스버거 마곡점,09:30~16:00,"시급10,464",59분전
서울 강서구, 바스버거 마곡점,09:30~16:00,"시급10,464",1시간전
경기 성남시, 바스버거 정자점,16:00~22:30,"시급10,464",1시간전
서울 송파구, 바스버거 잠실점,09:30~15:30,"시급10,464",1시간전
서울 강동구, 바스버거 잠실점,09:30~15:30,"시급10,464",1시간전
서울 강남구, 바스버거 선릉점,17:30~23:00,"시급10,464",2시간전
서울 강남구, 바스버거 선릉점,17:30~23:00,"시급10,464",2시간전
서울 강남구, 바스버거 선릉점,17:30~23:00,"시급10,464",2시간전
서울 강남구, 바스버거 선릉점,10:30~16:30,"시급10,464",2시간전
서울 마포구, 바스버거 상암점,10:30~14:00,"시급9,160",3시간전
서울 서초구, 바스버거 서초교대점,시간협의,"시급10,464",3시간전
경기 성남시, 바스버거 정자점,16:00~22:30,"시급10,464",3시간전
경기 광주시, 바스버거 판교점,11:00~07:00,"시급10,464",3시간전
경기 성남시, 바스버거 정자점,16:00~22:30,"시급10,464",3시간전
서울 강남구, 바스버거 역삼점,16:30~22:30,"시급10,464",3시간전
서울 마포구, 바스버거 상암점,10:30~14:00,"시급9,160",3시간전
서울 서초구, 바스버거 서초교대점,시간협의,"시급10,464",3시간전
서울 서초구, 바스버거 서초교대점,시간협의,"시급10,464",3시간전
서울 용산구, 바스버거 후암점,10:00~21:00,"시급10,464",4시간전
서울 용산구, 바스버거 후암점,18:00~22:30,"시급10,464",4시간전
서울 용산구, 바스버거 후암점,18:00~22:30,"시급10,464",4시간전
서울 용산구, 바스버거 후암점,10:00~21:00,"시급10,464",4시간전
서울 광진구, 바스버거 잠실점,17:00~22:30,"시급10,464",4시간전
서울 강남구, 바스버거 역삼점,10:00~21:00,"시급10,464",4시간전
서울 서초구, 바스버거 서초교대점,시간협의,"시급10,464",4시간전
서울 강남구, 바스버거 역삼점,14:00~22:30,"시급10,464",5시간전
서울 강남구, 바스버거 역삼점,16:30~22:30,"시급10,464",5시간전
서울 성동구, 바스버거 성수점,09:30~15:00,"시급10,464",6시간전
서울 광진구, 바스버거 성수점,18:00~22:00,"시급10,464",6시간전
서울 광진구, 바스버거 성수점,18:00~22:00,"시급10,464",6시간전
서울 성동구, 바스버거 성수점,시간협의,"시급10,464",6시간전
서울 성동구, 바스버거 성수점,10:30~21:00,"시급10,464",6시간전
서울 양천구, 바스버거 여의도점,09:00~15:00,"시급10,464",6시간전
서울 영등포, 바스버거 여의도점,09:00~15:00,"시급10,464",6시간전
서울 강서구, 바스버거 여의도점,09:00~15:00,"시급10,464",6시간전
서울 영등포, 바스버거 여의도점,16:30~22:30,"연봉17,000,000",6시간전
서울 영등포, 바스버거 여의도점,09:30~16:30,"연봉19,000,000",6시간전
서울 서초구, 바스버거 서초교대점,시간협의,"시급10,464",6시간전
경기 성남시, 바스버거 판교점,17:00~22:00,"시급10,464",6시간전
서울 송파구, 바스버거 잠실점,17:00~22:30,"시급10,464",6시간전
경기 성남시, 바스버거 판교점,17:00~22:00,"시급10,464",6시간전
서울 영등포, 바스버거 국회점,09:30~15:00,"시급10,464",6시간전
서울 마포구, 바스버거 상암점,10:30~14:00,"시급9,160",7시간전
경기 성남시, 바스버거 정자점,16:00~22:30,"시급10,464",7시간전
서울 마포구, 바스버거 상암점,10:30~14:00,"시급9,160",7시간전
서울 서대문, 바스버거 광화문점,17:30~22:00,"시급10,464",21시간전
서울 종로구, 바스버거 광화문점,10:30~21:00,"시급10,464",21시간전
서울 용산구, 바스버거 광화문점,17:30~22:00,"시급10,464",12/15
