place,title,time,pay,date
서울 구로구, 배스킨라빈스 개봉중앙점,18:30~23:00,"시급9,160",1분전
서울 구로구, 배스킨라빈스 개봉중앙점,10:00~16:00,"시급9,160",1분전
서울 송파구, 베스킨라빈스방이점,18:00~24:00,"시급9,200",1분전
대구 북구, 배스킨라빈스 산격점,19:00~23:30,"시급9,160",1분전
경기 안양시, 배스킨라빈스,14:00~19:00,"시급8,720",3분전
경기 부천시, 배스킨라빈스 부천역북부,15:00~19:00,"시급8,720",4분전
충북 진천군, 배스킨라빈스 충북덕산점,시간협의,"시급9,160",8분전
충남 아산시, 배스킨라빈스 아산북수점,19:00~23:00,"시급8,720",11분전
대구 중구, 베스킨라빈스31 삼덕점,20:00~01:00,"시급9,200",14분전
서울 서초구, 배스킨라빈스 방배역점,18:30~23:00,"시급9,160",15분전
서울 관악구, 배스킨라빈스 봉천역점,18:30~23:00,"시급9,160",16분전
서울 도봉구, 배스킨라빈스 쌍문역점,시간협의,"시급9,160",23분전
충북 진천군, 배스킨라빈스 충북덕산점,시간협의,"시급9,160",26분전
경기 수원시, 배스킨라빈스 인계로데오점,시간협의,"시급9,160",27분전
서울 송파구, 배스킨라빈스 신천역점,17:00~24:00,"시급9,400",27분전
경남 진주시, 배스킨라빈스 진주혁신도시점,19:00~23:00,"시급9,160",28분전
경기 수원시, 배스킨라빈스 인계로데오점,시간협의,"시급9,160",28분전
서울 마포구, 배스킨라빈스마배포도화점,19:00~23:00,"시급9,160",30분전
대구 달서구, 배스킨라빈스 대구대곡2지구점,18:00~23:00,"시급8,720",32분전
경기 수원시, 배스킨라빈스 인계로데오점,시간협의,"시급9,160",39분전
경남 창원시, 배스킨라빈스 진해남문점,09:30~16:30,"시급9,160",39분전
서울 노원구, 배스킨라빈스 공릉점,11:00~18:00,"시급8,720",42분전
충남 천안시, 배스킨라빈스,시간협의,"시급9,160",43분전
경기 전체, 배스킨라빈스 동수원사거리점,18:00~23:00,"시급8,720",52분전
경기 용인시, 배스킨라빈스,00:00~24:00,"시급9,160",52분전
서울 강서구, 배스킨라빈스 화곡역점,시간협의,"시급10,992",1시간전
서울 강서구, 배스킨라빈스 화곡역점,17:00~24:00,"시급10,992",1시간전
전국 전체, 배스킨라빈스김해 주촌점,17:00~22:30,"시급15,000",1시간전
전북 전주시, 배스킨라빈스,18:00~23:00,"시급9,160",1시간전
대구 수성구, 베스킨라빈스대구수성4가점,13:00~18:00,"시급8,720",1시간전
충남 천안시, 배스킨라빈스,시간협의,"시급9,160",1시간전
대구 중구, 베스킨라빈스동아쇼핑점,16:00~21:00,"시급9,160",1시간전
서울 강동구, 배스킨라빈스 고덕래미안힐스점,시간협의,"시급9,160",2시간전
서울 서초구, 배스킨라빈스 방배역점,18:30~23:00,"시급9,160",2시간전
서울 관악구, 배스킨라빈스 봉천역점,18:30~23:00,"시급9,160",2시간전
인천 연수구, 배스킨라빈스 송도 홈플러스점,시간협의,"시급9,160",2시간전
서울 강동구, 배스킨라빈스 고덕래미안힐스점,시간협의,"시급13,000",2시간전
서울 관악구, 배스킨라빈스 봉천역점,18:30~23:00,"시급9,160",2시간전
서울 서초구, 배스킨라빈스 방배역점,18:30~23:00,"시급9,160",2시간전
서울 종로구, 배스킨라빈스  평창점,10:00~14:00,"시급8,720",2시간전
경기 성남시, 배스킨라빈스,시간협의,"시급9,160",2시간전
경기 오산시, 배스킨라빈스,06:00~24:00,"시급9,160",2시간전
전남 목포시, 배스킨라빈스 목포용해점,시간협의,"시급9,160",2시간전
전북 군산시, 베스킨라빈스 군산영동점,시간협의,"시급9,160",2시간전
경기 화성시, 배스킨라빈스,18:00~23:00,"시급8,720",2시간전
서울 전체, 배스킨라빈스 숭실대점,16:00~23:30,"시급9,160",2시간전
충남 천안시, 배스킨라빈스,시간협의,"시급9,160",3시간전
서울 영등포, 배스킨라빈스문래,시간협의,"시급9,160",3시간전
서울 전체, 배스킨라빈스 숭실대점,16:00~23:30,"시급9,160",3시간전
경기 안산시, 베스킨라빈스 안산원곡점,시간협의,"시급8,720",3시간전
