place,title,time,pay,date
경기 파주시, 더본코리아 돌배기집 파주운정산내점,18:00~22:30,"시급10,000",1분전
경기 안산시, 더본코리아 롤링파스타 안산중앙점,시간협의,"시급9,160",1분전
경기 안산시, 더본코리아 롤링파스타 안산중앙점,시간협의,"시급9,160",1분전
경북 김천시, 더본코리아 홍콩반점0410 김천구미역,시간협의,"시급8,800",3분전
경기 성남시, 홍콩반점0410 모란시장점,10:30~21:30,"월급2,700,000",4분전
인천 서구, 더본코리아 롤링파스타 인천루원시티점,12:00~21:00,"월급2,300,000",5분전
경기 용인시, 더본코리아 홍콩반점0410 죽전단대점,07:00~21:00,"시급9,160",6분전
대구 동구, 더본코리아 홍콩반점0410 대구신서혁,10:00~22:00,"월급2,100,000",7분전
경기 용인시, 더본코리아 홍콩반점0410 죽전단대점,11:30~15:30,"시급9,160",7분전
대전 중구, 더본코리아 역전우동0410 대전은행점,18:00~22:30,"시급9,160",8분전
대구 동구, 더본코리아 홍콩반점0410 대구신서혁,10:00~15:00,"시급8,800",8분전
부산 북구, 더본코리아 홍콩반점0410 부산만덕점,10:00~21:30,"시급9,160",8분전
부산 북구, 더본코리아 홍콩반점0410 부산만덕점,10:00~21:30,"월급2,900,000",10분전
서울 전체, 더본코리아 홍콩반점0410 한남점,09:30~21:30,"월급3,100,000",10분전
서울 전체, 더본코리아 홍콩반점0410 한남점,09:30~21:30,"월급3,100,000",10분전
서울 전체, 더본코리아 홍콩반점0410 한남점,09:30~21:30,"월급3,100,000",10분전
경남 진주시, 더본코리아 홍콩반점0410 진주초전점,10:30~21:30,"월급2,300,000",10분전
대구 동구, 더본코리아 홍콩반점0410 대구신서혁,10:00~15:00,"시급8,800",10분전
부산 북구, 더본코리아 홍콩반점0410 부산만덕점,10:00~21:30,"월급2,900,000",11분전
인천 부평구, 더본코리아 롤링파스타 부평로데오점,10:00~22:00,"월급2,720,000",11분전
부산 북구, 더본코리아 홍콩반점0410 부산만덕점,10:00~21:30,"월급2,900,000",11분전
경남 진주시, 더본코리아 홍콩반점0410 진주초전점,10:30~21:30,"월급2,700,000",12분전
부산 북구, 더본코리아 홍콩반점0410 부산만덕점,10:00~21:30,"월급2,900,000",12분전
경남 김해시, 더본코리아 홍콩반점0410 김해인제대,시간협의,"시급8,720",12분전
경남 김해시, 더본코리아 홍콩반점0410 김해진영점,11:30~14:00,"시급9,160",13분전
울산 전체, 더본코리아 역전우동0410 울산달동삼,09:30~21:00,"시급9,200",13분전
경남 김해시, 더본코리아 홍콩반점0410 김해진영점,10:30~14:00,"시급9,160",13분전
대구 북구, 롤링파스타 대구칠곡점,12:00~22:00,"월급2,350,000",15분전
경기 시흥시, 더본코리아 한신포차 시흥대야점,20:00~03:00,"시급9,160",16분전
경남 김해시, 더본코리아 홍콩반점0410 김해인제대,10:00~21:30,"시급9,160",16분전
경기 성남시, 홍콩반점0410 모란시장점,11:30~21:30,"시급10,000",16분전
부산 사하구, 홍콩반점0410 부산하단역점,18:30~21:30,"시급9,160",16분전
부산 사하구, 홍콩반점0410 부산하단역점,18:30~21:30,"시급9,160",17분전
경기 시흥시, 홍콩반점0410 시흥은계점,10:00~22:00,"월급2,800,000",19분전
광주 서구, 더본코리아 새마을식당 광주금호점,시간협의,"월급2,700,000",20분전
부산 사하구, 홍콩반점0410 부산하단역점,18:30~21:30,"시급9,160",20분전
서울 전체, 더본코리아 홍콩반점0410 한남점,09:30~21:30,"월급3,100,000",21분전
경기 용인시, 더본코리아 홍콩반점0410 죽전단대점,10:00~21:00,"월급2,500,000",21분전
경기 용인시, 더본코리아 홍콩반점0410 죽전단대점,10:00~21:00,"월급2,500,000",21분전
서울 전체, 더본코리아 홍콩반점0410 한남점,09:30~21:30,"월급3,100,000",22분전
부산 영도구, 더본코리아 홍콩반점0410 부산영도대,18:00~21:30,"시급9,160",23분전
서울 관악구, 더본코리아 빽보이피자 봉천점,10:30~22:30,"시급9,160",23분전
경기 수원시, 더본코리아 리춘시장 수원인계점,15:30~02:30,"월급2,850,000",23분전
충남 홍성군, 더본코리아 새마을식당 내포신도시점,16:00~23:00,"시급10,000",26분전
광주 전체, 돌배기집 광주충장로점,11:00~23:00,"시급9,160",27분전
광주 전체, 돌배기집 광주충장로점,11:00~23:00,"시급9,160",27분전
경기 화성시, 더본코리아 돌배기집 화성향남점,10:00~20:00,"월급2,300,000",27분전
인천 서구, 더본코리아 홍콩반점0410 인천청라점,11:00~23:00,"월급2,600,000",27분전
충남 천안시, 롤링파스타 이마트천안점,14:00~18:30,"시급9,000",29분전
경남 김해시, 더본코리아 홍콩반점0410 김해내동,09:30~21:30,"월급2,800,000",29분전
