place,title,time,pay,date
전남 목포시, 버거킹 목포하당점,시간협의,"월급2,150,000",1분전
울산 남구, 울산무거점,19:00~24:00,"시급9,160",4분전
경기 성남시, 버거킹 성남이마트점,시간협의,"시급8,720",5분전
서울 용산구, 버거킹 용산이마트점,16:00~23:00,"시급9,160",5분전
경기 수원시, 버거킹 서수원이마트,시간협의,"시급8,720",5분전
경기 파주시, 버거킹 파주운정점,시간협의,"시급8,720",8분전
서울 은평구, 버거킹 불광점,시간협의,"시급9,160",11분전
경기 용인시, 버거킹 수지GS점,시간협의,"시급8,720",12분전
경북 포항시, 버거킹 포항철강단지SK점,시간협의,"시급9,160",13분전
경기 평택시, 버거킹 평택죽백DT점,시간협의,"시급8,720",15분전
서울 동작구, 버거킹 사당역점,시간협의,"시급8,720",16분전
경기 화성시, 버거킹 화성병점점,시간협의,"시급8,720",16분전
경기 화성시, 버거킹 동탄2신도시SK점,시간협의,"시급8,720",16분전
서울 동작구, 버거킹 사당역점,시간협의,"시급8,720",17분전
경기 화성시, 화성능동FS점,시간협의,"시급8,720",17분전
부산 사상구, 버거킹 부산주례점,09:00~15:00,"시급9,160",17분전
인천 부평구, 버거킹 삼산SK점,11:00~18:00,"시급12,810",18분전
경기 안양시, 버거킹 안양호계점,시간협의,"시급8,720",18분전
서울 강서구, 버거킹 내발산점,시간협의,"시급8,720",18분전
서울 강서구, 버거킹 내발산점,시간협의,"시급8,720",18분전
경북 경산시, 버거킹 경산진량DT점,시간협의,"시급9,160",18분전
광주 북구, 광주신용점,시간협의,"월급1,914,440",22분전
부산 사하구, 버거킹 부산신평DT점,시간협의,"시급9,160",25분전
광주 북구, 광주신용점,시간협의,"월급2,100,000",28분전
광주 북구, 광주신용점,시간협의,"시급9,160",29분전
광주 북구, 광주신용점,시간협의,"시급9,160",31분전
부산 사하구, 버거킹 부산신평DT점,시간협의,"시급9,160",34분전
대구 남구, 버거킹 대구대명FS점(S),시간협의,"시급9,160",35분전
경기 수원시, 수원영통점,시간협의,"시급9,160",36분전
경기 수원시, 버거킹 아주대병원점,시간협의,"시급8,720",38분전
서울 영등포, 버거킹 서여의도점,시간협의,"시급8,720",39분전
서울 영등포, 버거킹 서여의도점,시간협의,"시급8,720",39분전
경기 수원시, 수원정자점(S),시간협의,"시급8,720",40분전
부산 사상구, 버거킹 부산주례점,시간협의,"시급9,160",42분전
경기 고양시, 버거킹 일산마두점,시간협의,"시급8,720",43분전
경기 성남시, 버거킹 분당서현점,시간협의,"시급8,720",45분전
경기 부천시, 부천원종점,시간협의,"시급8,720",47분전
충북 진천군, 버거킹 충북진천점(S),09:00~17:00,"시급8,720",51분전
서울 영등포, 버거킹 서여의도점,시간협의,"시급8,720",55분전
경기 김포시, 버거킹 김포구래점,시간협의,"시급9,160",56분전
경기 수원시, 버거킹 수원역사점,시간협의,"시급8,720",56분전
경기 수원시, 버거킹 수원역사점,시간협의,"시급8,720",57분전
경기 수원시, 버거킹 수원역사점,시간협의,"시급8,720",57분전
경기 수원시, 버거킹 수원역사점,시간협의,"시급8,720",57분전
경기 수원시, 버거킹 수원역사점,시간협의,"시급8,720",58분전
대구 달성군, 버거킹 대구서재FS점,18:00~24:00,"시급8,720",1시간전
경기 의정부, 버거킹 의정부용현FS점,시간협의,"시급8,720",1시간전
부산 해운대, 버거킹 부산센텀시티점,시간협의,"시급8,720",1시간전
서울 전체, 버거킹 신촌1점,시간협의,"시급8,720",1시간전
서울 전체, 버거킹 신촌1점,시간협의,"시급8,720",1시간전
