place,title,time,pay,date
서울 강남구, (주)캘리스코 사보텐 코엑스점,시간협의,"시급9,160",24분전
서울 강남구, (주)캘리스코 사보텐 코엑스점,시간협의,"시급9,160",1시간전
서울 강남구, (주)캘리스코 사보텐 코엑스점,시간협의,"시급9,160",2시간전
서울 강남구, (주)캘리스코 사보텐 코엑스점,시간협의,"시급9,160",2시간전
서울 강남구, 사보텐 선릉역점,시간협의,"시급9,160",3시간전
경남 창원시, 사보텐 신세계마산점,12:00~17:00,"시급9,160",3시간전
경남 창원시, 사보텐 신세계마산점,12:00~17:00,"시급9,160",3시간전
서울 동대문, 사보텐 청량리역사점,12:30~20:00,"시급9,160",5시간전
서울 동대문, 사보텐 청량리역사점,10:00~16:00,"시급9,160",5시간전
서울 마포구, (주)캘리스코 사보텐 공덕역점,17:00~21:00,"시급9,160",5시간전
서울 동대문, 사보텐 청량리역사점,16:00~22:00,"시급9,160",5시간전
서울 강동구, (주)캘리스코,09:30~17:30,"시급8,720",5시간전
서울 강남구, (주)캘리스코 사보텐 압구정본점,시간협의,"시급8,720",5시간전
경남 전체, 사보텐 창원시티세븐몰,시간협의,"연봉27,000,000",7시간전
서울 강남구, (주)캘리스코 사보텐 압구정본점,시간협의,"시급8,720",7시간전
서울 성북구, (주)캘리스코 현대미아점,12:00~21:00,"시급10,464",7시간전
경기 의정부, (주)캘리스코,시간협의,"시급9,160",7시간전
경기 의정부, (주)캘리스코,시간협의,"시급9,160",8시간전
서울 성북구, (주)캘리스코 현대미아점,11:00~16:00,"시급8,720",16시간전
서울 영등포, 사보텐 경방타임스퀘어점,시간협의,"시급8,720",19시간전
서울 광진구, (주)캘리스코 사보텐 건대스타시티점,12:00~17:00,"시급8,720",12/14
서울 광진구, (주)캘리스코 사보텐 건대스타시티점,16:00~21:30,"시급8,720",12/14
충북 청주시, 주식회사 캘리스코 사보텐 청주 터미널,10:00~21:30,"연봉26,787,840",12/14
서울 강남구, (주)캘리스코 사보텐 코엑스점,시간협의,"시급8,720",12/14
서울 영등포, 사보텐 경방타임스퀘어점,시간협의,"시급8,720",12/13
서울 강남구, 사보텐 선릉역점,시간협의,"시급8,720",12/11
서울 마포구, 사보텐,시간협의,"시급8,720",12/08
서울 마포구, 사보텐 공덕역점,17:00~21:00,"시급8,720",12/08
서울 송파구, 사보텐 딜리버리송파점,시간협의,"시급8,720",12/06
부산 전체, (주)캘리스코 히바린 롯데부산본점,시간협의,"시급8,720",12/06
경기 의정부, (주)캘리스코,시간협의,"시급8,720",12/05
서울 강남구, (주)캘리스코,17:30~22:00,"시급8,720",12/03
서울 서초구, 사보텐 신논현점,10:00~17:00,"시급10,308",12/02
서울 송파구, 사보텐 딜리버리송파점,시간협의,"시급8,720",11/30
