place,title,time,pay,date
경기 화성시, 상무초밥 동탄점,시간협의,"시급9,500",20분전
전남 여수시, 상무초밥 낭만포차거리점,시간협의,"월급4,000,000",22분전
경기 안산시, 상무초밥 안산중앙동점,12:00~05:00,"월급3,500,000",36분전
경기 안산시, 상무초밥 안산중앙동점,12:00~05:00,"월급3,500,000",36분전
경남 창원시, 상무초밥 창원점,10:30~10:30,"월급2,650,000",43분전
경남 창원시, 상무초밥 창원점,10:30~10:30,"월급2,650,000",43분전
경남 창원시, 상무초밥 창원점,10:00~22:00,"월급3,500,000",43분전
대전 서구, 상무초밥 대전둔산점,시간협의,"월급2,700,000",1시간전
경기 화성시, 상무초밥 동탄점,시간협의,"시급9,500",1시간전
대전 서구, 상무초밥 대전둔산점,시간협의,"월급2,700,000",1시간전
전남 여수시, 상무초밥 낭만포차거리점,시간협의,"월급4,000,000",2시간전
경기 고양시, 상무초밥 일산라페스타점,시간협의,"월급3,000,000",2시간전
경기 고양시, 상무초밥 일산라페스타점,시간협의,"월급3,000,000",2시간전
경남 진주시, 상무초밥 진주점,시간협의,"월급3,500,000",2시간전
경기 고양시, 상무초밥 일산라페스타점,시간협의,"월급3,000,000",2시간전
경기 성남시, 상무초밥 분당서현점,10:00~22:00,"월급2,700,000",3시간전
서울 강서구, 상무초밥 상무초밥 등촌점,시간협의,"월급3,500,000",3시간전
서울 강서구, 상무초밥 상무초밥 등촌점,시간협의,"월급3,500,000",3시간전
서울 강서구, 상무초밥 상무초밥 등촌점,시간협의,"월급3,500,000",3시간전
서울 강서구, 상무초밥 상무초밥 등촌점,시간협의,"월급3,500,000",3시간전
서울 강서구, 상무초밥 상무초밥 등촌점,시간협의,"월급3,500,000",3시간전
광주 광산구, 상무초밥 수완지구점,10:00~22:00,"월급4,000,000",4시간전
경기 전체, 상무초밥 수원역점,시간협의,"월급4,000,000",4시간전
경기 수원시, 상무초밥 수원역점,시간협의,"월급4,000,000",4시간전
경기 수원시, 상무초밥 수원역점,시간협의,"월급4,000,000",4시간전
경기 수원시, 상무초밥 수원역점,시간협의,"월급4,000,000",4시간전
경기 수원시, 상무초밥 수원역점,시간협의,"월급4,000,000",4시간전
광주 광산구, 상무초밥 수완지구점,10:00~22:00,"월급4,000,000",4시간전
경기 군포시, 상무초밥 산본점,10:00~21:00,"월급4,500,000",5시간전
대전 서구, 상무초밥 대전둔산점,시간협의,"월급2,400,000",5시간전
인천 연수구, 상무초밥 송도점,시간협의,"월급2,180,000",5시간전
인천 연수구, 상무초밥 송도점,시간협의,"월급2,180,000",5시간전
대전 유성구, 상무초밥 대전유성점,시간협의,"월급2,700,000",5시간전
충북 청주시, 상무초밥 청주율량점,시간협의,"월급2,620,000",5시간전
충북 청주시, 상무초밥 청주율량점,시간협의,"월급2,620,000",5시간전
충북 청주시, 상무초밥 청주율량점,시간협의,"월급2,620,000",5시간전
전북 전주시, 상무초밥 전주도청점,시간협의,"월급4,000,000",5시간전
전북 전주시, 상무초밥 전주도청점,시간협의,"월급4,000,000",5시간전
전북 전주시, 상무초밥 전주도청점,시간협의,"월급4,000,000",5시간전
전북 전주시, 상무초밥 전주도청점,시간협의,"월급4,000,000",5시간전
전북 전주시, 상무초밥 전주도청점,시간협의,"월급4,000,000",5시간전
경기 화성시, 상무초밥 동탄점,시간협의,"시급9,500",5시간전
전남 여수시, 상무초밥 낭만포차거리점,시간협의,"월급4,000,000",6시간전
전남 목포시, 상무초밥 목포점,시간협의,"월급3,700,000",6시간전
전남 목포시, 상무초밥 목포점,시간협의,"월급3,700,000",6시간전
대전 유성구, 상무초밥 대전유성점,시간협의,"월급2,700,000",6시간전
경남 창원시, 상무초밥 창원점,10:00~22:00,"월급3,500,000",6시간전
경남 창원시, 상무초밥 창원점,10:30~10:30,"월급2,650,000",6시간전
전북 전체, 상무초밥 익산점,11:00~22:00,"월급2,600,000",6시간전
경기 군포시, 상무초밥 산본점,10:00~21:00,"월급4,500,000",6시간전
