place,title,time,pay,date
부산 북구, 성원아이북랜드 부산북구양산영업본부,시간협의,"시급20,000",3분전
경남 양산시, 성원아이북랜드 부산북구양산영업본부,시간협의,"시급30,000",5분전
경북 안동시, 성원아이북랜드 경북북부영업본부,16:00~20:00,"월급1,200,000",20분전
서울 서초구, 성원아이북랜드 서초영업본부,시간협의,"월급1,800,000",50분전
서울 서초구, 성원아이북랜드 서초영업본부,시간협의,"월급1,800,000",51분전
서울 서초구, 성원아이북랜드 서초영업본부,시간협의,"월급1,800,000",52분전
서울 관악구, 성원아이북랜드 동작관악영업본부,시간협의,"월급1,000,000",1시간전
서울 동작구, 성원아이북랜드 동작관악영업본부,시간협의,"월급1,000,000",1시간전
경기 용인시, 성원아이북랜드 용인영업본부,시간협의,"월급1,000,000",2시간전
경기 용인시, 성원아이북랜드 용인영업본부,시간협의,"월급1,000,000",2시간전
경기 용인시, 성원아이북랜드 용인영업본부,시간협의,"월급1,000,000",2시간전
서울 강서구, 성원아이북랜드 강서양천영업본부,14:00~20:00,"월급1,000,000",2시간전
서울 양천구, 성원아이북랜드 강서양천영업본부,14:00~20:00,"월급1,000,000",2시간전
서울 영등포, 성원아이북랜드 강서양천영업본부,14:00~20:00,"월급1,000,000",2시간전
서울 금천구, 성원아이북랜드 구로금천광명영업본부,시간협의,"월급1,000,000",2시간전
서울 구로구, 성원아이북랜드 구로금천광명영업본부,시간협의,"월급1,000,000",2시간전
경기 광명시, 성원아이북랜드 구로금천광명영업본부,시간협의,"월급1,000,000",2시간전
서울 강북구, 성원아이북랜드 성북강북영업본부,시간협의,"월급1,000,000",2시간전
서울 강북구, 성원아이북랜드 성북강북영업본부,시간협의,"월급1,000,000",2시간전
서울 강북구, 성원아이북랜드 성북강북영업본부,시간협의,"월급1,000,000",2시간전
충남 당진시, 성원아이북랜드 아산B영업본부,시간협의,"건별30,000",2시간전
충남 당진시, 성원아이북랜드 아산B영업본부,시간협의,"건별30,000",2시간전
충남 당진시, 성원아이북랜드 아산B영업본부,시간협의,"건별30,000",2시간전
충남 아산시, 성원아이북랜드 아산영업본부,시간협의,"건별30,000",2시간전
충남 아산시, 성원아이북랜드 아산영업본부,시간협의,"건별30,000",2시간전
경기 수원시, 성원아이북랜드 수원영업본부,14:30~18:00,"월급2,000,000",2시간전
경기 수원시, 성원아이북랜드 수원영업본부,14:30~18:00,"월급2,000,000",2시간전
경기 수원시, 성원아이북랜드 수원영업본부,14:30~18:00,"월급2,000,000",2시간전
충남 아산시, 성원아이북랜드 아산영업본부,시간협의,"건별30,000",2시간전
경기 고양시, 성원아이북랜드 덕양영업본부,시간협의,"월급1,000,000",2시간전
경기 고양시, 성원아이북랜드 덕양영업본부,시간협의,"월급1,000,000",2시간전
경기 고양시, 성원아이북랜드 덕양영업본부,시간협의,"월급1,500,000",2시간전
대구 달서구, 성원아이북랜드 대구달서달성영업본부,시간협의,"건별35,000",3시간전
대구 달성군, 성원아이북랜드 대구달서달성영업본부,시간협의,"건별35,000",3시간전
대구 달서구, 성원아이북랜드 대구달서달성영업본부,시간협의,"건별35,000",3시간전
경기 시흥시, 성원아이북랜드 시흥영업본부,시간협의,"시급10,000",3시간전
경기 시흥시, 성원아이북랜드 시흥영업본부,시간협의,"시급10,000",3시간전
경기 시흥시, 성원아이북랜드 시흥영업본부,시간협의,"시급10,000",3시간전
대전 서구, 성원아이북랜드 대전둔산유성영업본부,시간협의,"시급15,000",3시간전
대전 서구, 성원아이북랜드 대전둔산유성영업본부,시간협의,"시급15,000",3시간전
대전 서구, 성원아이북랜드 대전둔산유성영업본부,시간협의,"시급15,000",4시간전
서울 중랑구, 성원아이북랜드 구리남양주영업본부,시간협의,"시급10,000",4시간전
서울 광진구, 성원아이북랜드 구리남양주영업본부,시간협의,"시급10,000",4시간전
경기 구리시, 성원아이북랜드 구리남양주영업본부,시간협의,"시급10,000",4시간전
경남 김해시, 성원아이북랜드 김해창원영업본부,시간협의,"월급1,000,000",5시간전
경남 김해시, 성원아이북랜드 김해창원영업본부,시간협의,"월급1,000,000",5시간전
경남 창원시, 성원아이북랜드 김해창원영업본부,시간협의,"월급1,000,000",5시간전
서울 송파구, 성원아이북랜드 송파영업본부,시간협의,"시급10,000",5시간전
서울 송파구, 성원아이북랜드 송파영업본부,시간협의,"시급10,000",5시간전
서울 송파구, 성원아이북랜드 송파영업본부,시간협의,"시급10,000",5시간전
