place,title,time,pay,date
경기 파주시, 송사부수제쌀고로케 이마트 파주운정점,07:00~16:00,"월급2,700,000",4분전
서울 도봉구, 송사부수제쌀고로케 창동하나로마트,12:00~22:00,"월급1,600,000",47분전
부산 사하구, 송사부수제쌀고로케 아트몰링부산,09:00~15:00,"시급9,160",2시간전
부산 사하구, 송사부수제쌀고로케 아트몰링부산,09:00~15:00,"시급9,160",2시간전
경기 성남시, 송사부수제쌀고로케 이마트 분당점,09:00~14:00,"시급9,500",2시간전
경기 성남시, 송사부수제쌀고로케 이마트 분당점,09:00~14:00,"시급9,500",2시간전
경기 성남시, 송사부수제쌀고로케 이마트 분당점,09:00~14:00,"시급9,500",2시간전
경기 성남시, 송사부수제쌀고로케 이마트 분당점,09:00~14:00,"시급9,500",5시간전
충북 청주시, 송사부수제쌀고로케 청주하나로마트,08:00~13:00,"시급8,720",6시간전
충북 청주시, 송사부수제쌀고로케 청주하나로마트,11:00~16:00,"시급8,720",6시간전
서울 양천구, 송사부수제쌀고로케 이마트 목동,17:00~22:00,"시급10,000",6시간전
울산 울주군, 송사부수제쌀고로케 메마트 언양점,17:00~20:30,"시급8,720",6시간전
서울 은평구, 송사부수제쌀고로케 이마트 은평점,15:30~21:30,"시급9,160",6시간전
충북 청주시, 송사부수제쌀고로케 청주하나로마트,16:00~21:00,"시급8,720",6시간전
인천 남동구, 송사부수제쌀고로케 NC구월점,13:00~19:00,"시급9,160",7시간전
대전 서구, 송사부수제쌀고로케 이마트 둔산점,18:00~22:30,"시급9,000",12/14
인천 전체, 송사부수제쌀고로케 이마트 연수점,시간협의,"시급8,720",12/14
서울 강서구, 송사부수제쌀고로케 NC 강서점,08:00~14:00,"시급8,720",12/11
경기 김포시, 송사부수제쌀고로케 이마트 김포한강,10:00~16:00,"시급8,720",12/11
경기 김포시, 송사부수제쌀고로케 이마트 김포한강,10:00~16:00,"시급8,720",12/11
경기 김포시, 송사부수제쌀고로케 이마트 김포한강,10:00~16:00,"시급8,720",12/11
경기 김포시, 송사부수제쌀고로케 이마트 김포한강,10:00~16:00,"시급8,720",12/11
부산 해운대, 송사부수제쌀고로케 HP 센텀시티점,17:30~22:00,"시급8,720",12/10
경기 고양시, 송사부수제쌀고로케 이마트 풍산점,15:00~22:00,"시급9,000",12/10
경남 거제시, 송사부수제쌀고로케 HP 거제점,08:00~13:00,"시급8,720",12/09
경남 거제시, 송사부수제쌀고로케 HP 거제점,08:00~13:00,"시급8,720",12/09
경기 성남시, 송사부수제쌀고로케 이마트 분당점,09:00~14:00,"시급9,500",12/07
서울 중구, 송사부수제쌀고로케 이마트 천호점,16:00~21:00,"시급9,000",12/07
서울 중구, 송사부수제쌀고로케 이마트 천호점,16:00~21:00,"시급9,300",12/07
경기 수원시, 송사부수제쌀고로케 HP 동수원점,시간협의,"시급8,720",12/06
서울 서초구, 송사부수제쌀고로케 NC 강남점,15:00~20:00,"시급9,000",12/06
서울 서초구, 송사부수제쌀고로케 NC 강남점,15:00~20:00,"시급9,000",12/06
서울 서초구, 송사부수제쌀고로케 NC 강남점,15:00~20:00,"시급9,000",12/06
서울 서초구, 송사부수제쌀고로케 NC 강남점,15:00~20:00,"시급9,000",12/06
서울 서초구, 송사부수제쌀고로케 NC 강남점,15:00~20:00,"시급9,000",12/06
