place,title,time,pay,date
서울 영등포, (주)파리크라상 쉐이크쉑,시간협의,"시급8,820",34분전
서울 종로구, (주)파리크라상 쉐이크쉑,시간협의,"시급8,820",36분전
서울 서초구, (주)파리크라상 쉐이크쉑,시간협의,"시급8,820",49분전
서울 마포구, (주)파리크라상 쉐이크쉑,시간협의,"시급8,820",1시간전
경기 화성시, (주)파리크라상 쉐이크쉑,시간협의,"시급8,820",1시간전
서울 강남구, 쉐이크쉑 코엑스점,시간협의,"시급8,820",1시간전
서울 노원구, (주)파리크라상 쉐이크쉑,시간협의,"시급8,820",1시간전
서울 용산구, 쉐이크쉑 용산아이파크몰점,시간협의,"시급8,820",1시간전
서울 서초구, 쉐이크쉑 센트럴시티점,07:00~23:00,"시급8,820",1시간전
서울 성동구, (주)파리크라상 쉐이크쉑,시간협의,"시급8,820",1시간전
서울 성북구, (주)파리크라상 쉐이크쉑,시간협의,"시급8,820",1시간전
서울 강북구, (주)파리크라상 쉐이크쉑,시간협의,"시급8,820",1시간전
서울 중구, (주)파리크라상 쉐이크쉑,시간협의,"시급8,820",1시간전
서울 동대문, (주)파리크라상 쉐이크쉑,시간협의,"시급8,820",1시간전
서울 강남구, (주)파리크라상 쉐이크쉑,시간협의,"시급8,820",2시간전
서울 강남구, (주)파리크라상,시간협의,"시급8,820",2시간전
서울 용산구, 쉐이크쉑 용산아이파크몰점,시간협의,"시급8,820",12/13
서울 강남구, 쉐이크쉑 코엑스점,시간협의,"시급8,820",12/12
서울 서초구, 쉐이크쉑 센트럴시티점,07:00~23:00,"시급8,820",12/12
서울 관악구, 쉐이크쉑 신림점,08:00~23:00,"시급8,820",11/30
