place,title,time,pay,date
서울 강서구, 슈퍼히어로 화곡지사,10:00~01:00,"건별4,200",55분전
서울 강서구, 슈퍼히어로 화곡지사,10:00~01:00,"건별4,200",55분전
서울 강서구, 슈퍼히어로 화곡지사,10:00~01:00,"건별4,200",56분전
경기 시흥시, 슈퍼히어로 시흥시센터,시간협의,"일급150,000",5시간전
경기 시흥시, 슈퍼히어로 시흥시센터,시간협의,"일급250,000",5시간전
경기 시흥시, 슈퍼히어로 시흥시센터,시간협의,"일급150,000",5시간전
경기 광명시, 슈퍼히어로 광명센터,10:00~02:30,"건별4,300",6시간전
경기 광명시, 슈퍼히어로 광명센터,10:00~02:30,"건별4,300",6시간전
경기 광명시, 슈퍼히어로 광명센터,10:00~02:30,"건별4,300",6시간전
경남 진주시, 슈퍼히어로 진주엠케이,시간협의,"건별3,000",7시간전
경남 진주시, 슈퍼히어로 진주엠케이,시간협의,"건별3,000",7시간전
경남 진주시, 슈퍼히어로 진주엠케이,시간협의,"건별3,000",7시간전
경남 진주시, 슈퍼히어로 진주엠케이2,시간협의,"건별3,000",7시간전
경남 진주시, 슈퍼히어로 진주엠케이2,시간협의,"건별3,000",7시간전
경남 진주시, 슈퍼히어로 진주엠케이2,시간협의,"건별3,000",7시간전
경기 안양시, 슈퍼히어로 만안남지사,시간협의,"주급1,600,000",12/14
경기 안양시, 슈퍼히어로 만안남지사,시간협의,"일급250,000",12/14
경기 안양시, 슈퍼히어로 만안남지사,시간협의,"주급1,600,000",12/14
경기 남양주, 슈퍼히어로 갈매별내지사,10:00~01:00,"일급250,000",12/13
경기 구리시, 슈퍼히어로 갈매별내지사,10:00~01:00,"일급250,000",12/13
경기 남양주, 슈퍼히어로 갈매별내지사,10:00~01:00,"일급250,000",12/13
서울 동작구, 슈퍼히어로 동작빵빵지사,10:00~01:30,"일급300,000",12/11
서울 관악구, 슈퍼히어로 동작빵빵지사,10:00~01:30,"일급300,000",12/11
서울 관악구, 슈퍼히어로 관악빵빵지사,10:00~16:30,"일급300,000",12/10
대구 전체, 슈퍼히어로 대구수성지사,시간협의,"건별3,500",12/08
대구 전체, 슈퍼히어로 대구수성지사,시간협의,"건별3,500",12/08
대구 전체, 슈퍼히어로 대구수성지사,시간협의,"건별3,500",12/08
경기 의정부, 슈퍼히어로 의정부A,시간협의,"건별4,000",12/05
경기 의정부, 슈퍼히어로 의정부A,시간협의,"건별4,000",12/05
경기 안양시, 슈퍼히어로 석수지사,시간협의,"주급150,000",12/05
경기 안양시, 슈퍼히어로 석수지사,시간협의,"연봉60,000,000",12/05
경기 안양시, 슈퍼히어로 석수지사,시간협의,"건별4,000",12/05
경기 의정부, 의정부브라더,시간협의,"건별4,000",12/04
경기 의정부, 슈퍼히어로 의정부G,시간협의,"건별4,000",12/04
경북 의성군, 슈퍼히어로 의성지사,10:30~10:30,"건별2,500",12/03
부산 강서구, 슈퍼히어로 부산바른콜,시간협의,"건별3,200",12/02
부산 강서구, 슈퍼히어로 부산바른콜,시간협의,"건별3,200",12/02
부산 강서구, 슈퍼히어로 부산바른콜,시간협의,"건별3,200",12/02
전남 광양시, 슈퍼히어로 광영지사,시간협의,"월급3,500,000",12/01
경기 의정부, 슈퍼히어로 의정부드림,시간협의,"건별4,000",11/30
경기 의정부, 슈퍼히어로 의정부드림,시간협의,"건별4,000",11/30
경기 의정부, 슈퍼히어로 의정부드림,시간협의,"건별4,000",11/30
