place,title,time,pay,date
전북 군산시, 스타벅스커피 코리아 군산수송,시간협의,"시급9,200",1분전
서울 금천구, 스타벅스커피 코리아 가산에스케이,07:00~22:00,"시급9,200",1분전
서울 전체, 스타벅스커피 코리아 대치은마사거리,시간협의,"시급9,200",3분전
경기 고양시, 스타벅스커피 코리아 풍산이마트,시간협의,"시급9,200",5분전
서울 영등포, 스타벅스커피 코리아 여의도일신,시간협의,"시급9,200",8분전
서울 강남구, 스타벅스커피 코리아 삼성동,시간협의,"시급9,200",8분전
서울 전체, 스타벅스커피 코리아 선릉세화빌딩,시간협의,"시급9,200",9분전
대전 전체, 스타벅스커피 코리아 대전관평동,시간협의,"시급9,200",9분전
경기 성남시, 스타벅스커피 코리아 정자동,시간협의,"시급9,200",10분전
경기 전체, 스타벅스커피 코리아 야탑터미널,시간협의,"시급9,200",11분전
경기 성남시, 스타벅스커피 코리아 경기광주신현DT,시간협의,"시급9,200",13분전
경기 이천시, 스타벅스커피 코리아 이천사음DT,시간협의,"시급9,200",21분전
경기 용인시, 스타벅스커피 코리아 용인보정,시간협의,"시급9,200",26분전
충북 증평군, 스타벅스커피 코리아 충북증평점,07:30~24:00,"시급9,200",42분전
대전 유성구, 스타벅스커피 코리아 대전전민,06:30~22:00,"시급9,200",43분전
서울 강남구, 스타벅스커피 코리아 학동사거리,시간협의,"시급9,200",56분전
전남 순천시, 스타벅스커피 코리아 순천용당DT,시간협의,"시급9,200",1시간전
경기 여주시, 스타벅스커피 코리아 여주P.아울렛,시간협의,"시급9,200",1시간전
세종 전체, 스타벅스커피 코리아 세종어진R,시간협의,"시급9,200",1시간전
경기 여주시, 스타벅스커피 코리아 여주P.아울렛,시간협의,"시급9,200",1시간전
서울 영등포, 스타벅스커피 코리아 영등포구청역,00:00~24:00,"시급9,200",1시간전
서울 전체, 스타벅스커피 코리아 서울숲역,시간협의,"시급9,200",1시간전
서울 영등포, 스타벅스커피 코리아 여의도일신,시간협의,"시급9,200",1시간전
서울 강남구, 스타벅스커피 코리아 학동역,시간협의,"시급9,200",1시간전
서울 강남구, 스타벅스커피 코리아 학동역,시간협의,"시급9,200",1시간전
서울 전체, 스타벅스커피 코리아 뱅뱅사거리,시간협의,"시급9,200",2시간전
전남 나주시, 스타벅스커피 코리아 나주혁신DT,00:00~24:00,"시급9,200",2시간전
서울 전체, 스타벅스커피 코리아 올림픽공원북2문,시간협의,"시급9,200",2시간전
전북 군산시, 스타벅스커피 코리아 군산AB,시간협의,"시급9,200",2시간전
경북 안동시, 스타벅스커피 코리아 안동시청,07:30~23:00,"시급9,200",2시간전
대전 대덕구, 스타벅스커피 코리아 대전IC DT,06:00~23:00,"시급9,200",2시간전
서울 전체, 스타벅스커피 코리아 도산가로수길,시간협의,"시급9,200",2시간전
서울 송파구, 스타벅스커피 코리아 문정하비오,06:30~22:30,"시급9,200",2시간전
경기 성남시, 스타벅스커피 코리아 판교알파돔타워,시간협의,"시급9,200",2시간전
경기 전체, 스타벅스커피 코리아 서판교,시간협의,"시급9,200",2시간전
세종 어진동, 스타벅스커피 코리아 세종청사,시간협의,"시급9,200",2시간전
경기 이천시, 스타벅스커피 코리아 이천하이닉스,시간협의,"시급9,200",2시간전
강원 춘천시, 스타벅스커피 코리아 춘천온의,시간협의,"시급9,200",2시간전
경기 평택시, 스타벅스커피 코리아 평택죽백DT,07:00~23:00,"시급9,200",2시간전
대전 유성구, 스타벅스커피 코리아 대전전민,06:30~22:00,"시급9,200",2시간전
서울 서초구, 스타벅스커피 코리아 서래마을입구,06:00~23:00,"시급9,200",2시간전
대전 전체, 스타벅스커피 코리아 충남대정문,시간협의,"시급9,200",2시간전
서울 송파구, 스타벅스커피 코리아 방이역,시간협의,"시급9,200",2시간전
제주 제주시, 스타벅스커피 코리아 제주노형,시간협의,"시급9,200",2시간전
서울 송파구, 스타벅스커피 코리아 송파위례,시간협의,"시급9,200",2시간전
서울 강남구, 스타벅스커피 코리아 대치,시간협의,"시급9,200",3시간전
서울 강남구, 스타벅스커피 코리아 대치,시간협의,"시급9,200",3시간전
제주 서귀포, 스타벅스커피 코리아 제주중문DT,07:00~22:00,"시급9,200",3시간전
경기 고양시, 스타벅스커피 코리아 원당DT,시간협의,"시급9,200",3시간전
경기 이천시, 스타벅스커피 코리아 이천사음DT,시간협의,"시급9,200",3시간전
