place,title,time,pay,date
서울 강남구, 주)신세계푸드 노브랜드버거 학동역점,시간협의,"시급8,900",5분전
서울 동대문, 노브랜드버거 을지로4가역점,09:00~13:00,"시급8,900",18분전
인천 전체, 노브랜드버거 인천계양구청점,시간협의,"시급8,900",18분전
서울 금천구, 신세계푸드 NBB 가산디지털단지점,08:00~17:00,"시급8,900",21분전
부산 남구, 신세계푸드 노브랜드버거 부산대연점,08:00~23:30,"시급8,900",26분전
인천 전체, 노브랜드버거 인천계양구청점,시간협의,"시급8,900",27분전
서울 송파구, NBB잠실학원사거리점,시간협의,"시급9,160",39분전
인천 전체, 노브랜드버거 인천계양구청점,시간협의,"시급8,900",41분전
서울 송파구, 노브랜드버거 건대입구점,시간협의,"시급8,900",49분전
서울 광진구, 노브랜드버거 건대입구점,시간협의,"시급8,900",51분전
서울 성동구, 노브랜드버거 건대입구점,시간협의,"시급8,900",52분전
서울 관악구, 노브랜드 버거 양재역점,시간협의,"시급8,900",54분전
서울 중랑구, 노브랜드버거 건대입구점,시간협의,"시급8,900",55분전
경기 안성시, 신세계푸드 NBB안성스타필드점,09:00~15:30,"시급8,900",1시간전
서울 강남구, 주)신세계푸드 노브랜드버거 학동역점,시간협의,"시급8,900",1시간전
서울 전체, 보노보노 플러스 삼성점,12:00~22:00,"월급1,860,100",1시간전
서울 강서구, 신세계푸드 NBB마곡점관리자,시간협의,"시급9,160",1시간전
서울 송파구, NBB잠실학원사거리점,시간협의,"시급9,160",1시간전
서울 중구, (주)신세계푸드 베키아에누보 본점,11:00~20:00,"월급1,860,100",1시간전
서울 강남구, 주)신세계푸드 노브랜드버거 학동역점,시간협의,"시급8,900",1시간전
인천 전체, 노브랜드버거 인천계양구청점,시간협의,"시급9,160",2시간전
서울 강서구, (주)신세계푸드 노브랜드버거 마곡점,시간협의,"시급8,900",2시간전
서울 전체, 노브랜드버거 을지로4가역점,09:00~13:00,"시급8,900",2시간전
서울 중구, 노브랜드버거 을지로4가역점,09:00~13:00,"시급8,900",3시간전
서울 관악구, 신세계푸드 NBB 남부터미널점,시간협의,"시급9,160",3시간전
서울 서초구, 베키아에누보 신세계백화점 강남점,11:30~20:30,"일급96,000",3시간전
서울 성북구, 노브랜드버거 을지로4가역점,09:00~13:00,"시급8,900",3시간전
서울 금천구, 신세계푸드 NBB 가산디지털단지점,16:00~22:30,"시급8,900",3시간전
서울 강남구, 노브랜드버거 대치대원빌딩점,시간협의,"시급8,900",3시간전
인천 전체, 노브랜드버거 인천계양구청점,시간협의,"시급8,900",4시간전
서울 마포구, 노브랜드버거 신촌점,17:30~23:00,"시급8,900",13시간전
서울 서대문, 노브랜드버거 신촌점,17:30~23:00,"시급8,900",13시간전
서울 동작구, 노브랜드버거 노량진점,시간협의,"시급8,900",21시간전
경기 안성시, 신세계푸드 NBB안성스타필드점,09:00~03:30,"시급8,900",12/14
부산 남구, 신세계푸드 노브랜드버거 부산대연점,08:00~23:30,"시급8,900",12/13
경기 부천시, (주)신세계푸드노브랜드버거부천역북부점,13:30~22:30,"시급8,900",12/10
서울 관악구, 신세계푸드 NBB 남부터미널점,시간협의,"시급8,900",12/10
서울 전체, 보노보노 플러스 삼성점,13:00~22:00,"시급8,900",12/09
서울 전체, 보노보노 플러스 삼성점,시간협의,"월급2,000,130",12/09
서울 성동구, TEST KITCHEN PIZZA,09:30~18:30,"시급9,200",12/06
서울 송파구, 노브랜드버거 대치대원빌딩점,시간협의,"시급8,900",12/06
서울 서초구, (주)신세계푸드 데블스도어 코엑스점,시간협의,"월급1,860,100",12/04
서울 관악구, (주)신세계푸드 데블스도어 코엑스점,시간협의,"월급1,860,100",12/04
서울 전체, (주)신세계푸드 데블스도어 코엑스점,시간협의,"월급1,860,100",12/04
서울 강남구, (주)신세계푸드 데블스도어 코엑스점,시간협의,"월급1,860,100",12/04
서울 강남구, (주)신세계푸드 데블스도어 코엑스점,시간협의,"월급1,860,100",12/04
서울 광진구, 신세계푸드 NBB 남부터미널점,시간협의,"시급8,900",12/04
대구 달서구, NBB 대구상인역점,시간협의,"시급8,720",12/03
