place,title,time,pay,date
부산 북구, 써브웨이 부산 덕천점,12:00~18:00,"시급8,720",1분전
전국 전체, 써브웨이 광명철산역점,16:30~23:30,"시급8,720",4분전
서울 중구, 써브웨이 약수역점,15:30~22:00,"시급9,200",17분전
서울 중구, 써브웨이 약수역점,15:30~22:00,"시급9,200",18분전
서울 관악구, 서브웨이 서초법원점,11:00~16:00,"시급9,300",22분전
서울 마포구, 써브웨이 홍대점,16:00~23:00,"시급9,200",25분전
경남 김해시, 써브웨이 김해진영점,18:00~22:30,"시급8,720",37분전
경기 부천시, 써브웨이(SUBWAY)부천옥길점,16:30~22:30,"시급8,750",39분전
부산 부산진, 써브웨이 부산서면,17:00~22:30,"시급8,720",40분전
서울 중구, 써브웨이 동대문역사문화공원역점,시간협의,"시급9,160",42분전
경기 용인시, 써브웨이 용인동백점,17:00~22:30,"시급9,160",51분전
서울 은평구, 써브웨이 응암,08:00~13:00,"시급9,160",1시간전
경남 김해시, 써브웨이 김해장유점,16:00~22:00,"시급9,160",1시간전
부산 동구, 써브웨이 부산역점,16:00~20:00,"시급8,720",1시간전
대구 달성군, 써브웨이 대구다사점,18:00~22:00,"시급8,720",1시간전
경남 김해시, 써브웨이 율하점,08:00~14:00,"시급9,160",1시간전
인천 미추홀, 써브웨이 SUBWAY 인천주안역점,17:00~23:30,"시급8,750",1시간전
전남 나주시, 써브웨이 나주혁신점,시간협의,"연봉26,000,000",1시간전
서울 관악구, 서브웨이 서초법원점,11:00~16:00,"시급9,300",1시간전
서울 노원구, 서브웨이 노원점,시간협의,"시급9,500",2시간전
서울 종로구, 써브웨이 경복궁,08:00~14:00,"시급8,720",2시간전
경남 진주시, 써브웨이진주경상대점,14:00~17:30,"시급8,720",2시간전
서울 성동구, 써브웨이 약수역점,15:30~22:00,"시급9,200",2시간전
서울 성북구, 써브웨이 약수역점,15:30~22:00,"시급9,200",2시간전
서울 동대문, 써브웨이 약수역점,15:30~22:00,"시급9,200",2시간전
서울 광진구, 써브웨이광장점,시간협의,"시급8,800",2시간전
충남 천안시, 써브웨이 천안충무로점,16:00~23:30,"시급9,160",2시간전
경기 성남시, 써브웨이 단대오거리점,07:30~14:00,"시급9,160",2시간전
경기 수원시, 써브웨이성균관대점,09:00~14:00,"시급8,720",2시간전
대구 전체, 써브웨이 써브웨이 대구광장점,10:00~14:30,"시급8,720",2시간전
대구 전체, 써브웨이 써브웨이 대구광장점,08:00~13:00,"시급8,720",2시간전
부산 전체, 써브웨이 부산 센텀시티,12:30~22:30,"월급2,100,000",2시간전
부산 전체, 써브웨이 부산 센텀시티,08:00~13:00,"시급8,720",2시간전
전남 나주시, 써브웨이 나주혁신점,시간협의,"연봉26,000,000",2시간전
서울 노원구, 써브웨이 중계은행사거리점,시간협의,"시급9,160",2시간전
서울 구로구, 써브웨이 구로NC점,시간협의,"시급9,160",2시간전
부산 전체, 써브웨이 부산 센텀시티,17:00~22:00,"시급8,720",2시간전
인천 미추홀, 써브웨이 SUBWAY 인천주안역점,17:00~23:30,"시급8,750",2시간전
부산 전체, 써브웨이 부산 센텀시티,08:00~18:00,"월급2,100,000",2시간전
인천 남동구, 서브웨이 인천논현점,17:00~22:30,"시급9,160",2시간전
서울 강남구, 써브웨이,시간협의,"시급9,160",2시간전
부산 전체, 써브웨이 부산좌동점,시간협의,"월급2,100,000",3시간전
서울 은평구, 써브웨이 응암,08:00~15:00,"시급9,160",3시간전
서울 은평구, 써브웨이 응암,08:00~15:00,"시급9,160",3시간전
경남 김해시, 써브웨이 김해인제대,시간협의,"월급1,900,000",3시간전
서울 관악구, 써브웨이 서울대점,16:30~23:30,"시급9,000",3시간전
서울 종로구, 써브웨이 대학로점,시간협의,"월급1,950,000",3시간전
광주 광산구, 써브웨이 광주첨단점,17:00~23:30,"시급9,160",3시간전
서울 영등포, 써브웨이국회의사당점,07:30~02:00,"시급9,160",3시간전
서울 광진구, 써브웨이 아차산점,17:00~22:30,"시급8,720",3시간전
