place,title,time,pay,date
서울 광진구, 아소비 동대문성동지사,14:00~19:00,"월급2,500,000",16분전
서울 동대문, 아소비 동대문성동지사,14:00~19:00,"월급2,500,000",16분전
서울 성동구, 아소비 동대문성동지사,14:00~19:00,"월급2,500,000",17분전
경기 수원시, 아소비 수원화성오산지사,13:00~18:00,"월급1,800,000",31분전
경기 안산시, 아소비 안산지사,14:00~18:00,"월급2,500,000",35분전
경기 화성시, 아소비 수원화성오산지사,13:00~18:00,"월급1,800,000",38분전
서울 강북구, 아소비 강북도봉지사,14:00~18:00,"월급2,000,000",42분전
서울 강북구, 아소비 강북도봉지사,14:00~18:00,"월급2,000,000",43분전
서울 성북구, 아소비 강북도봉지사,14:00~18:00,"월급2,000,000",44분전
충북 청주시, 아소비 청주지사,13:00~18:00,"월급2,000,000",45분전
서울 성북구, 아소비 성북지사,14:00~18:00,"월급2,000,000",45분전
서울 도봉구, 아소비 성북지사,14:00~18:00,"월급2,000,000",46분전
충북 청주시, 아소비 청주지사,13:00~18:00,"월급2,000,000",46분전
충북 청주시, 아소비 청주지사,13:00~18:00,"월급2,000,000",46분전
서울 도봉구, 아소비 성북지사,14:00~18:00,"월급2,000,000",47분전
경기 화성시, 아소비 수원화성오산지사,13:00~18:00,"월급1,800,000",47분전
경기 안산시, 아소비 안산지사,14:00~18:00,"월급2,500,000",59분전
경기 안산시, 아소비 안산지사,14:00~18:00,"월급2,500,000",1시간전
부산 연제구, 아소비 부산북부지사,14:00~18:00,"월급1,800,000",1시간전
부산 연제구, 아소비 부산북부지사,14:00~18:00,"월급1,800,000",1시간전
부산 연제구, 아소비 부산북부지사,14:00~18:00,"월급1,800,000",1시간전
서울 중랑구, 아소비 동북지사(노원/중랑),14:00~19:00,"월급1,900,000",1시간전
서울 중랑구, 아소비 동북지사(노원/중랑),14:00~19:00,"월급1,900,000",1시간전
서울 중랑구, 아소비 동북지사(노원/중랑),14:00~19:00,"월급1,900,000",1시간전
경기 남양주, 아소비 동북지사(남양주/구리),14:00~19:00,"월급1,900,000",1시간전
경기 남양주, 아소비 동북지사(남양주/구리),14:00~19:00,"월급1,900,000",1시간전
경기 남양주, 아소비 동북지사(남양주/구리),14:00~19:00,"월급1,900,000",1시간전
경남 진주시, 아소비 진주거제지사,시간협의,"월급1,700,000",1시간전
경기 하남시, 아소비 하남지사,13:00~19:00,"월급2,000,000",1시간전
경기 하남시, 아소비 하남지사,13:00~19:00,"월급2,000,000",1시간전
경기 하남시, 아소비 하남지사,13:00~19:00,"월급2,000,000",1시간전
경남 진주시, 아소비 진주거제지사,시간협의,"월급1,700,000",1시간전
경기 고양시, 아소비 고양파주지사,13:00~18:00,"월급1,900,000",1시간전
서울 송파구, 아소비 송파강동지사,13:00~19:00,"월급2,000,000",1시간전
서울 강동구, 아소비 송파강동지사,13:00~19:00,"월급2,000,000",1시간전
서울 강동구, 아소비 송파강동지사,13:00~19:00,"월급2,000,000",1시간전
경남 진주시, 아소비 진주거제지사,시간협의,"월급1,700,000",1시간전
경기 파주시, 아소비 고양파주지사,13:00~18:00,"월급1,900,000",2시간전
경남 창원시, 아소비 통합창원마산지사,시간협의,"월급1,700,000",2시간전
경기 파주시, 아소비 고양파주지사,13:00~18:00,"월급1,900,000",2시간전
경남 창원시, 아소비 통합창원마산지사,시간협의,"월급1,700,000",2시간전
경남 창원시, 아소비 통합창원마산지사,시간협의,"월급1,700,000",2시간전
인천 계양구, 아소비 인천지사,14:00~18:00,"월급1,800,000",2시간전
인천 계양구, 아소비 인천지사,14:00~18:00,"월급1,800,000",2시간전
부산 기장군, 아소비 부산남부지사,14:00~18:00,"월급1,600,000",2시간전
부산 기장군, 아소비 부산남부지사,14:00~18:00,"월급1,600,000",2시간전
부산 기장군, 아소비 부산남부지사,14:00~18:00,"월급1,600,000",2시간전
경기 여주시, 아소비 여주지사,13:30~18:30,"월급2,000,000",3시간전
경기 여주시, 아소비 여주지사,13:30~18:30,"월급2,000,000",3시간전
경기 여주시, 아소비 여주지사,13:30~18:30,"월급2,000,000",3시간전
