place,title,time,pay,date
충북 청주시, 아이스크림홈런 공부방 청주지국,13:00~18:00,"건별1,800,000",25분전
세종 전체, 아이스크림홈런 공부방 청주지국,13:00~18:00,"건별1,800,000",26분전
충북 청주시, 아이스크림홈런 공부방 청주지국,13:00~18:00,"건별1,800,000",28분전
서울 은평구, 아이스크림홈런 지사사업실 북부지사,11:00~18:00,"월급3,500,000",58분전
경기 고양시, 아이스크림홈런 지사사업실 북부지사,11:00~18:00,"월급3,500,000",1시간전
경기 고양시, 아이스크림홈런 지사사업실 북부지사,11:00~18:00,"월급3,500,000",1시간전
경기 의정부, 아이스크림홈런 지사사업실 방문3센터,시간협의,"월급3,500,000",3시간전
경기 남양주, 아이스크림홈런 고객창출실 방문3센터,시간협의,"월급3,500,000",3시간전
서울 전체, 아이스크림홈런 지사사업실 방문3센터,시간협의,"월급3,500,000",3시간전
경기 김포시, 아이스크림홈런 지사사업실 서부지사,시간협의,"월급3,300,000",4시간전
경기 부천시, 아이스크림홈런 지사사업실 서부지사,시간협의,"월급3,300,000",4시간전
인천 전체, 아이스크림홈런 지사사업실 서부지사,시간협의,"월급2,500,000",4시간전
광주 전체, 아이스크림홈런 공부방 광주남부지국,시간협의,"월급1,800,000",7시간전
광주 전체, 아이스크림홈런 공부방 광주남부지국,시간협의,"월급1,800,000",7시간전
광주 전체, 아이스크림홈런 공부방 광주남부지국,13:00~18:00,"월급1,800,000",7시간전
경기 파주시, 아이스크림홈런 공부방 고양지국,13:00~18:00,"월급1,800,000",12/12
경기 고양시, 아이스크림홈런 공부방 고양지국,13:00~18:00,"월급1,800,000",12/12
경기 고양시, 아이스크림홈런 공부방 고양지국,13:00~18:00,"월급1,800,000",12/12
부산 전체, 아이스크림홈런 지사사업실 부산지사,시간협의,"월급2,500,000",12/11
경북 경주시, 아이스크림홈런 공부방 포항지국,13:00~18:00,"월급1,800,000",12/10
울산 울주군, 아이스크림홈런 공부방 언양지국,시간협의,"연봉1,800,000",12/10
울산 울주군, 아이스크림홈런 공부방 언양지국,시간협의,"연봉1,800,000",12/10
울산 울주군, 아이스크림홈런 공부방 언양지국,시간협의,"연봉1,800,000",12/10
경북 구미시, 아이스크림홈런 공부방 구미지국,13:00~19:00,"월급2,000,000",12/10
대전 유성구, 아이스크림홈런 지사사업실 대전지사,11:00~19:00,"월급2,500,000",12/04
세종 전체, 아이스크림홈런 지사사업실 대전지사,11:00~19:00,"월급2,500,000",12/04
부산 전체, 아이스크림홈런 고객창출실 방문5센터,시간협의,"월급4,000,000",12/04
울산 전체, 아이스크림홈런 지사사업실 방문5센터,시간협의,"월급4,000,000",12/04
부산 전체, 아이스크림홈런 고객창출실 방문5센터,시간협의,"월급4,000,000",12/04
부산 전체, 아이스크림홈런 지사사업실 부산지사,시간협의,"월급2,500,000",12/04
경기 부천시, 아이스크림홈런 지사사업실 방문2센터,10:00~19:00,"월급4,000,000",12/03
경기 부천시, 아이스크림홈런 지사사업실 방문2센터,10:00~19:00,"월급4,000,000",12/03
대전 전체, 아이스크림홈런 공부방 대전지국,13:00~18:00,"월급1,800,000",12/03
충남 계룡시, 아이스크림홈런 공부방 대전지국,13:00~18:00,"월급1,800,000",12/03
충북 옥천군, 아이스크림홈런 공부방 대전지국,13:00~18:00,"월급1,800,000",12/03
부산 부산진, 아이스크림홈런 공부방 부산남부지국,13:00~18:00,"월급1,800,000",12/01
부산 동구, 아이스크림홈런 공부방 부산남부지국,13:00~18:00,"월급1,800,000",12/01
부산 남구, 아이스크림홈런 공부방 부산남부지국,13:00~18:00,"월급1,800,000",12/01
