place,title,time,pay,date
경기 이천시, 에그드랍 이천터미널점,15:00~22:30,"월급1,800,000",8분전
서울 송파구, 에그드랍 석촌호수점,06:30~03:30,"시급9,160",19분전
서울 송파구, 에그드랍 석촌호수점,시간협의,"월급1,920,000",20분전
서울 강남구, 에그드랍 양재역점,시간협의,"시급9,160",30분전
경기 수원시, 에그드랍 아주대점,15:00~23:00,"시급9,200",2시간전
경북 안동시, 에그드랍 안동점,10:00~05:00,"시급9,160",2시간전
경기 이천시, 에그드랍 이천터미널점,15:00~22:30,"월급1,800,000",5시간전
서울 서초구, 에그드랍 잠원역점,시간협의,"월급2,100,000",5시간전
경기 과천시, 에그드랍 과천별양점,16:30~21:00,"시급9,160",5시간전
경기 과천시, 에그드랍 과천별양점,시간협의,"시급11,500",5시간전
서울 마포구, 에그드랍 상수역점,시간협의,"시급9,160",7시간전
서울 강남구, 에그드랍 역삼GS점,08:00~13:30,"시급11,000",7시간전
서울 전체, 에그드랍 강남본점,시간협의,"시급11,000",7시간전
서울 강남구, 에그드랍 파르나스몰점,시간협의,"시급11,000",7시간전
서울 서초구, 에그드랍 강남우성점,09:00~14:30,"시급11,000",7시간전
서울 강남구, 에그드랍 강남역점,시간협의,"시급11,000",7시간전
경기 안산시, 에그드랍 안산고잔점,시간협의,"월급2,200,000",16시간전
경기 화성시, 에그드랍 동탄영천점,09:00~14:00,"시급9,000",23시간전
서울 마포구, 에그드랍 상수역점,시간협의,"시급8,720",12/14
경기 이천시, 에그드랍 이천터미널점,15:00~22:30,"월급1,800,000",12/12
경기 이천시, 에그드랍 이천터미널점,15:00~22:30,"월급1,800,000",12/10
충남 천안시, 에그드랍 천안터미널점,15:00~21:00,"시급8,720",12/10
충남 천안시, 에그드랍 천안터미널점,15:00~21:00,"시급8,720",12/10
경기 이천시, 에그드랍 이천터미널점,15:00~22:30,"월급1,800,000",12/09
전북 전주시, 에그드랍 전주에코시티점,09:00~14:00,"시급8,720",12/08
서울 광진구, 에그드랍 서울 광장점,시간협의,"시급9,500",12/07
서울 광진구, 에그드랍 서울 광장점,12:30~21:30,"월급2,100,000",12/07
경기 용인시, 에그드랍 용인동백점,시간협의,"시급8,900",12/06
경기 용인시, 에그드랍 용인동백점,시간협의,"시급8,900",12/06
경기 용인시, 에그드랍 용인역북점,시간협의,"시급8,900",12/06
서울 마포구, 에그드랍 상수역점,시간협의,"시급8,720",12/05
부산 수영구, 에그드랍 부산수영점,시간협의,"시급8,720",12/04
서울 마포구, 에그드랍 상수역점,시간협의,"시급8,720",12/02
서울 강남구, 에그드랍 양재역점,시간협의,"시급9,000",11/30
서울 강남구, 에그드랍 파르나스몰점,시간협의,"시급11,000",11/30
