place,title,time,pay,date
서울 양천구, 에잇세컨즈 현대목동점,13:00~22:00,"시급10,470",3시간전
서울 양천구, 에잇세컨즈 현대목동점,13:00~22:00,"시급10,470",5시간전
부산 전체, 제일패션리테일(주),12:30~21:30,"시급8,720",6시간전
서울 양천구, 에잇세컨즈 현대목동점,13:00~22:00,"시급10,470",8시간전
서울 서대문, 제일패션리테일(주),13:00~22:00,"시급10,470",22시간전
서울 송파구, 제일패션리테일(주),11:30~20:30,"시급10,470",12/13
서울 중구, 제일패션리테일(주),시간협의,"시급10,470",12/07
서울 중구, 에잇세컨즈 명동본점,09:00~18:00,"시급10,470",12/07
서울 송파구, 제일패션리테일(주),13:00~22:00,"시급10,470",12/06
경기 의왕시, 제일패션리테일(주),시간협의,"시급10,470",12/04
서울 서대문, 제일패션리테일(주),시간협의,"시급10,470",12/04
경기 시흥시, 제일패션리테일(주),시간협의,"시급10,470",12/04
경기 성남시, 제일패션리테일(주),13:00~22:00,"시급10,470",12/03
경기 시흥시, 제일패션리테일(주),13:00~22:00,"시급10,470",12/03
서울 금천구, 제일패션리테일(주),13:00~22:00,"시급10,470",12/03
서울 서대문, 제일패션리테일(주),13:00~22:00,"시급10,470",12/01
서울 금천구, 에잇세컨즈 현대가산아울렛점,12:30~21:30,"시급10,470",12/01
