place,title,time,pay,date
경기 성남시, 엔제리너스 분당서현점,12:00~18:00,"시급9,160",1시간전
서울 송파구, 엔제리너스 석촌호수D/I점,13:00~20:00,"시급8,720",8시간전
서울 송파구, 엔제리너스 석촌호수D/I점,19:00~03:00,"시급8,720",9시간전
서울 서초구, 엔제리너스 강남역점,시간협의,"시급8,720",11시간전
경기 수원시, 엔제리너스 동수원신협점,09:00~14:00,"시급9,160",12시간전
대구 전체, 엔제리너스 칠곡구암역점,시간협의,"월급1,830,000",14시간전
대구 북구, 엔제리너스 칠곡구암역점,17:00~01:00,"시급9,160",14시간전
서울 송파구, 엔제리너스 잠실롯데월드몰F1점,시간협의,"시급8,720",16시간전
부산 기장군, 엔제리너스 롯데아울렛동부산1층점,13:00~22:00,"월급2,000,000",18시간전
경남 창원시, 엔제리너스 진해자은점,시간협의,"시급9,160",22시간전
서울 강북구, 엔제리너스 수유역점,08:00~16:00,"시급8,720",22시간전
인천 중구, 엔제리너스 인천공항 T2 B1,06:00~13:30,"시급8,720",23시간전
인천 중구, 엔제리너스 인천공항 T2 B1,10:00~16:00,"시급8,720",23시간전
충남 천안시, 엔제리너스 천안직산점,19:00~23:30,"시급8,720",23시간전
서울 강동구, 엔제리너스 강동경희대병원점,시간협의,"시급8,720",23시간전
경남 김해시, 엔제리너스 김해봉황D/I점,00:00~24:00,"시급8,720",12/15
충남 천안시, 엔제리너스 천안직산점,19:00~23:30,"시급8,720",12/14
서울 강동구, 엔제리너스 강동경희대병원점,시간협의,"시급8,720",12/13
전북 익산시, 엔제리너스 익산고봉로점,11:30~14:30,"시급8,720",12/13
충남 천안시, 엔제리너스 천안직산점,19:00~23:30,"시급8,720",12/13
충남 천안시, 엔제리너스 천안직산점,19:00~23:30,"시급8,720",12/13
충남 천안시, 엔제리너스 천안직산점,19:00~23:30,"시급8,720",12/12
대구 전체, 엔제리너스 대구북비산네거리점,18:00~02:00,"월급1,900,000",12/11
서울 송파구, 엔제리너스 롯데백잠실,시간협의,"시급8,720",12/11
서울 강남구, 엔제리너스 수서환승통로점,시간협의,"시급8,720",12/10
서울 마포구, 엔제리너스 명동시티호텔점,시간협의,"시급9,160",12/10
경남 진주시, 엔제리너스 진주금호못점,19:00~23:00,"시급8,720",12/10
서울 송파구, 엔제리너스 잠실롯데월드타워19F,시간협의,"시급8,720",12/10
대구 전체, 엔제리너스 아일랜드점,시간협의,"시급8,720",12/10
대구 전체, 엔제리너스 아일랜드점,시간협의,"시급8,720",12/10
경기 성남시, 엔제리너스 분당서현점,13:00~18:00,"시급8,720",12/08
서울 마포구, 엔제리너스 명동시티호텔점,시간협의,"시급9,160",12/07
경남 창원시, 엔제리너스 진해자은점,시간협의,"시급8,720",12/06
서울 마포구, 엔제리너스 명동시티호텔점,시간협의,"시급9,160",12/06
서울 송파구, 엔제리너스 롯데백잠실,시간협의,"시급8,720",12/04
대구 전체, 엔제리너스 아일랜드점,시간협의,"시급8,720",12/04
대구 전체, 엔제리너스 아일랜드점,시간협의,"시급8,720",12/04
서울 중구, 엔제리너스 명동시티호텔점,시간협의,"시급8,720",12/04
경북 경주시, 엔제리너스 경주D/T점,14:00~23:00,"월급1,850,000",12/01
