place,title,time,pay,date
서울 용산구, 폴바셋 GFC점,06:30~23:00,"시급9,000",1분전
서울 서초구, 폴바셋 GFC점,06:30~23:00,"시급9,000",2분전
서울 강남구, 폴바셋 GFC점,06:30~23:00,"시급9,000",3분전
서울 광진구, 폴바셋 GFC점,06:30~23:00,"시급9,000",3분전
서울 성동구, 폴바셋 GFC점,06:30~23:00,"시급9,000",3분전
서울 전체, 폴바셋 파미에스테이션점,07:00~23:00,"시급9,160",8분전
서울 영등포, 폴바셋 신세계 타임스퀘어점,09:00~21:30,"시급9,000",11분전
서울 전체, 폴바셋 강남구청역점,06:30~23:00,"시급9,160",17분전
서울 강남구, 폴바셋 청담점,06:30~22:30,"시급9,000",17분전
서울 관악구, 폴바셋 롯데마트서초점,08:00~23:00,"시급9,000",22분전
서울 전체, 폴바셋 강남삼성타운점,06:30~23:00,"시급9,000",34분전
서울 강남구, 폴바셋 청담역점,07:00~23:00,"시급9,000",38분전
경기 김포시, 폴바셋 김포구래DT점,06:30~23:00,"시급10,800",40분전
서울 전체, 폴바셋 파미에스테이션점,07:00~23:00,"시급9,160",46분전
대구 전체, 폴 바셋 대구 신세계백화점 2호점,08:30~23:00,"시급9,000",52분전
서울 종로구, 폴바셋 광화문점,06:00~23:00,"시급9,000",1시간전
제주 제주시, 폴바셋 제주아라DT점,06:00~24:00,"시급9,000",1시간전
부산 해운대, 폴바셋 해운대아이파크점,07:00~23:00,"시급9,000",1시간전
서울 성동구, 폴바셋 수서역점,06:30~23:00,"시급9,160",2시간전
서울 은평구, 폴바셋 롯데몰은평점,09:00~23:30,"시급9,000",2시간전
서울 영등포, 폴바셋 여의도IFC점,06:00~23:00,"시급9,000",2시간전
서울 전체, 폴바셋 압구정2호점,07:00~23:00,"시급9,000",2시간전
경기 의정부, 폴 바셋 의정부 을지대병원점,시간협의,"시급9,000",2시간전
서울 중구, 폴바셋 신세계본점,09:00~22:00,"시급9,000",3시간전
서울 전체, 폴바셋 페럼타워점,06:30~23:00,"시급9,000",3시간전
서울 전체, 폴바셋 강남삼성타운점,06:30~23:00,"시급9,000",3시간전
서울 전체, 폴바셋 페럼타워점,06:30~23:00,"시급9,000",3시간전
서울 중구, 폴바셋 을지로파인에비뉴,06:00~24:00,"시급9,000",3시간전
부산 전체, 폴바셋 롯데백화점 부산본점,09:00~21:30,"시급9,160",4시간전
서울 영등포, 폴바셋 여의도IFC점,06:00~23:00,"시급9,000",4시간전
부산 기장군, 폴 바셋 롯데몰 동부산점,09:00~22:00,"시급9,000",5시간전
서울 강남구, 폴바셋 일원역점,06:00~23:00,"시급9,160",6시간전
서울 서초구, 더키친일뽀르노 신세계강남점,10:30~21:30,"연봉28,000,000",10시간전
경기 안성시, 폴바셋 스타필드안성점,08:00~23:00,"시급9,000",13시간전
울산 전체, 폴 바셋 현대백화점 울산점,07:00~21:30,"시급9,000",17시간전
대구 동구, 더 키친 일포노 신세계대구점,10:00~20:30,"연봉27,500,000",18시간전
경기 의정부, 폴바셋 신세계 의정부점,09:00~21:30,"시급9,000",22시간전
서울 중구, 폴바셋 한국경제신문사점,06:30~19:00,"시급9,000",23시간전
서울 영등포, 폴바셋 국회대로점,06:30~23:00,"시급9,000",23시간전
서울 관악구, 폴바셋 강남GT타워점,06:00~23:00,"시급9,000",12/15
경기 부천시, 폴바셋 현대백화점중동점,08:30~23:00,"시급9,000",12/15
경기 부천시, 폴바셋 현대백화점중동점,08:30~23:00,"시급9,000",12/14
서울 전체, 폴바셋 교대역점,07:00~23:00,"시급9,000",12/14
부산 해운대, 폴바셋 해운대아이파크점,10:00~20:00,"시급9,700",12/14
서울 서초구, 폴바셋 강남삼성타운점,06:30~23:00,"시급9,000",12/14
서울 강서구, 폴바셋 현대아울렛김포점,08:00~22:00,"시급9,000",12/14
경기 여주시, 폴바셋 신세계여주아울렛점,08:00~22:00,"시급9,000",12/14
경기 여주시, 폴바셋 신세계여주아울렛점,12:00~19:00,"시급8,720",12/14
경기 여주시, 폴바셋 신세계여주아울렛점,08:00~22:00,"시급9,000",12/14
서울 구로구, 폴바셋 고대구로병원점,06:00~21:30,"시급9,000",12/14
