place,title,time,pay,date
서울 송파구, 예향정 가든파이브점,15:00~21:00,"시급10,000",6시간전
경기 부천시, 예향정 부천역곡점,11:00~14:00,"시급10,000",12/10
경기 부천시, 예향정 부천역곡점,11:00~14:00,"시급10,000",12/10
경기 부천시, 예향정 부천역곡점,11:00~14:00,"시급10,000",12/10
대전 유성구, 예향정 유성점,17:30~22:00,"시급8,720",12/10
대전 유성구, 예향정 유성점,17:30~22:00,"시급8,720",12/10
대전 유성구, 예향정 유성점,17:30~22:00,"시급8,720",12/10
경기 수원시, 예향정 수원인계점,10:30~22:00,"월급2,800,000",12/10
경기 수원시, 예향정 수원인계점,10:30~22:00,"월급2,800,000",12/10
경기 수원시, 예향정 수원인계점,10:30~22:00,"월급2,800,000",12/10
서울 강남구, 예향정 선릉역점,10:00~22:00,"월급2,800,000",12/10
서울 강남구, 예향정 선릉역점,10:00~22:00,"월급2,800,000",12/10
서울 강남구, 예향정 선릉역점,10:00~22:00,"월급2,800,000",12/10
전남 목포시, 예향정 하당점,09:30~21:30,"월급2,700,000",12/10
전남 목포시, 예향정 하당점,09:30~21:30,"월급2,700,000",12/10
전남 목포시, 예향정 하당점,09:30~21:30,"월급2,700,000",12/10
전남 순천시, 예향정 조례점,09:30~21:30,"시급8,720",12/10
전남 순천시, 예향정 조례점,09:30~21:30,"시급8,720",12/10
전남 순천시, 예향정 조례점,09:30~21:30,"시급8,720",12/10
전남 무안군, 예향정 남악점,09:30~21:30,"월급2,700,000",12/10
전남 무안군, 예향정 남악점,09:30~21:30,"월급2,700,000",12/10
전남 무안군, 예향정 남악점,09:30~21:30,"월급2,700,000",12/10
전남 무안군, 예향정 남악점,09:30~21:30,"월급2,700,000",12/09
