place,title,time,pay,date
대구 전체, 웅진씽크빅 대구중남지국,13:00~18:00,"월급1,800,000",2분전
대구 전체, 웅진씽크빅 대구중남지국,13:00~18:00,"월급1,800,000",2분전
대구 전체, 웅진씽크빅 대구중남지국,13:00~19:00,"월급1,800,000",2분전
서울 강서구, 웅진씽크빅 발산지국,시간협의,"월급1,500,000",5분전
서울 강서구, 웅진씽크빅 발산지국,시간협의,"월급1,500,000",6분전
서울 강서구, 웅진씽크빅 발산지국,시간협의,"월급1,500,000",6분전
제주 제주시, 웅진씽크빅 제주아라지국,시간협의,"월급1,500,000",6분전
제주 제주시, 웅진씽크빅 제주아라지국,시간협의,"월급1,500,000",6분전
제주 제주시, 웅진씽크빅 제주아라지국,10:00~19:00,"월급1,500,000",7분전
전북 전주시, 웅진씽크빅 송천동부지국,13:00~21:00,"월급2,000,000",8분전
전북 전주시, 웅진씽크빅 송천동부지국,13:00~21:00,"월급2,000,000",9분전
전북 전주시, 웅진씽크빅 송천동부지국,13:00~21:00,"월급2,000,000",10분전
전북 전체, 웅진씽크빅 아중지국,시간협의,"월급1,822,480",10분전
전북 익산시, 웅진씽크빅 익산동부지국,13:30~19:00,"월급3,300,000",10분전
전북 전체, 웅진씽크빅 아중지국,시간협의,"월급1,822,480",11분전
전북 전체, 웅진씽크빅 아중지국,시간협의,"월급1,822,480",11분전
부산 수영구, 웅진씽크빅 부산수영지국,시간협의,"월급1,500,000",11분전
부산 수영구, 웅진씽크빅 부산수영지국,14:00~18:00,"월급2,000,000",14분전
강원 속초시, 웅진씽크빅 속초지국,14:00~18:30,"월급1,000,000",15분전
강원 속초시, 웅진씽크빅 속초지국,14:00~20:00,"월급2,100,000",16분전
강원 속초시, 웅진씽크빅 속초지국,14:00~20:00,"월급2,100,000",18분전
대전 대덕구, 웅진씽크빅 대덕지국,시간협의,"월급1,800,000",22분전
경기 수원시, 웅진씽크빅 광교지국,13:00~18:30,"월급2,000,000",26분전
대전 대덕구, 웅진씽크빅 대덕지국,시간협의,"월급1,800,000",26분전
경기 수원시, 웅진씽크빅 광교지국,14:30~20:00,"월급1,000,000",26분전
대전 대덕구, 웅진씽크빅 대덕지국,시간협의,"월급1,800,000",26분전
대전 서구, 웅진씽크빅 새둔산지국,14:00~20:00,"월급1,500,000",27분전
경기 남양주, 웅진씽크빅 덕소지국,14:30~19:30,"시급18,000",27분전
경기 남양주, 웅진씽크빅 덕소지국,13:00~19:00,"월급2,500,000",27분전
경기 남양주, 웅진씽크빅 덕소지국,15:30~19:00,"월급1,800,000",27분전
대전 서구, 웅진씽크빅 새둔산지국,14:00~20:00,"월급1,500,000",28분전
대전 서구, 웅진씽크빅 새둔산지국,14:00~20:00,"월급1,500,000",28분전
경남 거창군, 웅진씽크빅 거창지국,16:00~19:30,"월급1,800,000",30분전
부산 전체, 웅진씽크빅 부산동래지국,시간협의,"월급1,500,000",31분전
부산 전체, 웅진씽크빅 부산동래지국,14:00~21:00,"월급1,500,000",31분전
부산 전체, 웅진씽크빅 부산동래지국,14:00~21:00,"월급1,500,000",31분전
제주 서귀포, 웅진씽크빅 서귀포지국,14:00~21:00,"월급2,000,000",32분전
제주 서귀포, 웅진씽크빅 서귀포지국,14:00~21:00,"월급2,000,000",33분전
서울 광진구, 웅진씽크빅 면목지국,13:30~18:30,"월급2,000,000",33분전
제주 서귀포, 웅진씽크빅 서귀포지국,14:00~21:00,"월급2,000,000",33분전
서울 중랑구, 웅진씽크빅 면목지국,13:30~18:30,"월급2,000,000",34분전
경남 거창군, 웅진씽크빅 거창지국,16:00~19:30,"월급1,800,000",34분전
서울 중랑구, 웅진씽크빅 면목지국,14:00~20:00,"월급1,800,000",34분전
울산 북구, 웅진씽크빅 울산북부지국,시간협의,"월급1,900,000",40분전
경남 창원시, 웅진씽크빅 마산중리지국,13:00~19:00,"월급2,000,000",41분전
충남 서산시, 웅진씽크빅 서산남부지국,시간협의,"월급1,800,000",41분전
경남 창원시, 웅진씽크빅 마산중리지국,13:00~19:00,"월급2,000,000",42분전
충남 서산시, 웅진씽크빅 서산남부지국,시간협의,"월급1,800,000",42분전
충남 서산시, 웅진씽크빅 서산남부지국,시간협의,"월급1,800,000",42분전
울산 북구, 웅진씽크빅 울산북부지국,시간협의,"월급1,900,000",43분전
