place,title,time,pay,date
인천 미추홀, 원조부안집 도화점,시간협의,"시급10,000",3시간전
충북 청주시, 원조부안집 청주율량점,22:00~02:00,"시급10,000",5시간전
충북 청주시, 원조부안집 청주율량점,23:00~02:00,"시급10,000",5시간전
울산 남구, 원조부안집 울산삼산점,16:00~01:00,"시급10,000",7시간전
울산 남구, 원조부안집 울산삼산점,16:00~01:00,"시급10,000",7시간전
울산 남구, 원조부안집 울산삼산점,16:00~01:00,"시급10,000",7시간전
인천 미추홀, 원조부안집 도화점,시간협의,"시급10,000",7시간전
인천 미추홀, 원조부안집 도화점,시간협의,"시급10,000",23시간전
충북 청주시, 원조부안집 청주율량점,22:00~02:00,"시급10,000",12/13
충북 청주시, 원조부안집 청주율량점,18:00~23:00,"시급10,000",12/13
인천 미추홀, 원조부안집 도화점,시간협의,"시급10,000",12/12
인천 미추홀, 원조부안집 도화점,시간협의,"시급10,000",12/10
경기 성남시, 원조부안집 판교점,시간협의,"시급12,000",12/10
경기 성남시, 원조부안집 판교점,시간협의,"시급12,000",12/10
경기 성남시, 원조부안집 판교점,시간협의,"시급12,000",12/10
경기 성남시, 원조부안집 판교점,시간협의,"시급12,000",12/10
경북 구미시, 원조부안집 구미점,16:00~23:00,"월급1,950,000",12/10
경북 구미시, 원조부안집 구미점,16:00~23:00,"월급1,950,000",12/10
경북 구미시, 원조부안집 구미점,16:00~23:00,"월급1,950,000",12/10
경북 구미시, 원조부안집 구미점,16:00~23:00,"월급1,950,000",12/10
인천 미추홀, 원조부안집 인하대역점,시간협의,"시급10,000",12/10
인천 미추홀, 원조부안집 인하대역점,시간협의,"시급10,000",12/10
인천 미추홀, 원조부안집 인하대역점,시간협의,"시급10,000",12/10
인천 미추홀, 원조부안집 인하대역점,시간협의,"시급10,000",12/10
서울 강남구, 원조부안집 강남점,18:30~22:30,"시급11,000",12/10
서울 강남구, 원조부안집 강남점,18:30~22:30,"시급11,000",12/10
서울 강남구, 원조부안집 강남점,18:30~22:30,"시급11,000",12/10
서울 강남구, 원조부안집 강남점,18:30~22:30,"시급11,000",12/10
부산 해운대, 원조부안집 해운대좌동점,시간협의,"시급9,500",12/10
부산 해운대, 원조부안집 해운대좌동점,시간협의,"시급9,500",12/10
부산 해운대, 원조부안집 해운대좌동점,시간협의,"시급9,500",12/10
전북 전주시, 원조부안집 전주서신점,17:00~22:00,"시급10,000",12/10
전북 전주시, 원조부안집 전주서신점,17:00~22:00,"시급10,000",12/10
전북 전주시, 원조부안집 전주서신점,17:00~22:00,"시급10,000",12/10
전북 전주시, 원조부안집 전주서신점,17:00~22:00,"시급10,000",12/10
충북 청주시, 원조부안집 청주율량점,23:00~02:00,"시급10,000",12/10
부산 해운대, 원조부안집 해운대좌동점,시간협의,"시급9,500",12/07
