place,title,time,pay,date
경기 의왕시, 유니클로 롯데마트 의왕점,14:30~22:30,"시급10,644",16분전
서울 강남구, 유니클로 코엑스점,시간협의,"시급8,870",19분전
서울 강남구, 유니클로 코엑스점,시간협의,"시급10,644",19분전
서울 강남구, 유니클로 코엑스점,시간협의,"월급1,850,000",20분전
경기 의왕시, 유니클로 롯데마트 의왕점,14:30~22:30,"시급10,644",43분전
경남 김해시, 유니클로 신세계백화점 김해점,시간협의,"시급10,644",1시간전
경기 이천시, 유니클로 롯데몰 이천점,시간협의,"시급8,870",1시간전
경기 이천시, 유니클로 롯데몰 이천점,시간협의,"시급10,644",1시간전
경기 전체, 유니클로 롯데몰 이천점,시간협의,"월급1,850,000",1시간전
경북 포항시, 유니클로 포항 장성점,시간협의,"시급10,644",2시간전
경북 포항시, 유니클로 포항 장성점,시간협의,"시급10,644",2시간전
경북 포항시, 유니클로 포항 장성점,시간협의,"시급10,644",2시간전
경북 포항시, 유니클로 포항 장성점,시간협의,"시급10,644",2시간전
경북 포항시, 유니클로 포항 장성점,시간협의,"시급10,644",2시간전
제주 전체, 유니클로 롯데마트 제주점,14:00~22:30,"시급10,644",2시간전
경기 군포시, 유니클로 롯데피트인 산본점,08:30~23:00,"월급1,850,000",2시간전
서울 은평구, 유니클로 롯데몰 은평점,시간협의,"월급1,850,000",3시간전
서울 은평구, 유니클로 롯데몰 은평점,시간협의,"시급10,644",3시간전
경남 창원시, 유니클로 롯데백화점 창원점,시간협의,"시급10,644",3시간전
서울 송파구, 유니클로 현대시티몰 가든파이브점,시간협의,"시급8,870",3시간전
서울 송파구, 유니클로 현대시티몰 가든파이브점,시간협의,"시급10,644",3시간전
서울 송파구, 유니클로 현대시티몰 가든파이브점,시간협의,"월급1,850,000",3시간전
충북 청주시, 유니클로 현대백화점 충청점,08:00~15:00,"시급10,644",3시간전
경기 용인시, 유니클로 용인 구성점,시간협의,"월급1,850,000",3시간전
경기 고양시, 유니클로 현대백화점 킨텍스점,시간협의,"월급1,850,000",3시간전
경기 성남시, 유니클로 현대백화점 판교점,시간협의,"월급1,850,000",3시간전
경기 성남시, 유니클로 현대백화점 판교점,시간협의,"시급10,644",4시간전
경기 성남시, 유니클로 현대백화점 판교점,시간협의,"시급10,644",4시간전
서울 전체, 유니클로 광화문 D-Tower점,시간협의,"시급10,644",4시간전
서울 종로구, 유니클로 광화문 D-Tower점,시간협의,"시급8,870",4시간전
제주 제주시, 유니클로 제주 이도점,시간협의,"시급10,644",5시간전
경기 광주시, 유니클로 경기 광주점,시간협의,"시급8,870",5시간전
경기 성남시, 유니클로 현대백화점 판교점,시간협의,"시급10,644",6시간전
경기 의왕시, 유니클로 롯데마트 의왕점,14:30~22:30,"시급10,644",6시간전
서울 강남구, 유니클로 신사점,08:00~11:00,"월급1,850,000",7시간전
서울 강남구, 유니클로 신사점,09:00~22:30,"시급10,644",7시간전
전북 전체, 유니클로 전주 고사점,시간협의,"시급10,644",7시간전
전북 전체, 유니클로 전주 고사점,시간협의,"시급8,870",7시간전
경기 하남시, 유니클로 스타필드 시티 위례점,시간협의,"시급10,644",7시간전
경기 안양시, 유니클로 엔터식스 안양,시간협의,"시급10,644",7시간전
경기 안양시, 유니클로 롯데백화점 평촌점,시간협의,"시급10,644",18시간전
경기 안양시, 유니클로 롯데백화점 평촌점,시간협의,"시급10,644",18시간전
경기 안양시, 유니클로 롯데백화점 평촌점,시간협의,"시급10,644",18시간전
경북 포항시, 유니클로 포항 해도점,시간협의,"시급10,644",20시간전
충남 당진시, 유니클로 당진 읍내점,시간협의,"시급8,870",22시간전
경기 성남시, 유니클로 현대백화점 판교점,시간협의,"시급10,644",12/15
경기 안성시, 유니클로 안성점,시간협의,"시급10,644",12/15
경기 광주시, 유니클로 경기 광주점,시간협의,"시급8,870",12/15
경기 광주시, 유니클로 경기 광주점,시간협의,"시급8,870",12/15
경기 오산시, 유니클로 오산 은계점,시간협의,"월급1,850,000",12/15
