place,title,time,pay,date
경기 성남시, 이자녹스/비욘드/네이처컬렉션 세이브존,09:30~14:30,"시급9,160",1시간전
광주 서구, 이자녹스/비욘드/네이처컬렉션 NC 광,15:30~21:30,"시급8,720",3시간전
제주 서귀포, 이자녹스/비욘드/네이처컬렉션 NC 제,09:00~15:00,"시급9,160",4시간전
경남 김해시, 이자녹스/비욘드/네이처컬렉션 메가마트,16:00~21:00,"시급9,160",5시간전
경남 사천시, 이자녹스/비욘드/네이처컬렉션 NC 사,15:30~21:00,"시급8,720",12/13
광주 전체, 이자녹스/비욘드/네이처컬렉션 NC 광,15:30~21:30,"시급8,720",12/10
광주 북구, 이자녹스/비욘드/네이처컬렉션 NC 광,10:30~16:00,"시급8,720",12/10
경기 성남시, 이자녹스/비욘드/네이처컬렉션 세이브존,09:30~17:30,"월급1,900,000",12/08
광주 서구, 이자녹스/비욘드/네이처컬렉션 NC 유,01:00~22:00,"월급2,000,000",12/04
경기 성남시, 이자녹스/비욘드/네이처컬렉션 세이브존,09:30~14:30,"시급9,000",12/01
