place,title,time,pay,date
부산 부산진, 장원교육 부산진북,10:00~21:30,"월급2,200,000",15분전
경기 안산시, 장원교육 안산상록,10:00~21:00,"월급2,100,000",31분전
충북 청주시, 장원교육 청주,14:00~22:00,"월급1,800,000",32분전
충북 청주시, 장원교육 청주,14:00~22:00,"월급1,800,000",32분전
충북 청주시, 장원교육 청주,14:00~22:00,"월급1,800,000",33분전
대구 달서구, 장원교육 월배,시간협의,"월급2,000,000",39분전
대구 전체, 장원교육 강북,14:00~22:00,"월급1,800,000",40분전
대구 달서구, 장원교육 월배,시간협의,"월급2,000,000",42분전
대구 전체, 장원교육 수성,14:00~22:00,"월급2,000,000",44분전
대구 달서구, 장원교육 월배,시간협의,"월급2,000,000",1시간전
대구 전체, 장원교육 강북,14:00~22:00,"월급1,800,000",1시간전
대구 전체, 장원교육 수성,14:00~22:00,"월급2,000,000",1시간전
인천 전체, 장원교육 인천연수,시간협의,"월급1,800,000",1시간전
충남 천안시, 장원교육 천안,14:00~22:00,"월급1,800,000",1시간전
대전 서구, 장원교육 남대전,10:00~22:00,"월급1,800,000",1시간전
대전 서구, 장원교육 남대전,10:00~22:00,"월급1,800,000",1시간전
대전 중구, 장원교육 남대전,10:00~22:00,"월급1,800,000",1시간전
대전 중구, 장원교육 남대전,10:00~22:00,"월급1,800,000",1시간전
대전 유성구, 장원교육 서대전,시간협의,"월급1,800,000",1시간전
경기 성남시, 장원교육 분당남부,시간협의,"월급2,000,000",1시간전
경기 수원시, 장원교육 수원장안,10:00~21:00,"월급2,000,000",1시간전
경기 수원시, 장원교육 수원영통,10:00~21:00,"월급1,800,000",1시간전
인천 전체, 장원교육 인천서구,14:00~21:00,"월급1,700,000",1시간전
인천 전체, 장원교육 인천서구,14:00~21:00,"월급1,700,000",1시간전
인천 연수구, 장원교육 인천연수,10:00~20:00,"월급1,900,000",1시간전
인천 전체, 장원교육 인천연수,10:00~20:00,"월급1,900,000",1시간전
경기 고양시, 장원교육 일산동부,10:00~18:00,"월급1,500,000",1시간전
서울 마포구, 장원교육 서울마포,10:00~20:00,"월급1,800,000",1시간전
서울 구로구, 장원교육 서울영등포,10:00~20:00,"월급1,900,000",1시간전
서울 관악구, 장원교육 서울관악,13:00~21:00,"월급1,800,000",1시간전
서울 관악구, 장원교육 서울관악,13:00~21:00,"월급1,800,000",1시간전
서울 양천구, 장원교육 서울양천,시간협의,"연봉20,000,000",1시간전
서울 전체, 장원교육 서울서초,10:00~20:30,"월급2,000,000",2시간전
서울 노원구, 장원교육 서울노원,10:00~20:00,"월급1,500,000",2시간전
서울 광진구, 장원교육 서울동부,10:00~20:00,"월급1,900,000",2시간전
서울 광진구, 장원교육 서울동부,10:00~20:00,"월급1,900,000",2시간전
서울 광진구, 장원교육 서울동부,10:00~20:00,"월급1,900,000",2시간전
서울 광진구, 장원교육 서울동부,10:00~20:00,"월급1,900,000",2시간전
서울 광진구, 장원교육 서울동부,10:00~20:00,"월급1,900,000",2시간전
서울 관악구, 장원교육 서울관악,13:00~21:00,"월급1,800,000",2시간전
경기 안산시, 장원교육 안산상록,10:00~21:00,"월급2,100,000",2시간전
서울 강동구, 장원교육 서울강동,시간협의,"월급1,800,000",2시간전
경기 화성시, 장원교육 2동탄,시간협의,"월급1,800,000",2시간전
서울 강동구, 장원교육 서울강동,시간협의,"월급1,800,000",2시간전
서울 강동구, 장원교육 서울강동,시간협의,"월급1,800,000",2시간전
서울 강동구, 장원교육 서울강동,시간협의,"월급1,800,000",2시간전
대구 달서구, 장원교육 월배,시간협의,"월급2,000,000",3시간전
경북 영주시, 장원교육 영주,10:00~18:00,"월급1,000,000",4시간전
부산 강서구, 장원교육 김해,14:00~21:00,"월급1,500,000",4시간전
부산 부산진, 장원교육 부산진북,시간협의,"월급2,000,000",4시간전
