place,title,time,pay,date
서울 전체, (주)지오다노,시간협의,"월급1,823,000",24분전
경기 안양시, (주)지오다노,09:30~18:30,"월급1,823,000",45분전
서울 강동구, (주)지오다노 컨셉원 현대천호점,09:30~18:30,"월급1,830,000",51분전
경기 시흥시, (주)지오다노,시간협의,"월급1,823,000",1시간전
경기 용인시, (주)지오다노,09:30~18:30,"월급1,923,000",3시간전
경기 용인시, (주)지오다노,09:30~18:30,"월급1,923,000",3시간전
서울 강동구, (주)지오다노 컨셉원 현대천호점,09:30~18:30,"월급1,830,000",3시간전
서울 전체, (주)지오다노,시간협의,"월급1,823,000",4시간전
서울 서대문, 지오다노 신촌현대,09:30~18:30,"월급1,823,000",4시간전
경기 안양시, (주)지오다노,09:30~18:30,"월급1,823,000",5시간전
서울 강동구, (주)지오다노 컨셉원 현대천호점,09:30~18:30,"월급1,830,000",5시간전
경기 용인시, (주)지오다노,09:30~18:30,"월급1,923,000",5시간전
경기 용인시, (주)지오다노,09:30~18:30,"월급1,923,000",5시간전
서울 전체, (주)지오다노,시간협의,"월급1,823,000",12/15
경기 용인시, (주)지오다노,09:30~18:30,"월급1,923,000",12/14
서울 전체, (주)지오다노,시간협의,"월급1,823,000",12/14
경기 안양시, (주)지오다노,09:30~18:30,"월급1,823,000",12/13
서울 전체, (주)지오다노,시간협의,"월급1,823,000",12/13
경기 시흥시, (주)지오다노,시간협의,"월급1,823,000",12/13
경기 시흥시, (주)지오다노,시간협의,"월급1,823,000",12/12
서울 강서구, (주)지오다노,시간협의,"월급1,823,000",12/11
서울 서초구, (주)지오다노본사,12:30~14:00,"일급18,000",12/11
서울 전체, (주)지오다노,시간협의,"월급1,823,000",12/11
경기 시흥시, (주)지오다노,시간협의,"월급1,823,000",12/11
서울 강서구, (주)지오다노,시간협의,"월급1,823,000",12/09
서울 강서구, (주)지오다노,시간협의,"월급1,823,000",12/08
경기 안양시, (주)지오다노,09:30~18:30,"월급1,823,000",12/08
서울 강서구, (주)지오다노,시간협의,"월급1,823,000",12/07
서울 강서구, (주)지오다노,시간협의,"월급1,823,000",12/07
서울 전체, (주)지오다노,시간협의,"월급1,823,000",12/05
서울 서대문, 지오다노 신촌현대,09:30~18:30,"월급1,823,000",12/02
