place,title,time,pay,date
서울 용산구, 진1926 한남점,17:00~24:00,"시급10,540",2시간전
경기 시흥시, 진1926 시흥 시화점,시간협의,"시급10,800",3시간전
경기 시흥시, 진1926 시흥 시화점,시간협의,"시급10,800",3시간전
경기 시흥시, 진1926 시흥 시화점,시간협의,"시급10,800",3시간전
경기 시흥시, 진1926 시흥 시화점,시간협의,"시급10,800",3시간전
경기 성남시, 진1926 판교점,04:30~11:00,"시급8,720",12/14
경기 성남시, 진1926 판교점,04:30~11:00,"시급8,720",12/14
경기 성남시, 진1926 판교점,04:30~11:00,"시급8,720",12/14
경기 성남시, 진1926 판교점,04:30~11:00,"시급8,720",12/14
경기 성남시, 진1926 판교점,04:30~11:00,"시급8,720",12/14
경기 고양시, 진1926 웨스턴돔점,시간협의,"시급9,500",12/14
경기 고양시, 진1926 웨스턴돔점,시간협의,"시급9,500",12/14
경기 고양시, 진1926 웨스턴돔점,시간협의,"시급9,500",12/14
경기 남양주, 진1926 다산점,시간협의,"시급11,000",12/14
경기 남양주, 진1926 다산점,시간협의,"시급11,000",12/14
경기 남양주, 진1926 다산점,시간협의,"시급11,000",12/11
경기 남양주, 진1926 다산점,시간협의,"시급11,000",12/11
경기 남양주, 진1926 다산점,시간협의,"시급11,000",12/11
경기 의정부, 진1926 의정부민락점,16:00~23:00,"시급10,000",12/10
경기 의정부, 진1926 의정부민락점,시간협의,"시급10,000",12/10
경기 의정부, 진1926 의정부민락점,16:00~23:00,"시급10,000",12/10
서울 양천구, 진1926 오목교점,16:00~23:00,"시급10,500",12/10
충북 청주시, 진1926 복대점,18:00~24:00,"시급10,000",12/10
충북 제천시, 진1926 제천중앙점,17:00~21:00,"시급8,720",12/10
인천 미추홀, 진1926 도화점,00:00~24:00,"시급10,000",12/10
인천 미추홀, 진1926 도화점,00:00~24:00,"시급10,000",12/10
인천 미추홀, 진1926 도화점,00:00~24:00,"시급10,000",12/10
인천 미추홀, 진1926 도화점,00:00~24:00,"시급10,000",12/10
인천 미추홀, 진1926 도화점,00:00~24:00,"시급10,000",12/10
충북 제천시, 진1926 제천중앙점,17:00~21:00,"시급8,720",12/04
충북 제천시, 진1926 제천중앙점,17:00~21:00,"시급8,720",12/04
충북 제천시, 진1926 제천중앙점,17:00~21:00,"시급8,720",12/04
충북 제천시, 진1926 제천중앙점,17:00~21:00,"시급8,720",12/04
충북 청주시, 진1926 복대점,18:00~24:00,"시급10,000",12/04
충북 청주시, 진1926 복대점,18:00~24:00,"시급10,000",12/04
충북 청주시, 진1926 복대점,18:00~24:00,"시급10,000",12/04
충북 청주시, 진1926 복대점,18:00~24:00,"시급10,000",12/04
서울 양천구, 진1926 오목교점,16:00~23:00,"시급10,500",12/01
서울 양천구, 진1926 오목교점,16:00~23:00,"시급10,500",12/01
