place,title,time,pay,date
서울 동대문, 코코이찌방야 청량리역점,12:00~21:00,"시급10,470",43분전
서울 동대문, 코코이찌방야 청량리역점,12:00~21:00,"시급10,470",43분전
서울 동대문, 코코이찌방야 청량리역점,12:00~21:00,"시급10,470",43분전
서울 중구, 코코이찌방야 을지로시그니쳐타워점,11:00~21:00,"시급10,470",1시간전
서울 중구, 코코이찌방야 을지로시그니쳐타워점,11:00~21:00,"시급10,470",1시간전
서울 중구, 코코이찌방야 을지로시그니쳐타워점,11:00~21:00,"시급10,470",1시간전
서울 중구, 코코이찌방야 을지로시그니쳐타워점,11:00~21:00,"시급10,470",1시간전
경기 광명시, 코코이찌방야 롯데아울렛 광명점,시간협의,"시급10,470",4시간전
서울 동대문, 코코이찌방야 청량리역점,12:00~21:00,"시급10,470",4시간전
서울 중구, 코코이찌방야 을지로시그니쳐타워점,11:00~21:00,"시급10,470",5시간전
서울 동대문, 코코이찌방야 청량리역점,12:00~21:00,"시급10,470",8시간전
